"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Заколка для волос 35980";;"<br />
<br />
<br />
<br />
 ";;35980;130,00;0,00;100,00;100,00000;шт;"https://i3.storeland.net/2/9858/198571851/6e1ffd/zakolka-dlya-volos-35979.png
https://i5.storeland.net/2/9858/198571852/6e1ffd/zakolka-dlya-volos-35979.png";;;"Заколка для волос";"аксессуары для волос оптом, заколки, купить резинку, неведимки, оптом, заколки оптом, дешевая резиночки, модные, интернет магазин, ободок, повязка на голову";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-322;;188337753;;;Размер;единый
"Заколка для волос 35979";;"<br />
<br />
<br />
<br />
 ";;35979;130,00;0,00;100,00;100,00000;шт;"https://i5.storeland.net/2/9858/198571775/6e1ffd/zakolka-dlya-volos-35978.png
https://i1.storeland.net/2/9858/198571776/6e1ffd/zakolka-dlya-volos-35978.png";;;"Заколка для волос";"аксессуары для волос оптом, заколки, купить резинку, неведимки, оптом, заколки оптом, дешевая резиночки, модные, интернет магазин, ободок, повязка на голову";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-321;;188337740;;;Размер;единый
"Заколка для волос 35978";;"<br />
<br />
<br />
<br />
 ";;35978;117,00;0,00;90,00;100,00000;шт;"https://i4.storeland.net/2/9858/198571623/6e1ffd/zakolka-dlya-volos-35977.png
https://i3.storeland.net/2/9858/198571628/6e1ffd/zakolka-dlya-volos-35977.png";;;"Заколка для волос";"аксессуары для волос оптом, заколки, купить резинку, неведимки, оптом, заколки оптом, дешевая резиночки, модные, интернет магазин, ободок, повязка на голову";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-320;;188337710;;;Размер;единый
"Заколка для волос 35977";;"<br />
<br />
<br />
<br />
 ";;35977;117,00;0,00;90,00;100,00000;шт;"https://i4.storeland.net/2/9858/198571592/6e1ffd/zakolka-dlya-volos-35976.png
https://i5.storeland.net/2/9858/198571593/6e1ffd/zakolka-dlya-volos-35976.png";;;"Заколка для волос";"аксессуары для волос оптом, заколки, купить резинку, неведимки, оптом, заколки оптом, дешевая резиночки, модные, интернет магазин, ободок, повязка на голову";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-319;;188337705;;;Размер;единый
"Заколка для волос 35976";;"<br />
<br />
<br />
<br />
 ";;35976;235,00;0,00;180,00;100,00000;шт;"https://i1.storeland.net/2/9858/198570831/6e1ffd/zakolka-dlya-volos-35975.png
https://i4.storeland.net/2/9858/198570832/6e1ffd/zakolka-dlya-volos-35975.png";;;"Заколка для волос";"аксессуары для волос оптом, заколки, купить резинку, неведимки, оптом, заколки оптом, дешевая резиночки, модные, интернет магазин, ободок, повязка на голову";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-318;;188337573;;;Размер;единый
"Заколка для волос 35975";;"<br />
<br />
<br />
<br />
 ";;35975;235,00;0,00;180,00;100,00000;шт;"https://i4.storeland.net/2/9858/198570829/6e1ffd/zakolka-dlya-volos-35973.png
https://i5.storeland.net/2/9858/198570830/6e1ffd/zakolka-dlya-volos-35973.png";;;"Заколка для волос";"аксессуары для волос оптом, заколки, купить резинку, неведимки, оптом, заколки оптом, дешевая резиночки, модные, интернет магазин, ободок, повязка на голову";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-317;;188337571;;;Размер;единый
"Набор заколок 35972";;"Набор заколок клик-клак<br />
Размер: 4,5 см<br />
Цена за упаковку, в упаковке 40 штук<br />
<br />
<br />
<br />
 ";;35972;91,00;0,00;70,00;100,00000;шт;https://i3.storeland.net/2/9858/198570810/6e1ffd/zakolka-dlya-volos-35971.png;;;"Набор заколок";"аксессуары для волос оптом, заколки, купить резинку, неведимки, оптом, заколки оптом, дешевая резиночки, модные, интернет магазин, ободок, повязка на голову";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-314;;188337565;;;Размер;единый
"Заколка для волос 35969";;"Заколка краб, каучук<br />
<br />
<br />
<br />
 ";;35969;78,00;0,00;60,00;100,00000;шт;https://i3.storeland.net/2/9857/198569070/6e1ffd/zakolka-dlya-volos-35968.png;;;"Набор заколок";"аксессуары для волос оптом, заколки, купить резинку, неведимки, оптом, заколки оптом, дешевая резиночки, модные, интернет магазин, ободок, повязка на голову";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-311;;188337180;;;Размер;единый
"Заколка для волос 35968";;"Заколка краб, каучук<br />
<br />
<br />
<br />
 ";;35968;78,00;0,00;60,00;100,00000;шт;https://i3.storeland.net/2/9857/198569053/6e1ffd/zakolka-dlya-volos-35968.png;;;"Набор заколок";"аксессуары для волос оптом, заколки, купить резинку, неведимки, оптом, заколки оптом, дешевая резиночки, модные, интернет магазин, ободок, повязка на голову";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-310;;188337176;;;Размер;единый
"Набор заколок для девочек 35967";;"Цена за набор, в наборе 14 штук<br />
<br />
<br />
<br />
 ";;35967;195,00;0,00;150,00;100,00000;шт;"https://i1.storeland.net/2/9857/198568404/6e1ffd/zakolka-dlya-volos-35966.png
https://i4.storeland.net/2/9857/198568405/6e1ffd/zakolka-dlya-volos-35966.png
https://i4.storeland.net/2/9857/198568406/6e1ffd/zakolka-dlya-volos-35966.png";;;"Набор заколок";"аксессуары для волос оптом, заколки, купить резинку, неведимки, оптом, заколки оптом, дешевая резиночки, модные, интернет магазин, ободок, повязка на голову";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-308;;188337018;;;Размер;единый
