"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Серьги набор 6шт 44010";;"Серьги с ярким дизайном, бижутерия, набор 6шт<br />
Страна-изготовитель: Китай<br />
Материал: Бижутерный сплав<br />
Трендовый набор модных сережек помогут завершить стильный и модный образ, собранный в любом стиле.<br />
В комплект входят 6 пар декоративных сережек разнообразных форм - от массивных до минималистических.<br />
<br />
<br />
<br />
 ";;44010;195,00;0,00;150,00;100,00000;шт;https://i2.storeland.net/3/749/207485334/6e1ffd/sergi-nabor-6sht-44009.jpg;;;"Резинка для волос";"бижутерия оптом, браслет купить, купить серьги, неведимки, оптом, брошь оптом, серьги новый год, модные, интернет магазин, серьги, Новогодние серьги с ярким дизайном, бижутерия на новый год, набор 6шт";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-136;;191606004;;;Размер;единый
"Серьги набор 6шт 44009";;"Серьги с ярким дизайном, бижутерия, набор 6шт<br />
Страна-изготовитель: Китай<br />
Материал: Бижутерный сплав<br />
Трендовый набор модных сережек помогут завершить стильный и модный образ, собранный в любом стиле.<br />
В комплект входят 6 пар декоративных сережек разнообразных форм - от массивных до минималистических.<br />
<br />
<br />
<br />
 ";;44009;195,00;0,00;150,00;100,00000;шт;https://i2.storeland.net/3/749/207485285/6e1ffd/sergi-nabor-6sht-44008.jpg;;;"Резинка для волос";"бижутерия оптом, браслет купить, купить серьги, неведимки, оптом, брошь оптом, серьги новый год, модные, интернет магазин, серьги, Новогодние серьги с ярким дизайном, бижутерия на новый год, набор 6шт";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-123;;191605974;;;Размер;единый
"Серьги набор 6шт 44008";;"Серьги с ярким дизайном, бижутерия, набор 6шт<br />
Страна-изготовитель: Китай<br />
Материал: Бижутерный сплав<br />
Трендовый набор модных сережек помогут завершить стильный и модный образ, собранный в любом стиле.<br />
В комплект входят 6 пар декоративных сережек разнообразных форм - от массивных до минималистических.<br />
<br />
<br />
<br />
 ";;44008;195,00;0,00;150,00;100,00000;шт;https://i2.storeland.net/3/749/207485189/6e1ffd/sergi-nabor-6sht-44007.jpg;;;"Резинка для волос";"бижутерия оптом, браслет купить, купить серьги, неведимки, оптом, брошь оптом, серьги новый год, модные, интернет магазин, серьги, Новогодние серьги с ярким дизайном, бижутерия на новый год, набор 6шт";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-122;;191605945;;;Размер;единый
"Серьги набор 6шт 44007";;"Серьги с ярким дизайном, бижутерия, набор 6шт<br />
Страна-изготовитель: Китай<br />
Материал: Бижутерный сплав<br />
Трендовый набор модных сережек помогут завершить стильный и модный образ, собранный в любом стиле.<br />
В комплект входят 6 пар декоративных сережек разнообразных форм - от массивных до минималистических.<br />
<br />
<br />
<br />
 ";;44007;195,00;0,00;150,00;100,00000;шт;https://i1.storeland.net/3/749/207485110/6e1ffd/sergi-nabor-6sht-44006.jpg;;;"Резинка для волос";"бижутерия оптом, браслет купить, купить серьги, неведимки, оптом, брошь оптом, серьги новый год, модные, интернет магазин, серьги, Новогодние серьги с ярким дизайном, бижутерия на новый год, набор 6шт";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-116;;191605924;;;Размер;единый
"Серьги набор 6шт 44006";;"Серьги с ярким дизайном, бижутерия, набор 6шт<br />
Страна-изготовитель: Китай<br />
Материал: Бижутерный сплав<br />
Трендовый набор модных сережек помогут завершить стильный и модный образ, собранный в любом стиле.<br />
В комплект входят 6 пар декоративных сережек разнообразных форм - от массивных до минималистических.<br />
<br />
<br />
<br />
 ";;44006;195,00;0,00;150,00;100,00000;шт;https://i2.storeland.net/3/749/207485041/6e1ffd/sergi-nabor-6sht-44005.jpg;;;"Резинка для волос";"бижутерия оптом, браслет купить, купить серьги, неведимки, оптом, брошь оптом, серьги новый год, модные, интернет магазин, серьги, Новогодние серьги с ярким дизайном, бижутерия на новый год, набор 6шт";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-114;;191605894;;;Размер;единый
"Серьги набор 6шт 44005";;"Серьги с ярким дизайном, бижутерия, набор 6шт<br />
Страна-изготовитель: Китай<br />
Материал: Бижутерный сплав<br />
Трендовый набор модных сережек помогут завершить стильный и модный образ, собранный в любом стиле.<br />
В комплект входят 6 пар декоративных сережек разнообразных форм - от массивных до минималистических.<br />
<br />
<br />
<br />
 ";;44005;195,00;0,00;150,00;100,00000;шт;https://i1.storeland.net/3/749/207484935/6e1ffd/sergi-nabor-6sht-44004.jpg;;;"Резинка для волос";"бижутерия оптом, браслет купить, купить серьги, неведимки, оптом, брошь оптом, серьги новый год, модные, интернет магазин, серьги, Новогодние серьги с ярким дизайном, бижутерия на новый год, набор 6шт";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-112;;191605858;;;Размер;единый
"Серьги набор 6шт 44004";;"Серьги с ярким дизайном, бижутерия, набор 6шт<br />
Страна-изготовитель: Китай<br />
Материал: Бижутерный сплав<br />
Трендовый набор модных сережек помогут завершить стильный и модный образ, собранный в любом стиле.<br />
В комплект входят 6 пар декоративных сережек разнообразных форм - от массивных до минималистических.<br />
<br />
<br />
<br />
 ";;44004;195,00;0,00;150,00;100,00000;шт;https://i2.storeland.net/3/749/207484317/6e1ffd/novogodnie-sergi-nabor-6sht-43996.jpg;;;"Резинка для волос";"бижутерия оптом, браслет купить, купить серьги, неведимки, оптом, брошь оптом, серьги новый год, модные, интернет магазин, серьги, Новогодние серьги с ярким дизайном, бижутерия на новый год, набор 6шт";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-111;;191605692;;;Размер;единый
"Серьги с жемчугом 44003";;"<br />
Страна-изготовитель: Китай<br />
Материал: Бижутерный сплав, искусственный жемчуг<br />
<br />
<br />
<br />
<br />
 ";;44003;130,00;0,00;100,00;100,00000;шт;https://i2.storeland.net/3/749/207484219/6e1ffd/sergi-s-zhemchugom-44002.jpg;;;"Резинка для волос";"бижутерия оптом, браслет купить, купить серьги, неведимки, оптом, брошь оптом, серьги новый год, модные, интернет магазин, серьги, Новогодние серьги с ярким дизайном, бижутерия на новый год, набор 6шт";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-110;;191605643;;;Размер;единый
"Серьги с жемчугом 44002";;"<br />
Страна-изготовитель: Китай<br />
Материал: Бижутерный сплав, искусственный жемчуг<br />
<br />
<br />
<br />
<br />
 ";;44002;130,00;0,00;100,00;100,00000;шт;https://i3.storeland.net/3/749/207484218/6e1ffd/sergi-s-zhemchugom-44001.jpg;;;"Резинка для волос";"бижутерия оптом, браслет купить, купить серьги, неведимки, оптом, брошь оптом, серьги новый год, модные, интернет магазин, серьги, Новогодние серьги с ярким дизайном, бижутерия на новый год, набор 6шт";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-109;;191605642;;;Размер;единый
"Серьги с жемчугом 44001";;"<br />
Страна-изготовитель: Китай<br />
Материал: Бижутерный сплав, искусственный жемчуг<br />
<br />
<br />
<br />
<br />
 ";;44001;130,00;0,00;100,00;100,00000;шт;https://i2.storeland.net/3/749/207484217/6e1ffd/sergi-s-zhemchugom-44000.jpg;;;"Резинка для волос";"бижутерия оптом, браслет купить, купить серьги, неведимки, оптом, брошь оптом, серьги новый год, модные, интернет магазин, серьги, Новогодние серьги с ярким дизайном, бижутерия на новый год, набор 6шт";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-107;;191605635;;;Размер;единый
