"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Брюки теплые женские 51921";;"Размеры: 40, 42, 44, 46, 48, 50, 52, 54<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51921;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1669/216688641/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688642/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688643/6e1ffd/bryuki-teplye-zhenskie-51919.png";;;"Джинсы женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-44;;195174941;;;Размер;48    
"Брюки теплые женские 51921";;"Размеры: 40, 42, 44, 46, 48, 50, 52, 54<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51921;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1669/216688641/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688642/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688643/6e1ffd/bryuki-teplye-zhenskie-51919.png";;;"Джинсы женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-44;;195174941;;;Размер;40    
"Брюки теплые женские 51921";;"Размеры: 40, 42, 44, 46, 48, 50, 52, 54<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51921;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1669/216688641/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688642/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688643/6e1ffd/bryuki-teplye-zhenskie-51919.png";;;"Джинсы женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-44;;195174941;;;Размер;54
"Брюки теплые женские 51921";;"Размеры: 40, 42, 44, 46, 48, 50, 52, 54<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51921;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1669/216688641/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688642/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688643/6e1ffd/bryuki-teplye-zhenskie-51919.png";;;"Джинсы женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-44;;195174941;;;Размер;50
"Брюки теплые женские 51921";;"Размеры: 40, 42, 44, 46, 48, 50, 52, 54<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51921;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1669/216688641/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688642/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688643/6e1ffd/bryuki-teplye-zhenskie-51919.png";;;"Джинсы женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-44;;195174941;;;Размер;52
"Брюки теплые женские 51921";;"Размеры: 40, 42, 44, 46, 48, 50, 52, 54<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51921;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1669/216688641/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688642/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688643/6e1ffd/bryuki-teplye-zhenskie-51919.png";;;"Джинсы женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-44;;195174941;;;Размер;44
"Брюки теплые женские 51921";;"Размеры: 40, 42, 44, 46, 48, 50, 52, 54<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51921;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1669/216688641/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688642/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688643/6e1ffd/bryuki-teplye-zhenskie-51919.png";;;"Джинсы женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-44;;195174941;;;Размер;42
"Брюки теплые женские 51921";;"Размеры: 40, 42, 44, 46, 48, 50, 52, 54<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51921;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1669/216688641/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688642/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i4.storeland.net/3/1669/216688643/6e1ffd/bryuki-teplye-zhenskie-51919.png";;;"Джинсы женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-44;;195174941;;;Размер;46
"Лосины теплые женские 51920";;"Размеры: 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62<br />
Ткань: стрейч, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51920;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1669/216688638/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i5.storeland.net/3/1669/216688639/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i5.storeland.net/3/1669/216688640/6e1ffd/bryuki-teplye-zhenskie-51919.png";;;"Лосины женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-43;;195174939;;;Размер;48    
"Лосины теплые женские 51920";;"Размеры: 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62<br />
Ткань: стрейч, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51920;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1669/216688638/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i5.storeland.net/3/1669/216688639/6e1ffd/bryuki-teplye-zhenskie-51919.png
https://i5.storeland.net/3/1669/216688640/6e1ffd/bryuki-teplye-zhenskie-51919.png";;;"Лосины женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-43;;195174939;;;Размер;56
