"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1";"Название св-ва для модификации товара №2";"Значение св-ва для модификации товара №2"
"Свитер женский 51905";;"Размер: 44-52<br />
Ткань: витязь<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51905;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1667/216665039/6e1ffd/sviter-zhenskij-51904.png
https://i5.storeland.net/3/1667/216665040/6e1ffd/sviter-zhenskij-51905.png";;;"Свитер женский";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";23fbd77f51-69;;195164969;;;Размер;44-52;;
"Свитер женский 51904";;"Размер: 44-52<br />
Ткань: витязь<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51904;520,00;0,00;400,00;100,00000;шт;https://i1.storeland.net/3/1667/216665038/6e1ffd/sviter-zhenskij-51903.png;;;"Свитер женский";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";23fbd77f51-67;;195164968;;;Размер;44-52;;
"Свитер женский 51903";;"Размер: 44-52<br />
Ткань: витязь<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51903;520,00;0,00;400,00;100,00000;шт;https://i3.storeland.net/3/1667/216665037/6e1ffd/sviter-zhenskij-51902.png;;;"Свитер женский";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";23fbd77f51-57;;195164967;;;Размер;44-52;;
"Свитер женский 51902";;"Размер: 44-52<br />
Ткань: витязь<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51902;520,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1667/216665036/6e1ffd/sviter-zhenskij-51901.png;;;"Свитер женский";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";23fbd77f51-56;;195164966;;;Размер;44-52;;
"Свитер женский 51901";;"Размер: 44-52<br />
Ткань: витязь<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51901;520,00;0,00;400,00;100,00000;шт;https://i3.storeland.net/3/1667/216665035/6e1ffd/sviter-zhenskij-51312.png;;;"Свитер женский";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";23fbd77f51-54;;195164965;;;Размер;44-52;;
"Кофта женская 51839";;"Размер: 50, 52, 54, 56, 58, 60, 62, 64<br />
Ткань: кашемировая лапша<br />
Фото в реальности №2,№3<br />
<br />
<br />
<br />
<br />
<br />
 ";;51839;840,00;0,00;650,00;100,00000;шт;"https://i2.storeland.net/3/1656/216550836/6e1ffd/kofta-zhenskaya-51838.png
https://i5.storeland.net/3/1656/216553139/6e1ffd/kofta-zhenskaya-51839.png
https://i1.storeland.net/3/1656/216553140/6e1ffd/kofta-zhenskaya-51839.png";;;"Бомбер женский";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";120cf9ef5c-108;;195129267;;;Размер;50;;
"Кофта женская 51839";;"Размер: 50, 52, 54, 56, 58, 60, 62, 64<br />
Ткань: кашемировая лапша<br />
Фото в реальности №2,№3<br />
<br />
<br />
<br />
<br />
<br />
 ";;51839;840,00;0,00;650,00;100,00000;шт;"https://i2.storeland.net/3/1656/216550836/6e1ffd/kofta-zhenskaya-51838.png
https://i5.storeland.net/3/1656/216553139/6e1ffd/kofta-zhenskaya-51839.png
https://i1.storeland.net/3/1656/216553140/6e1ffd/kofta-zhenskaya-51839.png";;;"Бомбер женский";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";120cf9ef5c-108;;195129267;;;Размер;52;;
"Кофта женская 51839";;"Размер: 50, 52, 54, 56, 58, 60, 62, 64<br />
Ткань: кашемировая лапша<br />
Фото в реальности №2,№3<br />
<br />
<br />
<br />
<br />
<br />
 ";;51839;840,00;0,00;650,00;100,00000;шт;"https://i2.storeland.net/3/1656/216550836/6e1ffd/kofta-zhenskaya-51838.png
https://i5.storeland.net/3/1656/216553139/6e1ffd/kofta-zhenskaya-51839.png
https://i1.storeland.net/3/1656/216553140/6e1ffd/kofta-zhenskaya-51839.png";;;"Бомбер женский";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";120cf9ef5c-108;;195129267;;;Размер;54;;
"Кофта женская 51839";;"Размер: 50, 52, 54, 56, 58, 60, 62, 64<br />
Ткань: кашемировая лапша<br />
Фото в реальности №2,№3<br />
<br />
<br />
<br />
<br />
<br />
 ";;51839;840,00;0,00;650,00;100,00000;шт;"https://i2.storeland.net/3/1656/216550836/6e1ffd/kofta-zhenskaya-51838.png
https://i5.storeland.net/3/1656/216553139/6e1ffd/kofta-zhenskaya-51839.png
https://i1.storeland.net/3/1656/216553140/6e1ffd/kofta-zhenskaya-51839.png";;;"Бомбер женский";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";120cf9ef5c-108;;195129267;;;Размер;56;;
"Кофта женская 51839";;"Размер: 50, 52, 54, 56, 58, 60, 62, 64<br />
Ткань: кашемировая лапша<br />
Фото в реальности №2,№3<br />
<br />
<br />
<br />
<br />
<br />
 ";;51839;840,00;0,00;650,00;100,00000;шт;"https://i2.storeland.net/3/1656/216550836/6e1ffd/kofta-zhenskaya-51838.png
https://i5.storeland.net/3/1656/216553139/6e1ffd/kofta-zhenskaya-51839.png
https://i1.storeland.net/3/1656/216553140/6e1ffd/kofta-zhenskaya-51839.png";;;"Бомбер женский";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";120cf9ef5c-108;;195129267;;;Размер;60;;
