"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Бюстгальтер женский 51163";;"Ткань: полиамид<br />
Размер: 95, 100, 105. Чашка А/В<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51163;320,00;0,00;250,00;100,00000;шт;"https://i3.storeland.net/3/1628/216278573/6e1ffd/byustgalter-zhenskij-51162.png
https://i3.storeland.net/3/1628/216278574/6e1ffd/byustgalter-zhenskij-51162.png
https://i3.storeland.net/3/1628/216278575/6e1ffd/byustgalter-zhenskij-51162.png";;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-136;;194994644;;;Размер;95
"Бюстгальтер женский 51163";;"Ткань: полиамид<br />
Размер: 95, 100, 105. Чашка А/В<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51163;320,00;0,00;250,00;100,00000;шт;"https://i3.storeland.net/3/1628/216278573/6e1ffd/byustgalter-zhenskij-51162.png
https://i3.storeland.net/3/1628/216278574/6e1ffd/byustgalter-zhenskij-51162.png
https://i3.storeland.net/3/1628/216278575/6e1ffd/byustgalter-zhenskij-51162.png";;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-136;;194994644;;;Размер;100
"Бюстгальтер женский 51163";;"Ткань: полиамид<br />
Размер: 95, 100, 105. Чашка А/В<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51163;320,00;0,00;250,00;100,00000;шт;"https://i3.storeland.net/3/1628/216278573/6e1ffd/byustgalter-zhenskij-51162.png
https://i3.storeland.net/3/1628/216278574/6e1ffd/byustgalter-zhenskij-51162.png
https://i3.storeland.net/3/1628/216278575/6e1ffd/byustgalter-zhenskij-51162.png";;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-136;;194994644;;;Размер;105
"Бюстгальтер женский 51162";;"Ткань: полиамид<br />
Размер: 95, 100, 105. Чашка А/В<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51162;320,00;0,00;250,00;100,00000;шт;https://i1.storeland.net/3/1628/216278572/6e1ffd/byustgalter-zhenskij-51161.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-130;;194994643;;;Размер;95
"Бюстгальтер женский 51162";;"Ткань: полиамид<br />
Размер: 95, 100, 105. Чашка А/В<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51162;320,00;0,00;250,00;100,00000;шт;https://i1.storeland.net/3/1628/216278572/6e1ffd/byustgalter-zhenskij-51161.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-130;;194994643;;;Размер;100
"Бюстгальтер женский 51162";;"Ткань: полиамид<br />
Размер: 95, 100, 105. Чашка А/В<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51162;320,00;0,00;250,00;100,00000;шт;https://i1.storeland.net/3/1628/216278572/6e1ffd/byustgalter-zhenskij-51161.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-130;;194994643;;;Размер;105
"Бюстгальтер женский 51161";;"Ткань: полиамид<br />
Размер: 95, 100, 105. Чашка А/В<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51161;320,00;0,00;250,00;100,00000;шт;https://i1.storeland.net/3/1628/216278571/6e1ffd/byustgalter-zhenskij-51160.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-129;;194994642;;;Размер;95
"Бюстгальтер женский 51161";;"Ткань: полиамид<br />
Размер: 95, 100, 105. Чашка А/В<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51161;320,00;0,00;250,00;100,00000;шт;https://i1.storeland.net/3/1628/216278571/6e1ffd/byustgalter-zhenskij-51160.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-129;;194994642;;;Размер;100
"Бюстгальтер женский 51161";;"Ткань: полиамид<br />
Размер: 95, 100, 105. Чашка А/В<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51161;320,00;0,00;250,00;100,00000;шт;https://i1.storeland.net/3/1628/216278571/6e1ffd/byustgalter-zhenskij-51160.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-129;;194994642;;;Размер;105
"Бюстгальтер женский 51160";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51160;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1628/216278570/6e1ffd/byustgalter-zhenskij-51159.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-60;;194994641;;;Размер;95
