"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Куртка детская 50461";;"Размеры: 110, 120, 130, 140, 150<br />
Сезон: +5 до -25<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
 ";;50461;"1 100,00";0,00;850,00;100,00000;шт;"https://i2.storeland.net/3/1507/215068296/6e1ffd/kurtka-detskaya-50360.png
https://i1.storeland.net/3/1507/215068297/6e1ffd/kurtka-detskaya-50360.png";;;"Куртка детская";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, Жилет детский, куртка зима, куртка детская зима";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-83;;194539493;;;Размер;110
"Куртка детская 50461";;"Размеры: 110, 120, 130, 140, 150<br />
Сезон: +5 до -25<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
 ";;50461;"1 100,00";0,00;850,00;100,00000;шт;"https://i2.storeland.net/3/1507/215068296/6e1ffd/kurtka-detskaya-50360.png
https://i1.storeland.net/3/1507/215068297/6e1ffd/kurtka-detskaya-50360.png";;;"Куртка детская";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, Жилет детский, куртка зима, куртка детская зима";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-83;;194539493;;;Размер;130
"Куртка детская 50461";;"Размеры: 110, 120, 130, 140, 150<br />
Сезон: +5 до -25<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
 ";;50461;"1 100,00";0,00;850,00;100,00000;шт;"https://i2.storeland.net/3/1507/215068296/6e1ffd/kurtka-detskaya-50360.png
https://i1.storeland.net/3/1507/215068297/6e1ffd/kurtka-detskaya-50360.png";;;"Куртка детская";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, Жилет детский, куртка зима, куртка детская зима";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-83;;194539493;;;Размер;140
"Куртка детская 50461";;"Размеры: 110, 120, 130, 140, 150<br />
Сезон: +5 до -25<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
 ";;50461;"1 100,00";0,00;850,00;100,00000;шт;"https://i2.storeland.net/3/1507/215068296/6e1ffd/kurtka-detskaya-50360.png
https://i1.storeland.net/3/1507/215068297/6e1ffd/kurtka-detskaya-50360.png";;;"Куртка детская";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, Жилет детский, куртка зима, куртка детская зима";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-83;;194539493;;;Размер;120
"Куртка детская 50461";;"Размеры: 110, 120, 130, 140, 150<br />
Сезон: +5 до -25<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
 ";;50461;"1 100,00";0,00;850,00;100,00000;шт;"https://i2.storeland.net/3/1507/215068296/6e1ffd/kurtka-detskaya-50360.png
https://i1.storeland.net/3/1507/215068297/6e1ffd/kurtka-detskaya-50360.png";;;"Куртка детская";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, Жилет детский, куртка зима, куртка детская зима";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-83;;194539493;;;Размер;150
"Куртка детская 50460";;"Размеры: 110, 120, 130, 140, 150<br />
Сезон: +5 до -25<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
 ";;50460;"1 100,00";0,00;850,00;100,00000;шт;"https://i2.storeland.net/3/1507/215068294/6e1ffd/kurtka-detskaya-50359.png
https://i2.storeland.net/3/1507/215068295/6e1ffd/kurtka-detskaya-50359.png";;;"Куртка детская";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, Жилет детский, куртка зима, куртка детская зима";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-63;;194539492;;;Размер;110
"Куртка детская 50460";;"Размеры: 110, 120, 130, 140, 150<br />
Сезон: +5 до -25<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
 ";;50460;"1 100,00";0,00;850,00;100,00000;шт;"https://i2.storeland.net/3/1507/215068294/6e1ffd/kurtka-detskaya-50359.png
https://i2.storeland.net/3/1507/215068295/6e1ffd/kurtka-detskaya-50359.png";;;"Куртка детская";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, Жилет детский, куртка зима, куртка детская зима";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-63;;194539492;;;Размер;130
"Куртка детская 50460";;"Размеры: 110, 120, 130, 140, 150<br />
Сезон: +5 до -25<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
 ";;50460;"1 100,00";0,00;850,00;100,00000;шт;"https://i2.storeland.net/3/1507/215068294/6e1ffd/kurtka-detskaya-50359.png
https://i2.storeland.net/3/1507/215068295/6e1ffd/kurtka-detskaya-50359.png";;;"Куртка детская";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, Жилет детский, куртка зима, куртка детская зима";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-63;;194539492;;;Размер;140
"Куртка детская 50460";;"Размеры: 110, 120, 130, 140, 150<br />
Сезон: +5 до -25<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
 ";;50460;"1 100,00";0,00;850,00;100,00000;шт;"https://i2.storeland.net/3/1507/215068294/6e1ffd/kurtka-detskaya-50359.png
https://i2.storeland.net/3/1507/215068295/6e1ffd/kurtka-detskaya-50359.png";;;"Куртка детская";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, Жилет детский, куртка зима, куртка детская зима";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-63;;194539492;;;Размер;120
"Куртка детская 50460";;"Размеры: 110, 120, 130, 140, 150<br />
Сезон: +5 до -25<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
 ";;50460;"1 100,00";0,00;850,00;100,00000;шт;"https://i2.storeland.net/3/1507/215068294/6e1ffd/kurtka-detskaya-50359.png
https://i2.storeland.net/3/1507/215068295/6e1ffd/kurtka-detskaya-50359.png";;;"Куртка детская";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, Жилет детский, куртка зима, куртка детская зима";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-63;;194539492;;;Размер;150
