"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Свитер детский 51877";;"Без выбора цвета и модели<br />
Размеры: 110-120-130-140-150 ( 5 - 6 - 7 - 8 - 9 лет )<br />
Ткань: ангора<br />
<br />
<br />
<br />
<br />
 ";;51877;450,00;0,00;350,00;100,00000;шт;"https://i3.storeland.net/3/1663/216629656/6e1ffd/tolstovka-detskaya-37399.png
https://i3.storeland.net/3/1663/216629657/6e1ffd/tolstovka-detskaya-37399.png";;;"Свитер детский";"одежда оптом, кофта детская, купить кофту, детское оптом, оптом, ждетский костюм, прикольные, модные, интернет магазин, толстовка на девочку, Толстовка детская";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-134;;195149167;;;Размер;130
"Свитер детский 51877";;"Без выбора цвета и модели<br />
Размеры: 110-120-130-140-150 ( 5 - 6 - 7 - 8 - 9 лет )<br />
Ткань: ангора<br />
<br />
<br />
<br />
<br />
 ";;51877;450,00;0,00;350,00;100,00000;шт;"https://i3.storeland.net/3/1663/216629656/6e1ffd/tolstovka-detskaya-37399.png
https://i3.storeland.net/3/1663/216629657/6e1ffd/tolstovka-detskaya-37399.png";;;"Свитер детский";"одежда оптом, кофта детская, купить кофту, детское оптом, оптом, ждетский костюм, прикольные, модные, интернет магазин, толстовка на девочку, Толстовка детская";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-134;;195149167;;;Размер;120
"Свитер детский 51877";;"Без выбора цвета и модели<br />
Размеры: 110-120-130-140-150 ( 5 - 6 - 7 - 8 - 9 лет )<br />
Ткань: ангора<br />
<br />
<br />
<br />
<br />
 ";;51877;450,00;0,00;350,00;100,00000;шт;"https://i3.storeland.net/3/1663/216629656/6e1ffd/tolstovka-detskaya-37399.png
https://i3.storeland.net/3/1663/216629657/6e1ffd/tolstovka-detskaya-37399.png";;;"Свитер детский";"одежда оптом, кофта детская, купить кофту, детское оптом, оптом, ждетский костюм, прикольные, модные, интернет магазин, толстовка на девочку, Толстовка детская";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-134;;195149167;;;Размер;150
"Свитер детский 51877";;"Без выбора цвета и модели<br />
Размеры: 110-120-130-140-150 ( 5 - 6 - 7 - 8 - 9 лет )<br />
Ткань: ангора<br />
<br />
<br />
<br />
<br />
 ";;51877;450,00;0,00;350,00;100,00000;шт;"https://i3.storeland.net/3/1663/216629656/6e1ffd/tolstovka-detskaya-37399.png
https://i3.storeland.net/3/1663/216629657/6e1ffd/tolstovka-detskaya-37399.png";;;"Свитер детский";"одежда оптом, кофта детская, купить кофту, детское оптом, оптом, ждетский костюм, прикольные, модные, интернет магазин, толстовка на девочку, Толстовка детская";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-134;;195149167;;;Размер;140
"Свитер детский 51877";;"Без выбора цвета и модели<br />
Размеры: 110-120-130-140-150 ( 5 - 6 - 7 - 8 - 9 лет )<br />
Ткань: ангора<br />
<br />
<br />
<br />
<br />
 ";;51877;450,00;0,00;350,00;100,00000;шт;"https://i3.storeland.net/3/1663/216629656/6e1ffd/tolstovka-detskaya-37399.png
https://i3.storeland.net/3/1663/216629657/6e1ffd/tolstovka-detskaya-37399.png";;;"Свитер детский";"одежда оптом, кофта детская, купить кофту, детское оптом, оптом, ждетский костюм, прикольные, модные, интернет магазин, толстовка на девочку, Толстовка детская";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-134;;195149167;;;Размер;110
"Набор водолазок 3 шт 51509";;"БЕЗ ВЫБОРА ЦВЕТА <br />
Размеры: 92, 98, 104, 110, 116, 122, 128, 134, 146, 152<br />
Ткань: лапша<br />
<br />
<br />
<br />
<br />
<br />
 ";;51509;390,00;0,00;300,00;100,00000;шт;"https://i1.storeland.net/3/1637/216361596/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361597/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361598/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361599/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361600/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361601/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361602/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361604/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361605/6e1ffd/vodolazka-detskaya-44176.png";;;"Водолазка детская";"одежда оптом, кофта детская, купить кофту, детское оптом, оптом, ждетский костюм, прикольные, модные, интернет магазин, толстовка на девочку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-56;;195022090;;;Размер;110
"Набор водолазок 3 шт 51509";;"БЕЗ ВЫБОРА ЦВЕТА <br />
Размеры: 92, 98, 104, 110, 116, 122, 128, 134, 146, 152<br />
Ткань: лапша<br />
<br />
<br />
<br />
<br />
<br />
 ";;51509;390,00;0,00;300,00;99,00000;шт;"https://i1.storeland.net/3/1637/216361596/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361597/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361598/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361599/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361600/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361601/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361602/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361604/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361605/6e1ffd/vodolazka-detskaya-44176.png";;;"Водолазка детская";"одежда оптом, кофта детская, купить кофту, детское оптом, оптом, ждетский костюм, прикольные, модные, интернет магазин, толстовка на девочку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-56;;195022090;;;Размер;146
"Набор водолазок 3 шт 51509";;"БЕЗ ВЫБОРА ЦВЕТА <br />
Размеры: 92, 98, 104, 110, 116, 122, 128, 134, 146, 152<br />
Ткань: лапша<br />
<br />
<br />
<br />
<br />
<br />
 ";;51509;390,00;0,00;300,00;100,00000;шт;"https://i1.storeland.net/3/1637/216361596/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361597/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361598/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361599/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361600/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361601/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361602/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361604/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361605/6e1ffd/vodolazka-detskaya-44176.png";;;"Водолазка детская";"одежда оптом, кофта детская, купить кофту, детское оптом, оптом, ждетский костюм, прикольные, модные, интернет магазин, толстовка на девочку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-56;;195022090;;;Размер;134
"Набор водолазок 3 шт 51509";;"БЕЗ ВЫБОРА ЦВЕТА <br />
Размеры: 92, 98, 104, 110, 116, 122, 128, 134, 146, 152<br />
Ткань: лапша<br />
<br />
<br />
<br />
<br />
<br />
 ";;51509;390,00;0,00;300,00;100,00000;шт;"https://i1.storeland.net/3/1637/216361596/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361597/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361598/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361599/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361600/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361601/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361602/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361604/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361605/6e1ffd/vodolazka-detskaya-44176.png";;;"Водолазка детская";"одежда оптом, кофта детская, купить кофту, детское оптом, оптом, ждетский костюм, прикольные, модные, интернет магазин, толстовка на девочку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-56;;195022090;;;Размер;116
"Набор водолазок 3 шт 51509";;"БЕЗ ВЫБОРА ЦВЕТА <br />
Размеры: 92, 98, 104, 110, 116, 122, 128, 134, 146, 152<br />
Ткань: лапша<br />
<br />
<br />
<br />
<br />
<br />
 ";;51509;390,00;0,00;300,00;100,00000;шт;"https://i1.storeland.net/3/1637/216361596/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361597/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361598/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361599/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361600/6e1ffd/vodolazka-detskaya-44176.png
https://i2.storeland.net/3/1637/216361601/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361602/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361604/6e1ffd/vodolazka-detskaya-44176.png
https://i1.storeland.net/3/1637/216361605/6e1ffd/vodolazka-detskaya-44176.png";;;"Водолазка детская";"одежда оптом, кофта детская, купить кофту, детское оптом, оптом, ждетский костюм, прикольные, модные, интернет магазин, толстовка на девочку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-56;;195022090;;;Размер;122
