"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Платье детское 49075";;"Размеры: 98, 104, 110, 116, 122<br />
Ткань: хлопок<br />
Производство: Узбекистан<br />
<br />
<br />
<br />
<br />
 ";;49075;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/3/1367/213660667/6e1ffd/plate-detskoe-49074.png;;;"Платье детское";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, платья детские оптом, детская одежда оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-97;;194075089;;;Размер;116
"Платье детское 49075";;"Размеры: 98, 104, 110, 116, 122<br />
Ткань: хлопок<br />
Производство: Узбекистан<br />
<br />
<br />
<br />
<br />
 ";;49075;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/3/1367/213660667/6e1ffd/plate-detskoe-49074.png;;;"Платье детское";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, платья детские оптом, детская одежда оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-97;;194075089;;;Размер;110
"Платье детское 49075";;"Размеры: 98, 104, 110, 116, 122<br />
Ткань: хлопок<br />
Производство: Узбекистан<br />
<br />
<br />
<br />
<br />
 ";;49075;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/3/1367/213660667/6e1ffd/plate-detskoe-49074.png;;;"Платье детское";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, платья детские оптом, детская одежда оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-97;;194075089;;;Размер;98
"Платье детское 49075";;"Размеры: 98, 104, 110, 116, 122<br />
Ткань: хлопок<br />
Производство: Узбекистан<br />
<br />
<br />
<br />
<br />
 ";;49075;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/3/1367/213660667/6e1ffd/plate-detskoe-49074.png;;;"Платье детское";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, платья детские оптом, детская одежда оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-97;;194075089;;;Размер;122
"Платье детское 49075";;"Размеры: 98, 104, 110, 116, 122<br />
Ткань: хлопок<br />
Производство: Узбекистан<br />
<br />
<br />
<br />
<br />
 ";;49075;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/3/1367/213660667/6e1ffd/plate-detskoe-49074.png;;;"Платье детское";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, платья детские оптом, детская одежда оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-97;;194075089;;;Размер;104
"Платье детское 49074";;"Размеры: 98, 104, 110, 116, 122<br />
Ткань: хлопок<br />
Производство: Узбекистан<br />
<br />
<br />
<br />
<br />
 ";;49074;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/3/1367/213660666/6e1ffd/plate-detskoe-49073.png;;;"Платье детское";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, платья детские оптом, детская одежда оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-96;;194075087;;;Размер;116
"Платье детское 49074";;"Размеры: 98, 104, 110, 116, 122<br />
Ткань: хлопок<br />
Производство: Узбекистан<br />
<br />
<br />
<br />
<br />
 ";;49074;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/3/1367/213660666/6e1ffd/plate-detskoe-49073.png;;;"Платье детское";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, платья детские оптом, детская одежда оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-96;;194075087;;;Размер;110
"Платье детское 49074";;"Размеры: 98, 104, 110, 116, 122<br />
Ткань: хлопок<br />
Производство: Узбекистан<br />
<br />
<br />
<br />
<br />
 ";;49074;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/3/1367/213660666/6e1ffd/plate-detskoe-49073.png;;;"Платье детское";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, платья детские оптом, детская одежда оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-96;;194075087;;;Размер;98
"Платье детское 49074";;"Размеры: 98, 104, 110, 116, 122<br />
Ткань: хлопок<br />
Производство: Узбекистан<br />
<br />
<br />
<br />
<br />
 ";;49074;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/3/1367/213660666/6e1ffd/plate-detskoe-49073.png;;;"Платье детское";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, платья детские оптом, детская одежда оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-96;;194075087;;;Размер;122
"Платье детское 49074";;"Размеры: 98, 104, 110, 116, 122<br />
Ткань: хлопок<br />
Производство: Узбекистан<br />
<br />
<br />
<br />
<br />
 ";;49074;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/3/1367/213660666/6e1ffd/plate-detskoe-49073.png;;;"Платье детское";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, детский костюм, прикольные, модные, интернет магазин, детская одежда оптом, платья детские оптом, детская одежда оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";214e376b89-96;;194075087;;;Размер;104
