"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Комплект детский 32013";;"<br />
Размер: от 3 до 12 лет<br />
Ткань: двойной трикотаж<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;32013;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/2/9287/192861973/6e1ffd/komplekt-detskij-32012.jpg;;;"Кофта женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-134;;186112787;;;Размер;единый
"Комплект детский 32012";;"<br />
Размер: от 3 до 12 лет<br />
Ткань: двойной трикотаж<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;32012;320,00;0,00;250,00;100,00000;шт;https://i2.storeland.net/2/9287/192861886/6e1ffd/komplekt-detskij-32011.jpg;;;"Кофта женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-133;;186112771;;;Размер;единый
"Комплект детский 32011";;"<br />
Размер: от 3 до 12 лет<br />
Ткань: двойной трикотаж<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;32011;320,00;0,00;250,00;100,00000;шт;https://i2.storeland.net/2/9287/192861820/6e1ffd/komplekt-detskij-32010.jpg;;;"Кофта женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-132;;186112756;;;Размер;единый
"Комплект детский 32010";;"<br />
Размер: от 3 до 12 лет<br />
Ткань: двойной трикотаж<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;32010;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/2/9287/192861749/6e1ffd/komplekt-detskij-32009.jpg;;;"Кофта женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-131;;186112741;;;Размер;единый
"Комплект детский 32009";;"<br />
Размер: от 3 до 12 лет<br />
Ткань: двойной трикотаж<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;32009;320,00;0,00;250,00;100,00000;шт;https://i2.storeland.net/2/9287/192861633/6e1ffd/komplekt-detskij-32008.jpg;;;"Кофта женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-130;;186112721;;;Размер;единый
"Комплект детский 32008";;"<br />
Размер: от 3 до 12 лет<br />
Ткань: двойной трикотаж<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;32008;320,00;0,00;250,00;100,00000;шт;https://i2.storeland.net/2/9287/192861567/6e1ffd/komplekt-detskij-32007.jpg;;;"Кофта женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-129;;186112708;;;Размер;единый
"Комплект детский 32007";;"<br />
Размер: от 3 до 12 лет<br />
Ткань: двойной трикотаж<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;32007;320,00;0,00;250,00;100,00000;шт;https://i2.storeland.net/2/9287/192861508/6e1ffd/komplekt-detskij-32006.jpg;;;"Кофта женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-128;;186112697;;;Размер;единый
"Комплект детский 32006";;"<br />
Размер: от 3 до 12 лет<br />
Ткань: двойной трикотаж<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;32006;320,00;0,00;250,00;100,00000;шт;https://i5.storeland.net/2/9287/192861455/6e1ffd/komplekt-detskij-32005.jpg;;;"Кофта женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-127;;186112687;;;Размер;единый
"Комплект детский 32005";;"<br />
Размер: от 3 до 12 лет<br />
Ткань: двойной трикотаж<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;32005;320,00;0,00;250,00;100,00000;шт;https://i2.storeland.net/2/9287/192861390/6e1ffd/komplekt-detskij-32004.jpg;;;"Кофта женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-126;;186112662;;;Размер;единый
"Комплект детский 32004";;"<br />
Размер: от 5 до 15 лет<br />
Ткань: двойной трикотаж<br />
Состав: 95% хлопок, 5% эластан<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;32004;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/2/9287/192860754/6e1ffd/komplekt-detskij-32003.jpg;;;"Кофта женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-125;;186112518;;;Размер;единый
