"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Лосины теплые детские 51892";;"Размеры: 92-98, 98-104, 104-110<br />
Ткань: флис<br />
<br />
<br />
<br />
<br />
<br />
 ";;51892;350,00;0,00;270,00;100,00000;шт;"https://i4.storeland.net/3/1667/216664359/6e1ffd/losiny-teplye-detskie-51891.png
https://i1.storeland.net/3/1667/216664360/6e1ffd/losiny-teplye-detskie-51891.png
https://i4.storeland.net/3/1667/216664361/6e1ffd/losiny-teplye-detskie-51891.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-19;;195164832;;;Размер;92-98
"Лосины теплые детские 51892";;"Размеры: 92-98, 98-104, 104-110<br />
Ткань: флис<br />
<br />
<br />
<br />
<br />
<br />
 ";;51892;350,00;0,00;270,00;100,00000;шт;"https://i4.storeland.net/3/1667/216664359/6e1ffd/losiny-teplye-detskie-51891.png
https://i1.storeland.net/3/1667/216664360/6e1ffd/losiny-teplye-detskie-51891.png
https://i4.storeland.net/3/1667/216664361/6e1ffd/losiny-teplye-detskie-51891.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-19;;195164832;;;Размер;98-104    
"Лосины теплые детские 51892";;"Размеры: 92-98, 98-104, 104-110<br />
Ткань: флис<br />
<br />
<br />
<br />
<br />
<br />
 ";;51892;350,00;0,00;270,00;100,00000;шт;"https://i4.storeland.net/3/1667/216664359/6e1ffd/losiny-teplye-detskie-51891.png
https://i1.storeland.net/3/1667/216664360/6e1ffd/losiny-teplye-detskie-51891.png
https://i4.storeland.net/3/1667/216664361/6e1ffd/losiny-teplye-detskie-51891.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-19;;195164832;;;Размер;104-110 
"Лосины теплые детские 51891";;"Размеры: 92-98, 98-104, 104-110<br />
Ткань: флис<br />
<br />
<br />
<br />
<br />
<br />
 ";;51891;350,00;0,00;270,00;100,00000;шт;"https://i3.storeland.net/3/1667/216664356/6e1ffd/losiny-teplye-detskie-51890.png
https://i4.storeland.net/3/1667/216664357/6e1ffd/losiny-teplye-detskie-51890.png
https://i4.storeland.net/3/1667/216664358/6e1ffd/losiny-teplye-detskie-51890.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-16;;195164831;;;Размер;92-98
"Лосины теплые детские 51891";;"Размеры: 92-98, 98-104, 104-110<br />
Ткань: флис<br />
<br />
<br />
<br />
<br />
<br />
 ";;51891;350,00;0,00;270,00;100,00000;шт;"https://i3.storeland.net/3/1667/216664356/6e1ffd/losiny-teplye-detskie-51890.png
https://i4.storeland.net/3/1667/216664357/6e1ffd/losiny-teplye-detskie-51890.png
https://i4.storeland.net/3/1667/216664358/6e1ffd/losiny-teplye-detskie-51890.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-16;;195164831;;;Размер;98-104    
"Лосины теплые детские 51891";;"Размеры: 92-98, 98-104, 104-110<br />
Ткань: флис<br />
<br />
<br />
<br />
<br />
<br />
 ";;51891;350,00;0,00;270,00;100,00000;шт;"https://i3.storeland.net/3/1667/216664356/6e1ffd/losiny-teplye-detskie-51890.png
https://i4.storeland.net/3/1667/216664357/6e1ffd/losiny-teplye-detskie-51890.png
https://i4.storeland.net/3/1667/216664358/6e1ffd/losiny-teplye-detskie-51890.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-16;;195164831;;;Размер;104-110 
"Лосины теплые детские 51890";;"Размеры: 92-98, 98-104, 104-110<br />
Ткань: флис<br />
<br />
<br />
<br />
<br />
<br />
 ";;51890;350,00;0,00;270,00;100,00000;шт;"https://i5.storeland.net/3/1667/216664353/6e1ffd/losiny-teplye-detskie-51889.png
https://i5.storeland.net/3/1667/216664354/6e1ffd/losiny-teplye-detskie-51889.png
https://i3.storeland.net/3/1667/216664355/6e1ffd/losiny-teplye-detskie-51889.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-14;;195164830;;;Размер;92-98
"Лосины теплые детские 51890";;"Размеры: 92-98, 98-104, 104-110<br />
Ткань: флис<br />
<br />
<br />
<br />
<br />
<br />
 ";;51890;350,00;0,00;270,00;100,00000;шт;"https://i5.storeland.net/3/1667/216664353/6e1ffd/losiny-teplye-detskie-51889.png
https://i5.storeland.net/3/1667/216664354/6e1ffd/losiny-teplye-detskie-51889.png
https://i3.storeland.net/3/1667/216664355/6e1ffd/losiny-teplye-detskie-51889.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-14;;195164830;;;Размер;98-104    
"Лосины теплые детские 51890";;"Размеры: 92-98, 98-104, 104-110<br />
Ткань: флис<br />
<br />
<br />
<br />
<br />
<br />
 ";;51890;350,00;0,00;270,00;100,00000;шт;"https://i5.storeland.net/3/1667/216664353/6e1ffd/losiny-teplye-detskie-51889.png
https://i5.storeland.net/3/1667/216664354/6e1ffd/losiny-teplye-detskie-51889.png
https://i3.storeland.net/3/1667/216664355/6e1ffd/losiny-teplye-detskie-51889.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-14;;195164830;;;Размер;104-110 
"Лосины теплые детские 51889";;"Размеры: 92-98, 98-104, 104-110<br />
Ткань: флис<br />
<br />
<br />
<br />
<br />
<br />
 ";;51889;350,00;0,00;270,00;100,00000;шт;"https://i5.storeland.net/3/1667/216664348/6e1ffd/bryuki-teplye-detskie-51888.png
https://i5.storeland.net/3/1667/216664349/6e1ffd/bryuki-teplye-detskie-51888.png
https://i5.storeland.net/3/1667/216664350/6e1ffd/bryuki-teplye-detskie-51888.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-11;;195164828;;;Размер;92-98
