"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Футболка детская 51896";;"БЕЗ ВЫБОРА!<br />
Размеры: 80, 86, 92, 98, 104, 110, 110, 116, 122, 128, 134, 140, 146, 152, 158<br />
Ткань: хлопок.<br />
<br />
<br />
<br />
<br />
 ";;51896;136,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664439/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664440/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664441/6e1ffd/futbolka-detskaya-51895.png";;;"Спортивный костюм мужской";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";a21d843fb1-7;;195164850;;;Размер;116
"Футболка детская 51896";;"БЕЗ ВЫБОРА!<br />
Размеры: 80, 86, 92, 98, 104, 110, 110, 116, 122, 128, 134, 140, 146, 152, 158<br />
Ткань: хлопок.<br />
<br />
<br />
<br />
<br />
 ";;51896;136,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664439/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664440/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664441/6e1ffd/futbolka-detskaya-51895.png";;;"Спортивный костюм мужской";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";a21d843fb1-7;;195164850;;;Размер;110
"Футболка детская 51896";;"БЕЗ ВЫБОРА!<br />
Размеры: 80, 86, 92, 98, 104, 110, 110, 116, 122, 128, 134, 140, 146, 152, 158<br />
Ткань: хлопок.<br />
<br />
<br />
<br />
<br />
 ";;51896;136,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664439/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664440/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664441/6e1ffd/futbolka-detskaya-51895.png";;;"Спортивный костюм мужской";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";a21d843fb1-7;;195164850;;;Размер;122
"Футболка детская 51896";;"БЕЗ ВЫБОРА!<br />
Размеры: 80, 86, 92, 98, 104, 110, 110, 116, 122, 128, 134, 140, 146, 152, 158<br />
Ткань: хлопок.<br />
<br />
<br />
<br />
<br />
 ";;51896;136,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664439/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664440/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664441/6e1ffd/futbolka-detskaya-51895.png";;;"Спортивный костюм мужской";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";a21d843fb1-7;;195164850;;;Размер;128
"Футболка детская 51896";;"БЕЗ ВЫБОРА!<br />
Размеры: 80, 86, 92, 98, 104, 110, 110, 116, 122, 128, 134, 140, 146, 152, 158<br />
Ткань: хлопок.<br />
<br />
<br />
<br />
<br />
 ";;51896;136,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664439/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664440/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664441/6e1ffd/futbolka-detskaya-51895.png";;;"Спортивный костюм мужской";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";a21d843fb1-7;;195164850;;;Размер;92    
"Футболка детская 51896";;"БЕЗ ВЫБОРА!<br />
Размеры: 80, 86, 92, 98, 104, 110, 110, 116, 122, 128, 134, 140, 146, 152, 158<br />
Ткань: хлопок.<br />
<br />
<br />
<br />
<br />
 ";;51896;136,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664439/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664440/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664441/6e1ffd/futbolka-detskaya-51895.png";;;"Спортивный костюм мужской";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";a21d843fb1-7;;195164850;;;Размер;98
"Футболка детская 51896";;"БЕЗ ВЫБОРА!<br />
Размеры: 80, 86, 92, 98, 104, 110, 110, 116, 122, 128, 134, 140, 146, 152, 158<br />
Ткань: хлопок.<br />
<br />
<br />
<br />
<br />
 ";;51896;136,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664439/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664440/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664441/6e1ffd/futbolka-detskaya-51895.png";;;"Спортивный костюм мужской";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";a21d843fb1-7;;195164850;;;Размер;104
"Футболка детская 51896";;"БЕЗ ВЫБОРА!<br />
Размеры: 80, 86, 92, 98, 104, 110, 110, 116, 122, 128, 134, 140, 146, 152, 158<br />
Ткань: хлопок.<br />
<br />
<br />
<br />
<br />
 ";;51896;136,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664439/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664440/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664441/6e1ffd/futbolka-detskaya-51895.png";;;"Спортивный костюм мужской";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";a21d843fb1-7;;195164850;;;Размер;134
"Футболка детская 51896";;"БЕЗ ВЫБОРА!<br />
Размеры: 80, 86, 92, 98, 104, 110, 110, 116, 122, 128, 134, 140, 146, 152, 158<br />
Ткань: хлопок.<br />
<br />
<br />
<br />
<br />
 ";;51896;136,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664439/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664440/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664441/6e1ffd/futbolka-detskaya-51895.png";;;"Спортивный костюм мужской";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";a21d843fb1-7;;195164850;;;Размер;140
"Футболка детская 51896";;"БЕЗ ВЫБОРА!<br />
Размеры: 80, 86, 92, 98, 104, 110, 110, 116, 122, 128, 134, 140, 146, 152, 158<br />
Ткань: хлопок.<br />
<br />
<br />
<br />
<br />
 ";;51896;136,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664439/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664440/6e1ffd/futbolka-detskaya-51895.png
https://i1.storeland.net/3/1667/216664441/6e1ffd/futbolka-detskaya-51895.png";;;"Спортивный костюм мужской";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";a21d843fb1-7;;195164850;;;Размер;146
