"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Подарочный набор 51727";;"Полотенца в подарочной упаковке<br />
В наборе два полотенца<br />
Размер 25х50 см<br />
Состав 100% хлопок<br />
Без выбора цвета<br />
<br />
<br />
<br />
 ";;51727;130,00;0,00;100,00;100,00000;шт;"https://i5.storeland.net/3/1650/216493763/6e1ffd/podarochnyj-nabor-51725.png
https://i2.storeland.net/3/1650/216493764/6e1ffd/podarochnyj-nabor-51725.png";;;"Подарочный набор";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год, полотенца 2026, полотенца новый год, год лошади";;Komplet-postelnogo-belya-270;;195107380;;;Размер;единый
"Набор полотенец 12 шт 51726";;"В наборе 12 полотенц<br />
Размер 35х65 см<br />
Состав 100% хлопок <br />
Без выбора цвета<br />
<br />
<br />
<br />
 ";;51726;450,00;0,00;350,00;100,00000;шт;"https://i1.storeland.net/3/1650/216493700/6e1ffd/nabor-polotenec-12-sht-50675.png
https://i3.storeland.net/3/1650/216493701/6e1ffd/nabor-polotenec-12-sht-50675.png
https://i1.storeland.net/3/1650/216493702/6e1ffd/nabor-polotenec-12-sht-50675.png
https://i1.storeland.net/3/1650/216493703/6e1ffd/nabor-polotenec-12-sht-50675.png
https://i1.storeland.net/3/1650/216493704/6e1ffd/nabor-polotenec-12-sht-50675.png
https://i3.storeland.net/3/1650/216493705/6e1ffd/nabor-polotenec-12-sht-50675.png";;;"Подарочный набор";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год, полотенца 2026, полотенца новый год, год лошади";;Komplet-postelnogo-belya-269;;195107364;;;Размер;единый
"Подарочный набор 51725";;"Полотенца в подарочной упаковке<br />
В наборе два полотенца<br />
Размер 25х50 см<br />
Состав 100% хлопок<br />
Без выбора цвета<br />
<br />
<br />
<br />
 ";;51725;130,00;0,00;100,00;100,00000;шт;"https://i3.storeland.net/3/1650/216493670/6e1ffd/podarochnyj-nabor-51529.png
https://i5.storeland.net/3/1650/216493671/6e1ffd/podarochnyj-nabor-51529.png
https://i5.storeland.net/3/1650/216493672/6e1ffd/podarochnyj-nabor-51529.png";;;"Подарочный набор";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год, полотенца 2026, полотенца новый год, год лошади";;Komplet-postelnogo-belya-268;;195107339;;;Размер;единый
"Набор полотенец 3 шт 51724";;"В наборе 3 полотенца<br />
Размер: 46*60см<br />
Состав: хлопок<br />
Призводство Узбекистан<br />
Каждое полотенце имеет петельку для удобства<br />
<br />
<br />
 ";;51724;195,00;0,00;150,00;100,00000;шт;"https://i2.storeland.net/3/1650/216493611/6e1ffd/nabor-polotenec-4-sht-51723.png
https://i2.storeland.net/3/1650/216493612/6e1ffd/nabor-polotenec-4-sht-51723.png
https://i2.storeland.net/3/1650/216493613/6e1ffd/nabor-polotenec-4-sht-51723.png";;;"Подарочный набор";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год, полотенца 2026, полотенца новый год, год лошади";;Komplet-postelnogo-belya-267;;195107321;;;Размер;единый
"Набор полотенец 4 шт 51723";;"В наборе 4 полотенца<br />
Размер: 35*60см<br />
Состав: хлопок<br />
Призводство Узбекистан<br />
Каждое полотенце имеет петельку для удобства<br />
<br />
<br />
 ";;51723;195,00;0,00;150,00;100,00000;шт;"https://i4.storeland.net/3/1650/216493604/6e1ffd/nabor-polotenec-4-sht-51722.png
https://i4.storeland.net/3/1650/216493605/6e1ffd/nabor-polotenec-4-sht-51722.png
https://i4.storeland.net/3/1650/216493606/6e1ffd/nabor-polotenec-4-sht-51722.png";;;"Подарочный набор";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год, полотенца 2026, полотенца новый год, год лошади";;Komplet-postelnogo-belya-266;;195107316;;;Размер;единый
"Набор полотенец 4 шт 51722";;"В наборе 4 полотенца<br />
Размер: 35*60см<br />
Состав: хлопок<br />
Призводство Узбекистан<br />
Каждое полотенце имеет петельку для удобства<br />
<br />
<br />
 ";;51722;195,00;0,00;150,00;100,00000;шт;"https://i5.storeland.net/3/1650/216493593/6e1ffd/nabor-polotenec-12-sht-51531.png
https://i5.storeland.net/3/1650/216493594/6e1ffd/nabor-polotenec-12-sht-51531.png";;;"Подарочный набор";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год, полотенца 2026, полотенца новый год, год лошади";;Komplet-postelnogo-belya-168;;195107304;;;Размер;единый
"Набор полотенец 12 шт 51532";;"В наборе 12 полотенц<br />
С петелькой<br />
Состав микрофибра<br />
Без выбора цвета<br />
<br />
<br />
<br />
 ";;51532;390,00;0,00;300,00;100,00000;шт;https://i2.storeland.net/3/1642/216415080/6e1ffd/nabor-polotenec-12-sht-51531.png;;;"Подарочный набор";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год, полотенца 2026, полотенца новый год, год лошади";;Komplet-postelnogo-belya-265;;195035142;;;Размер;единый
"Набор полотенец 12 шт 51531";;"В наборе 12 полотенц<br />
С петелькой<br />
Состав микрофибра<br />
Без выбора цвета<br />
<br />
<br />
<br />
 ";;51531;390,00;0,00;300,00;100,00000;шт;"https://i3.storeland.net/3/1642/216415015/6e1ffd/nabor-polotenec-12-sht-50675.png
https://i5.storeland.net/3/1642/216415016/6e1ffd/nabor-polotenec-12-sht-50675.png
https://i3.storeland.net/3/1642/216415017/6e1ffd/nabor-polotenec-12-sht-50675.png";;;"Подарочный набор";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год, полотенца 2026, полотенца новый год, год лошади";;Komplet-postelnogo-belya-264;;195035129;;;Размер;единый
"Подарочный набор 51530";;"Полотенца в подарочной упаковке<br />
В наборе два полотенца<br />
Размер 25х50 см<br />
Состав микрофибра<br />
Без выбора цвета<br />
<br />
<br />
<br />
 ";;51530;155,00;0,00;120,00;100,00000;шт;"https://i2.storeland.net/3/1642/216414995/6e1ffd/podarochnyj-nabor-51529.png
https://i5.storeland.net/3/1642/216414996/6e1ffd/podarochnyj-nabor-51529.png
https://i5.storeland.net/3/1642/216414997/6e1ffd/podarochnyj-nabor-51529.png";;;"Подарочный набор";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год, полотенца 2026, полотенца новый год, год лошади";;Komplet-postelnogo-belya-263;;195035128;;;Размер;единый
"Подарочный набор 51529";;"Полотенца в подарочной упаковке<br />
В наборе два полотенца<br />
Размер 40х60 см<br />
Состав 100% хлопок<br />
Без выбора цвета<br />
<br />
<br />
<br />
 ";;51529;260,00;0,00;200,00;100,00000;шт;"https://i4.storeland.net/3/1642/216414993/6e1ffd/podarochnyj-nabor-50684.png
https://i4.storeland.net/3/1642/216414994/6e1ffd/podarochnyj-nabor-50684.png";;;"Подарочный набор";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год, полотенца 2026, полотенца новый год, год лошади";;Komplet-postelnogo-belya-261;;195035127;;;Размер;единый
