"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Подушка Новогодняя 51527";;"Без выбора! <br />
Размер 45*45 см<br />
Микрофибра<br />
Мягкая игрушка - замечательный подарок для родных и близких. Бережная стирка в ручном режиме при t 30-40С. Стильная подушка отлично впишется в интерьер, а также может быть оригинальным подарком! Наша подушка еда станет любимчиком всей вашей семьи.<br />
<br />
<br />
<br />
 ";;51527;320,00;0,00;250,00;100,00000;шт;"https://i3.storeland.net/3/1642/216414955/6e1ffd/podushka-chipsy-lay-039-s-44926.png
https://i3.storeland.net/3/1642/216414956/6e1ffd/podushka-chipsy-lay-039-s-44926.png
https://i3.storeland.net/3/1642/216414957/6e1ffd/podushka-chipsy-lay-039-s-44926.png
https://i1.storeland.net/3/1642/216414958/6e1ffd/podushka-chipsy-lay-039-s-44926.png
https://i1.storeland.net/3/1642/216414959/6e1ffd/podushka-chipsy-lay-039-s-44926.png
https://i3.storeland.net/3/1642/216414960/6e1ffd/podushka-chipsy-lay-039-s-44926.png
https://i3.storeland.net/3/1642/216414961/6e1ffd/podushka-chipsy-lay-039-s-44926.png
https://i4.storeland.net/3/1642/216414962/6e1ffd/podushka-chipsy-lay-039-s-44926.png";;;"Подушка новогодняя";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-259;;195035125;;;Размер;единый
"Подушка 50178";;"Производство: росссия<br />
Цвет без выбора<br />
<br />
<br />
 ";;50178;320,00;0,00;250,00;100,00000;шт;https://i1.storeland.net/3/1466/214650468/6e1ffd/podushka-50175.png;;;Плед;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, кпб детское, плед лабубу";;Komplet-postelnogo-belya-419;;194438485;;;Размер;единый
"Плед с игрушкой 50176";;"Размер пледа: 100*150см <br />
Материал: плюш<br />
Цвет без выбора<br />
<br />
<br />
 ";;50176;910,00;0,00;700,00;100,00000;шт;"https://i3.storeland.net/3/1465/214648087/6e1ffd/pled-s-igrushkoj-50144.png
https://i3.storeland.net/3/1465/214648088/6e1ffd/pled-s-igrushkoj-50144.png";;;Плед;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, кпб детское, плед лабубу";;Komplet-postelnogo-belya-417;;194437873;;;Размер;единый
"Плед с игрушкой 50174";;"Размер игрушки: 50см<br />
Размер пледа: 110*160см (+-5см.)<br />
Материал: плюш<br />
Плед: приятное для кожи фланелевое одеяло, с рисунком labubu<br />
Цветная ткань, красивый узор<br />
Цвет без выбора<br />
<br />
<br />
 ";;50174;910,00;0,00;700,00;100,00000;шт;"https://i5.storeland.net/3/1465/214647112/6e1ffd/pled-s-igrushkoj-50142.png
https://i5.storeland.net/3/1465/214647113/6e1ffd/pled-s-igrushkoj-50142.png
https://i5.storeland.net/3/1465/214647114/6e1ffd/pled-s-igrushkoj-50142.png";;;Плед;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, кпб детское, плед лабубу";;Komplet-postelnogo-belya-415;;194437684;;;Размер;единый
"Подушка Лабубу 50173";;"Размер: 45*45 см<br />
Цвет без выбора<br />
<br />
<br />
 ";;50173;390,00;0,00;300,00;100,00000;шт;"https://i5.storeland.net/3/1465/214646691/6e1ffd/pled-s-igrushkoj-50142.png
https://i5.storeland.net/3/1465/214646692/6e1ffd/pled-s-igrushkoj-50142.png
https://i5.storeland.net/3/1465/214646693/6e1ffd/pled-s-igrushkoj-50142.png
https://i2.storeland.net/3/1465/214646727/6e1ffd/pled-s-igrushkoj-50142.png";;;Плед;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, кпб детское, плед лабубу";;Komplet-postelnogo-belya-414;;194437574;;;Размер;единый
"Плед с игрушкой 50172";;"Размер: 110*150 см<br />
Состав: велюр<br />
<br />
<br />
 ";;50172;910,00;0,00;700,00;100,00000;шт;https://i1.storeland.net/3/1465/214644608/6e1ffd/pled-s-igrushkoj-50141.png;;;Плед;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, кпб детское, плед лабубу";;Komplet-postelnogo-belya-413;;194437194;;;Размер;единый
"Плед с игрушкой 50171";;"Размер: 110*150 см<br />
Состав: велюр<br />
<br />
<br />
 ";;50171;910,00;0,00;700,00;100,00000;шт;https://i1.storeland.net/3/1465/214644607/6e1ffd/pled-s-igrushkoj-50140.png;;;Плед;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, кпб детское, плед лабубу";;Komplet-postelnogo-belya-412;;194437193;;;Размер;единый
"Плед с игрушкой 50170";;"Размер: 110*150 см<br />
Состав: велюр<br />
<br />
<br />
 ";;50170;910,00;0,00;700,00;100,00000;шт;https://i4.storeland.net/3/1465/214644604/6e1ffd/pled-s-igrushkoj-50139.png;;;Плед;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, кпб детское, плед лабубу";;Komplet-postelnogo-belya-411;;194437192;;;Размер;единый
"Плед с игрушкой 50169";;"Размер: 110*150 см<br />
Состав: велюр<br />
<br />
<br />
 ";;50169;910,00;0,00;700,00;100,00000;шт;https://i2.storeland.net/3/1465/214644603/6e1ffd/pled-novyj-god-50138.png;;;Плед;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, кпб детское, плед лабубу";;Komplet-postelnogo-belya-410;;194437191;;;Размер;единый
"Плед Новый год 50168";;"Размер: 180*200 см<br />
Состав: микрофибра<br />
Без выбора цвета<br />
<br />
 ";;50168;320,00;0,00;250,00;100,00000;шт;"https://i5.storeland.net/3/1465/214643036/6e1ffd/pled-labubu-50163.png
https://i5.storeland.net/3/1465/214643037/6e1ffd/pled-labubu-50163.png
https://i5.storeland.net/3/1465/214643038/6e1ffd/pled-labubu-50163.png
https://i5.storeland.net/3/1465/214643039/6e1ffd/pled-labubu-50163.png
https://i5.storeland.net/3/1465/214643040/6e1ffd/pled-labubu-50163.png";;;Плед;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, кпб детское, плед лабубу";;Komplet-postelnogo-belya-409;;194436813;;;Размер;единый
