"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Полотенце вафельное 50166";;"Полотенце вафельное баня<br />
Отличное полотенце, крупная клетка<br />
100 % хлопок<br />
Большой размер !!!<br />
Размер 90х140 см<br />
Каждое полотенчико имеет индивидуальную упаковочку<br />
Отличный вариант для пляжа, сауны или бассейна<br />
Цвета без выбора !";;50166;390,00;0,00;300,00;100,00000;шт;"https://i1.storeland.net/3/1462/214619122/6e1ffd/nabor-polotenec-12-sht-50164.png
https://i1.storeland.net/3/1462/214619123/6e1ffd/nabor-polotenec-12-sht-50164.png
https://i1.storeland.net/3/1462/214619124/6e1ffd/nabor-polotenec-12-sht-50164.png
https://i1.storeland.net/3/1462/214619125/6e1ffd/nabor-polotenec-12-sht-50164.png
https://i3.storeland.net/3/1462/214619126/6e1ffd/nabor-polotenec-12-sht-50164.png
https://i3.storeland.net/3/1462/214619127/6e1ffd/nabor-polotenec-12-sht-50164.png";;;"Набор полотенец";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, Набор полотенец, полотенца, подарок на новый год, символ года, полотенца на новый год, год лошади подарок";;Komplet-postelnogo-belya-407;;194431271;;;Размер;единый
"Коврик 50165";;"Коврик для ванны и в прихожую микрофибра<br />
Симпатичные котята<br />
Размер 50х80 см<br />
Без выбора цвета";;50165;320,00;0,00;250,00;100,00000;шт;"https://i1.storeland.net/3/1462/214619112/6e1ffd/nabor-polotenec-12-sht-50164.png
https://i1.storeland.net/3/1462/214619113/6e1ffd/nabor-polotenec-12-sht-50164.png
https://i5.storeland.net/3/1462/214619114/6e1ffd/nabor-polotenec-12-sht-50164.png";;;Коврик;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, Набор полотенец, полотенца, подарок на новый год, символ года, полотенца на новый год, год лошади подарок";;Komplet-postelnogo-belya-406;;194431261;;;Размер;единый
"Полотенце 50157";;"Белое махровое полотенце из 100% хлопка – идеальное сочетание стиля и комфорта. Мягкое и приятное на ощупь, а также оно отлично впитывает. Подходит для использования в ванне, для отеля, гостиницы, спа салона, базы отдыха, для бани.<br />
Размер 70х135 см<br />
Производство Узбекистан<br />
Плотность 420 гр/м3";;50157;390,00;0,00;300,00;100,00000;шт;"https://i3.storeland.net/3/1462/214619021/6e1ffd/nabor-polotenec-3-sht-50155.png
https://i5.storeland.net/3/1462/214619022/6e1ffd/nabor-polotenec-3-sht-50155.png
https://i5.storeland.net/3/1462/214619023/6e1ffd/nabor-polotenec-3-sht-50155.png
https://i5.storeland.net/3/1462/214619024/6e1ffd/nabor-polotenec-3-sht-50155.png";;;"Набор полотенец";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, Набор полотенец, полотенца, подарок на новый год, символ года, полотенца на новый год, год лошади подарок";;Komplet-postelnogo-belya-163;;194431220;;;Размер;единый
"Набор полотенец 3 шт 50155";;"Комплект из 3х полотенец<br />
Производство Узбекистан<br />
Состав 100 % хлопок<br />
Размер:<br />
баня 70х130 см<br />
лицо 50х80 см<br />
руки 30х60 см";;50155;840,00;0,00;650,00;100,00000;шт;https://i4.storeland.net/3/1462/214611183/6e1ffd/nabor-polotenec-3-sht-50154.png;;;"Набор полотенец";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, Набор полотенец, полотенца, подарок на новый год, символ года, полотенца на новый год, год лошади подарок";;Komplet-postelnogo-belya-397;;194429478;;;Размер;единый
"Набор полотенец 3 шт 50154";;"Комплект из 3х полотенец<br />
Производство Узбекистан<br />
Состав 100 % хлопок<br />
Размер:<br />
баня 70х130 см<br />
лицо 50х80 см<br />
руки 30х60 см";;50154;840,00;0,00;650,00;100,00000;шт;https://i5.storeland.net/3/1462/214611182/6e1ffd/nabor-polotenec-3-sht-50153.png;;;"Набор полотенец";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, Набор полотенец, полотенца, подарок на новый год, символ года, полотенца на новый год, год лошади подарок";;Komplet-postelnogo-belya-396;;194429477;;;Размер;единый
"Набор полотенец 3 шт 50153";;"Комплект из 3х полотенец<br />
Производство Узбекистан<br />
Состав 100 % хлопок<br />
Размер:<br />
баня 70х130 см<br />
лицо 50х80 см<br />
руки 30х60 см";;50153;840,00;0,00;650,00;100,00000;шт;https://i1.storeland.net/3/1462/214611180/6e1ffd/nabor-polotenec-3-sht-50153.png;;;"Набор полотенец";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, Набор полотенец, полотенца, подарок на новый год, символ года, полотенца на новый год, год лошади подарок";;Komplet-postelnogo-belya-395;;194429475;;;Размер;единый
"Набор полотенец 3 шт 50152";;"Комплект из 3х полотенец<br />
Производство Узбекистан<br />
Состав 100 % хлопок<br />
Размер:<br />
баня 70х130 см<br />
лицо 50х80 см<br />
руки 30х60 см";;50152;840,00;0,00;650,00;100,00000;шт;https://i1.storeland.net/3/1462/214611177/6e1ffd/nabor-polotenec-3-sht-50151.png;;;"Набор полотенец";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, Набор полотенец, полотенца, подарок на новый год, символ года, полотенца на новый год, год лошади подарок";;Komplet-postelnogo-belya-394;;194429474;;;Размер;единый
"Набор полотенец 3 шт 50151";;"Комплект из 3х полотенец<br />
Производство Узбекистан<br />
Состав 100 % хлопок<br />
Размер:<br />
баня 70х130 см<br />
лицо 50х80 см<br />
руки 30х60 см";;50151;840,00;0,00;650,00;100,00000;шт;https://i5.storeland.net/3/1462/214611175/6e1ffd/nabor-polotenec-3-sht-50151.png;;;"Набор полотенец";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, Набор полотенец, полотенца, подарок на новый год, символ года, полотенца на новый год, год лошади подарок";;Komplet-postelnogo-belya-393;;194429471;;;Размер;единый
"Набор полотенец 3 шт 50150";;"Комплект из 3х полотенец<br />
Производство Узбекистан<br />
Состав 100 % хлопок<br />
Размер:<br />
баня 70х130 см<br />
лицо 50х80 см<br />
руки 30х60 см";;50150;840,00;0,00;650,00;100,00000;шт;https://i5.storeland.net/3/1462/214611172/6e1ffd/nabor-polotenec-3-sht-50149.png;;;"Набор полотенец";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, Набор полотенец, полотенца, подарок на новый год, символ года, полотенца на новый год, год лошади подарок";;Komplet-postelnogo-belya-392;;194429469;;;Размер;единый
"Набор полотенец 3 шт 50149";;"Комплект из 3х полотенец<br />
Производство Узбекистан<br />
Состав 100 % хлопок<br />
Размер:<br />
баня 70х130 см<br />
лицо 50х80 см<br />
руки 30х60 см";;50149;840,00;0,00;650,00;100,00000;шт;https://i1.storeland.net/3/1462/214611170/6e1ffd/nabor-polotenec-3-sht-50148.png;;;"Набор полотенец";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, Набор полотенец, полотенца, подарок на новый год, символ года, полотенца на новый год, год лошади подарок";;Komplet-postelnogo-belya-391;;194429467;;;Размер;единый
