"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Джинсы теплые женские 51911";;"Размер: 50, 52, 54, 56, 58, 60<br />
Ткань: джинс, начес<br />
Длина: 110см<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51911;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1667/216665048/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665049/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665050/6e1ffd/dzhinsy-teplye-zhenskie-51747.png";;;"Джинсы женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-3;;195164975;;;Размер;52
"Джинсы теплые женские 51911";;"Размер: 50, 52, 54, 56, 58, 60<br />
Ткань: джинс, начес<br />
Длина: 110см<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51911;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1667/216665048/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665049/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665050/6e1ffd/dzhinsy-teplye-zhenskie-51747.png";;;"Джинсы женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-3;;195164975;;;Размер;50
"Джинсы теплые женские 51911";;"Размер: 50, 52, 54, 56, 58, 60<br />
Ткань: джинс, начес<br />
Длина: 110см<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51911;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1667/216665048/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665049/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665050/6e1ffd/dzhinsy-teplye-zhenskie-51747.png";;;"Джинсы женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-3;;195164975;;;Размер;58
"Джинсы теплые женские 51911";;"Размер: 50, 52, 54, 56, 58, 60<br />
Ткань: джинс, начес<br />
Длина: 110см<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51911;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1667/216665048/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665049/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665050/6e1ffd/dzhinsy-teplye-zhenskie-51747.png";;;"Джинсы женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-3;;195164975;;;Размер;60
"Джинсы теплые женские 51911";;"Размер: 50, 52, 54, 56, 58, 60<br />
Ткань: джинс, начес<br />
Длина: 110см<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51911;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1667/216665048/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665049/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665050/6e1ffd/dzhinsy-teplye-zhenskie-51747.png";;;"Джинсы женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-3;;195164975;;;Размер;54
"Джинсы теплые женские 51911";;"Размер: 50, 52, 54, 56, 58, 60<br />
Ткань: джинс, начес<br />
Длина: 110см<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51911;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1667/216665048/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665049/6e1ffd/dzhinsy-teplye-zhenskie-51747.png
https://i5.storeland.net/3/1667/216665050/6e1ffd/dzhinsy-teplye-zhenskie-51747.png";;;"Джинсы женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-3;;195164975;;;Размер;56
"Джинсы женские 51778";;"Размер: 40, 42, 44, 46, 48, 50<br />
Ткань: хлопок, лайкра<br />
<br />
<br />
<br />
<br />
<br />
 ";;51778;"1 040,00";0,00;800,00;100,00000;шт;"https://i2.storeland.net/3/1650/216499509/6e1ffd/dzhinsy-teplye-zhenskie-51104.png
https://i2.storeland.net/3/1650/216499510/6e1ffd/dzhinsy-teplye-zhenskie-51104.png
https://i1.storeland.net/3/1650/216499511/6e1ffd/dzhinsy-teplye-zhenskie-51104.png";;;"Джинсы женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-350;;195108833;;;Размер;40    
"Джинсы женские 51778";;"Размер: 40, 42, 44, 46, 48, 50<br />
Ткань: хлопок, лайкра<br />
<br />
<br />
<br />
<br />
<br />
 ";;51778;"1 040,00";0,00;800,00;100,00000;шт;"https://i2.storeland.net/3/1650/216499509/6e1ffd/dzhinsy-teplye-zhenskie-51104.png
https://i2.storeland.net/3/1650/216499510/6e1ffd/dzhinsy-teplye-zhenskie-51104.png
https://i1.storeland.net/3/1650/216499511/6e1ffd/dzhinsy-teplye-zhenskie-51104.png";;;"Джинсы женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-350;;195108833;;;Размер;50
"Джинсы женские 51778";;"Размер: 40, 42, 44, 46, 48, 50<br />
Ткань: хлопок, лайкра<br />
<br />
<br />
<br />
<br />
<br />
 ";;51778;"1 040,00";0,00;800,00;100,00000;шт;"https://i2.storeland.net/3/1650/216499509/6e1ffd/dzhinsy-teplye-zhenskie-51104.png
https://i2.storeland.net/3/1650/216499510/6e1ffd/dzhinsy-teplye-zhenskie-51104.png
https://i1.storeland.net/3/1650/216499511/6e1ffd/dzhinsy-teplye-zhenskie-51104.png";;;"Джинсы женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-350;;195108833;;;Размер;48
"Джинсы женские 51778";;"Размер: 40, 42, 44, 46, 48, 50<br />
Ткань: хлопок, лайкра<br />
<br />
<br />
<br />
<br />
<br />
 ";;51778;"1 040,00";0,00;800,00;100,00000;шт;"https://i2.storeland.net/3/1650/216499509/6e1ffd/dzhinsy-teplye-zhenskie-51104.png
https://i2.storeland.net/3/1650/216499510/6e1ffd/dzhinsy-teplye-zhenskie-51104.png
https://i1.storeland.net/3/1650/216499511/6e1ffd/dzhinsy-teplye-zhenskie-51104.png";;;"Джинсы женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-350;;195108833;;;Размер;42
