"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Футболка женская 51777";;"Без выбора цвета<br />
Размер: 42, 44, 46, 48, 50<br />
Состав: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;51777;195,00;320,00;150,00;100,00000;шт;"https://i1.storeland.net/3/1650/216499497/6e1ffd/futbolka-zhenskaya-51776.png
https://i1.storeland.net/3/1665/216642599/6e1ffd/futbolka-zhenskaya-51777.png
https://i4.storeland.net/3/1665/216642600/6e1ffd/futbolka-zhenskaya-51777.png";;;"Футболка женская";"одежда оптом, футболка, купить футболку, футболки оптом, оптом, футболки, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4d7cd754a7-295;;195108829;;;Размер;42
"Футболка женская 51777";;"Без выбора цвета<br />
Размер: 42, 44, 46, 48, 50<br />
Состав: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;51777;195,00;320,00;150,00;100,00000;шт;"https://i1.storeland.net/3/1650/216499497/6e1ffd/futbolka-zhenskaya-51776.png
https://i1.storeland.net/3/1665/216642599/6e1ffd/futbolka-zhenskaya-51777.png
https://i4.storeland.net/3/1665/216642600/6e1ffd/futbolka-zhenskaya-51777.png";;;"Футболка женская";"одежда оптом, футболка, купить футболку, футболки оптом, оптом, футболки, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4d7cd754a7-295;;195108829;;;Размер;44    
"Футболка женская 51777";;"Без выбора цвета<br />
Размер: 42, 44, 46, 48, 50<br />
Состав: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;51777;195,00;320,00;150,00;100,00000;шт;"https://i1.storeland.net/3/1650/216499497/6e1ffd/futbolka-zhenskaya-51776.png
https://i1.storeland.net/3/1665/216642599/6e1ffd/futbolka-zhenskaya-51777.png
https://i4.storeland.net/3/1665/216642600/6e1ffd/futbolka-zhenskaya-51777.png";;;"Футболка женская";"одежда оптом, футболка, купить футболку, футболки оптом, оптом, футболки, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4d7cd754a7-295;;195108829;;;Размер;46
"Футболка женская 51777";;"Без выбора цвета<br />
Размер: 42, 44, 46, 48, 50<br />
Состав: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;51777;195,00;320,00;150,00;100,00000;шт;"https://i1.storeland.net/3/1650/216499497/6e1ffd/futbolka-zhenskaya-51776.png
https://i1.storeland.net/3/1665/216642599/6e1ffd/futbolka-zhenskaya-51777.png
https://i4.storeland.net/3/1665/216642600/6e1ffd/futbolka-zhenskaya-51777.png";;;"Футболка женская";"одежда оптом, футболка, купить футболку, футболки оптом, оптом, футболки, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4d7cd754a7-295;;195108829;;;Размер;48
"Футболка женская 51777";;"Без выбора цвета<br />
Размер: 42, 44, 46, 48, 50<br />
Состав: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;51777;195,00;320,00;150,00;100,00000;шт;"https://i1.storeland.net/3/1650/216499497/6e1ffd/futbolka-zhenskaya-51776.png
https://i1.storeland.net/3/1665/216642599/6e1ffd/futbolka-zhenskaya-51777.png
https://i4.storeland.net/3/1665/216642600/6e1ffd/futbolka-zhenskaya-51777.png";;;"Футболка женская";"одежда оптом, футболка, купить футболку, футболки оптом, оптом, футболки, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4d7cd754a7-295;;195108829;;;Размер;50
"Футболка женская 51770";;"Без выбора цвета<br />
Размер: 42, 44, 46, 48, 50<br />
Состав: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;51770;195,00;320,00;150,00;100,00000;шт;"https://i4.storeland.net/3/1650/216499465/6e1ffd/futbolka-zhenskaya-51769.png
https://i3.storeland.net/3/1665/216642601/6e1ffd/futbolka-zhenskaya-51770.png
https://i3.storeland.net/3/1665/216642602/6e1ffd/futbolka-zhenskaya-51770.png";;;"Футболка женская";"одежда оптом, футболка, купить футболку, футболки оптом, оптом, футболки, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4d7cd754a7-270;;195108818;;;Размер;42
"Футболка женская 51770";;"Без выбора цвета<br />
Размер: 42, 44, 46, 48, 50<br />
Состав: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;51770;195,00;320,00;150,00;100,00000;шт;"https://i4.storeland.net/3/1650/216499465/6e1ffd/futbolka-zhenskaya-51769.png
https://i3.storeland.net/3/1665/216642601/6e1ffd/futbolka-zhenskaya-51770.png
https://i3.storeland.net/3/1665/216642602/6e1ffd/futbolka-zhenskaya-51770.png";;;"Футболка женская";"одежда оптом, футболка, купить футболку, футболки оптом, оптом, футболки, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4d7cd754a7-270;;195108818;;;Размер;44    
"Футболка женская 51770";;"Без выбора цвета<br />
Размер: 42, 44, 46, 48, 50<br />
Состав: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;51770;195,00;320,00;150,00;100,00000;шт;"https://i4.storeland.net/3/1650/216499465/6e1ffd/futbolka-zhenskaya-51769.png
https://i3.storeland.net/3/1665/216642601/6e1ffd/futbolka-zhenskaya-51770.png
https://i3.storeland.net/3/1665/216642602/6e1ffd/futbolka-zhenskaya-51770.png";;;"Футболка женская";"одежда оптом, футболка, купить футболку, футболки оптом, оптом, футболки, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4d7cd754a7-270;;195108818;;;Размер;46
"Футболка женская 51770";;"Без выбора цвета<br />
Размер: 42, 44, 46, 48, 50<br />
Состав: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;51770;195,00;320,00;150,00;100,00000;шт;"https://i4.storeland.net/3/1650/216499465/6e1ffd/futbolka-zhenskaya-51769.png
https://i3.storeland.net/3/1665/216642601/6e1ffd/futbolka-zhenskaya-51770.png
https://i3.storeland.net/3/1665/216642602/6e1ffd/futbolka-zhenskaya-51770.png";;;"Футболка женская";"одежда оптом, футболка, купить футболку, футболки оптом, оптом, футболки, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4d7cd754a7-270;;195108818;;;Размер;48
"Футболка женская 51770";;"Без выбора цвета<br />
Размер: 42, 44, 46, 48, 50<br />
Состав: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;51770;195,00;320,00;150,00;100,00000;шт;"https://i4.storeland.net/3/1650/216499465/6e1ffd/futbolka-zhenskaya-51769.png
https://i3.storeland.net/3/1665/216642601/6e1ffd/futbolka-zhenskaya-51770.png
https://i3.storeland.net/3/1665/216642602/6e1ffd/futbolka-zhenskaya-51770.png";;;"Футболка женская";"одежда оптом, футболка, купить футболку, футболки оптом, оптом, футболки, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4d7cd754a7-270;;195108818;;;Размер;50
