"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Антистресс Капибара 50188";;"Игрушка резина<br />
<br />
 ";;50188;90,00;0,00;70,00;100,00000;шт;"https://i4.storeland.net/3/1468/214670898/6e1ffd/igrushka-vakuku-50187.png
https://i2.storeland.net/3/1468/214670899/6e1ffd/igrushka-vakuku-50187.png";;;"Игрушка Кот багет";"игрушки оптом, кубики, купить кубики, игрушки для детей, оптом, купить игрушки, прикольные, модные, интернет магазин, игрушки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-66;;194442566;;;Размер;единый
"Игрушка Вакуку 50187";;"Игрушка резина<br />
Без выбора цвета<br />
 ";;50187;260,00;0,00;200,00;100,00000;шт;"https://i5.storeland.net/3/1468/214670893/6e1ffd/igrushka-labubu-50186.png
https://i5.storeland.net/3/1468/214670894/6e1ffd/igrushka-labubu-50186.png
https://i4.storeland.net/3/1468/214670895/6e1ffd/igrushka-labubu-50186.png
https://i4.storeland.net/3/1468/214670896/6e1ffd/igrushka-labubu-50186.png";;;"Игрушка Кот багет";"игрушки оптом, кубики, купить кубики, игрушки для детей, оптом, купить игрушки, прикольные, модные, интернет магазин, игрушки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-65;;194442565;;;Размер;единый
"Игрушка Лабубу 50186";;"Игрушка пластик<br />
Без выбора цвета<br />
 ";;50186;195,00;0,00;150,00;100,00000;шт;"https://i1.storeland.net/3/1468/214670891/6e1ffd/igrushka-labubu-50185.png
https://i1.storeland.net/3/1468/214670892/6e1ffd/igrushka-labubu-50185.png";;;"Игрушка Кот багет";"игрушки оптом, кубики, купить кубики, игрушки для детей, оптом, купить игрушки, прикольные, модные, интернет магазин, игрушки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-64;;194442564;;;Размер;единый
"Игрушка Лабубу 50185";;"Игрушка пластик<br />
Без выбора цвета<br />
 ";;50185;155,00;0,00;120,00;100,00000;шт;"https://i1.storeland.net/3/1468/214670889/6e1ffd/igrushka-labubu-50184.png
https://i2.storeland.net/3/1468/214670890/6e1ffd/igrushka-labubu-50184.png";;;"Игрушка Кот багет";"игрушки оптом, кубики, купить кубики, игрушки для детей, оптом, купить игрушки, прикольные, модные, интернет магазин, игрушки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-63;;194442563;;;Размер;единый
"Игрушка Лабубу 50184";;"Игрушка пластик<br />
Без выбора цвета<br />
 ";;50184;155,00;0,00;120,00;100,00000;шт;"https://i1.storeland.net/3/1468/214670886/6e1ffd/igrushka-labubu-50183.png
https://i1.storeland.net/3/1468/214670887/6e1ffd/igrushka-labubu-50183.png
https://i1.storeland.net/3/1468/214670888/6e1ffd/igrushka-labubu-50183.png";;;"Игрушка Кот багет";"игрушки оптом, кубики, купить кубики, игрушки для детей, оптом, купить игрушки, прикольные, модные, интернет магазин, игрушки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-62;;194442562;;;Размер;единый
"Игрушка Лабубу 50183";;"Игрушка пластик<br />
Без выбора цвета<br />
 ";;50183;195,00;0,00;150,00;100,00000;шт;"https://i4.storeland.net/3/1468/214670883/6e1ffd/myagkaya-igrushka-gus-obnimus-47954.png
https://i4.storeland.net/3/1468/214670884/6e1ffd/myagkaya-igrushka-gus-obnimus-47954.png
https://i4.storeland.net/3/1468/214670885/6e1ffd/myagkaya-igrushka-gus-obnimus-47954.png";;;"Игрушка Кот багет";"игрушки оптом, кубики, купить кубики, игрушки для детей, оптом, купить игрушки, прикольные, модные, интернет магазин, игрушки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-59;;194442561;;;Размер;единый
"Мягкая игрушка Гусь Обнимусь 47954";;"Размер 90см<br />
 ";;47954;390,00;0,00;300,00;100,00000;шт;"https://i2.storeland.net/3/1249/212485450/6e1ffd/kukla-30sm-47953.png
https://i2.storeland.net/3/1249/212485451/6e1ffd/kukla-30sm-47953.png
https://i4.storeland.net/3/1249/212485452/6e1ffd/kukla-30sm-47953.png
https://i4.storeland.net/3/1249/212485453/6e1ffd/kukla-30sm-47953.png";;;"Игрушка Кот багет";"игрушки оптом, кубики, купить кубики, игрушки для детей, оптом, купить игрушки, прикольные, модные, интернет магазин, игрушки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-61;;193470954;;;Размер;единый
"Кукла 30см 47953";;"Размер кукла 30 см<br />
Кукла мягконабивная, голова, кисти рук и стопы изготовлены из пластиката ПВХ. Туловище тканевое с набивкой полиэфирным волокном. В специальном кармашке на груди куклы установлен съeмный звуковой имитатор<br />
Без выбора";;47953;710,00;0,00;550,00;100,00000;шт;"https://i4.storeland.net/3/1249/212485401/6e1ffd/igrushka-kot-baget-47952.png
https://i5.storeland.net/3/1249/212485402/6e1ffd/igrushka-kot-baget-47952.png
https://i2.storeland.net/3/1249/212485403/6e1ffd/igrushka-kot-baget-47952.png
https://i2.storeland.net/3/1249/212485404/6e1ffd/igrushka-kot-baget-47952.png
https://i4.storeland.net/3/1249/212485405/6e1ffd/igrushka-kot-baget-47952.png
https://i4.storeland.net/3/1249/212485406/6e1ffd/igrushka-kot-baget-47952.png
https://i2.storeland.net/3/1249/212485407/6e1ffd/igrushka-kot-baget-47952.png
https://i2.storeland.net/3/1249/212485408/6e1ffd/igrushka-kot-baget-47952.png";;;"Игрушка Кот багет";"игрушки оптом, кубики, купить кубики, игрушки для детей, оптом, купить игрушки, прикольные, модные, интернет магазин, игрушки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-60;;193470939;;;Размер;единый
"Тамагочи 47951";;"Игрушка, пластик<br />
Тамагочи - игрушки интерактивные из 90х, для девочек и мальчиков<br />
окажется интересным а так же полезным увлечением развивающим ответственность и понимание заботы о животных игра (нужно кормить, лечить, убирать).<br />
Без выбора цвета";;47951;130,00;0,00;100,00;100,00000;шт;"https://i4.storeland.net/3/1249/212483538/6e1ffd/myagkaya-igrushka-47950.png
https://i5.storeland.net/3/1249/212483539/6e1ffd/myagkaya-igrushka-47950.png
https://i4.storeland.net/3/1249/212483540/6e1ffd/myagkaya-igrushka-47950.png
https://i4.storeland.net/3/1249/212483541/6e1ffd/myagkaya-igrushka-47950.png";;;"Деревянный сортер";"игрушки оптом, кубики, купить кубики, игрушки для детей, оптом, купить игрушки, прикольные, модные, интернет магазин, игрушки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-21;;193470580;;;Размер;единый
"Мягкая игрушка 47950";;"Размер 35 см<br />
Мягкая игрушка заяц станет прекрасным подарком для любого возраста. Плюшевая игрушка выполнена из качественных материалов, приятных на ощупь и безопасных для здоровья.";;47950;325,00;0,00;250,00;100,00000;шт;"https://i4.storeland.net/3/1249/212482769/6e1ffd/derevyannyj-sorter-47949.png
https://i4.storeland.net/3/1249/212482770/6e1ffd/derevyannyj-sorter-47949.png";;;"Деревянный сортер";"игрушки оптом, кубики, купить кубики, игрушки для детей, оптом, купить игрушки, прикольные, модные, интернет магазин, игрушки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4c2c1df939-20;;193470435;;;Размер;единый
