"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Искусственные цветы, упаковка 45703";;"Цена за упаковку<br />
Размер: 45см, 1 букет, 7 голов<br />
В упаковке один цвет<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";1;45702;650,00;0,00;500,00;100,00000;шт;"https://i1.storeland.net/3/1021/210205818/6e1ffd/iskusstvennye-cvety-upakovka-45702.jpg
https://i1.storeland.net/3/1021/210205819/6e1ffd/iskusstvennye-cvety-upakovka-45702.png
https://i1.storeland.net/3/1021/210205820/6e1ffd/iskusstvennye-cvety-upakovka-45702.png";;;"Искусственные цветы";"Искусственные цветы оптом, купить искусственные цветы, Искусственные цветы, цветы оптом, оптом, цветы на пасху, цветы на пасху оптом, модные, интернет магазин, ночнушки оптом, Халат женский";"Искусственные цветы";6de85f978b-202;;192517874;;;Размер;"Упаковка (10 букетов)"
"Искусственные цветы, упаковка 45703";;"Цена за упаковку<br />
Размер: 45см, 1 букет, 7 голов<br />
В упаковке один цвет<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";1;45702;"1 180,00";0,00;900,00;100,00000;шт;"https://i1.storeland.net/3/1021/210205818/6e1ffd/iskusstvennye-cvety-upakovka-45702.jpg
https://i1.storeland.net/3/1021/210205819/6e1ffd/iskusstvennye-cvety-upakovka-45702.png
https://i1.storeland.net/3/1021/210205820/6e1ffd/iskusstvennye-cvety-upakovka-45702.png";;;"Искусственные цветы";"Искусственные цветы оптом, купить искусственные цветы, Искусственные цветы, цветы оптом, оптом, цветы на пасху, цветы на пасху оптом, модные, интернет магазин, ночнушки оптом, Халат женский";"Искусственные цветы";6de85f978b-202;;192517874;;;Размер;"Упаковка (20 букетов)"
"Искусственные цветы, упаковка 45702";;"Цена за упаковку<br />
Размер: 50см, 1 букет, 1 голова<br />
В упаковке один цвет<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";1;45701;590,00;0,00;450,00;100,00000;шт;https://i1.storeland.net/3/1021/210205809/6e1ffd/iskusstvennye-cvety-upakovka-45701.png;;;"Искусственные цветы";"Искусственные цветы оптом, купить искусственные цветы, Искусственные цветы, цветы оптом, оптом, цветы на пасху, цветы на пасху оптом, модные, интернет магазин, ночнушки оптом, Халат женский";"Искусственные цветы";6de85f978b-201;;192517873;;;Размер;"Упаковка (10 букетов)"
"Искусственные цветы, упаковка 45702";;"Цена за упаковку<br />
Размер: 50см, 1 букет, 1 голова<br />
В упаковке один цвет<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";1;45701;"1 050,00";0,00;800,00;100,00000;шт;https://i1.storeland.net/3/1021/210205809/6e1ffd/iskusstvennye-cvety-upakovka-45701.png;;;"Искусственные цветы";"Искусственные цветы оптом, купить искусственные цветы, Искусственные цветы, цветы оптом, оптом, цветы на пасху, цветы на пасху оптом, модные, интернет магазин, ночнушки оптом, Халат женский";"Искусственные цветы";6de85f978b-201;;192517873;;;Размер;"Упаковка (20 букетов)"
"Искусственные цветы, упаковка 45701";;"Цена за упаковку<br />
Размер: 20см, 1 букет, 5 голов<br />
В упаковке разные цвета<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";1;45701;720,00;0,00;550,00;100,00000;шт;"https://i1.storeland.net/3/1021/210205805/6e1ffd/iskusstvennye-cvety-upakovka-45700.png
https://i1.storeland.net/3/1021/210205806/6e1ffd/iskusstvennye-cvety-upakovka-45700.png
https://i1.storeland.net/3/1021/210205807/6e1ffd/iskusstvennye-cvety-upakovka-45700.png
https://i1.storeland.net/3/1021/210205808/6e1ffd/iskusstvennye-cvety-upakovka-45700.png";;;"Искусственные цветы";"Искусственные цветы оптом, купить искусственные цветы, Искусственные цветы, цветы оптом, оптом, цветы на пасху, цветы на пасху оптом, модные, интернет магазин, ночнушки оптом, Халат женский";"Искусственные цветы";6de85f978b-200;;192517872;;;Размер;"Упаковка (50 букетов)"
"Искусственные цветы, упаковка 45701";;"Цена за упаковку<br />
Размер: 20см, 1 букет, 5 голов<br />
В упаковке разные цвета<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";1;45701;"1 300,00";0,00;"1 000,00";100,00000;шт;"https://i1.storeland.net/3/1021/210205805/6e1ffd/iskusstvennye-cvety-upakovka-45700.png
https://i1.storeland.net/3/1021/210205806/6e1ffd/iskusstvennye-cvety-upakovka-45700.png
https://i1.storeland.net/3/1021/210205807/6e1ffd/iskusstvennye-cvety-upakovka-45700.png
https://i1.storeland.net/3/1021/210205808/6e1ffd/iskusstvennye-cvety-upakovka-45700.png";;;"Искусственные цветы";"Искусственные цветы оптом, купить искусственные цветы, Искусственные цветы, цветы оптом, оптом, цветы на пасху, цветы на пасху оптом, модные, интернет магазин, ночнушки оптом, Халат женский";"Искусственные цветы";6de85f978b-200;;192517872;;;Размер;"Упаковка (100 букетов)"
"Искусственные цветы, упаковка 45700";;"Цена за упаковку<br />
Размер: 21см, 1 букет, 5 голов<br />
В упаковке разные цвета<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";1;45700;920,00;0,00;700,00;100,00000;шт;"https://i1.storeland.net/3/1021/210205803/6e1ffd/iskusstvennye-cvety-upakovka-45699.png
https://i1.storeland.net/3/1021/210205804/6e1ffd/iskusstvennye-cvety-upakovka-45699.png";;;"Искусственные цветы";"Искусственные цветы оптом, купить искусственные цветы, Искусственные цветы, цветы оптом, оптом, цветы на пасху, цветы на пасху оптом, модные, интернет магазин, ночнушки оптом, Халат женский";"Искусственные цветы";6de85f978b-199;;192517871;;;Размер;"Упаковка (50 букетов)"
"Искусственные цветы, упаковка 45700";;"Цена за упаковку<br />
Размер: 21см, 1 букет, 5 голов<br />
В упаковке разные цвета<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";1;45700;"1 690,00";0,00;"1 300,00";100,00000;шт;"https://i1.storeland.net/3/1021/210205803/6e1ffd/iskusstvennye-cvety-upakovka-45699.png
https://i1.storeland.net/3/1021/210205804/6e1ffd/iskusstvennye-cvety-upakovka-45699.png";;;"Искусственные цветы";"Искусственные цветы оптом, купить искусственные цветы, Искусственные цветы, цветы оптом, оптом, цветы на пасху, цветы на пасху оптом, модные, интернет магазин, ночнушки оптом, Халат женский";"Искусственные цветы";6de85f978b-199;;192517871;;;Размер;"Упаковка (100 букетов)"
"Искусственные цветы, упаковка 45699";;"Цена за упаковку<br />
Размер: 22см, 1 букет, 5 голов<br />
В упаковке разные цвета<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";1;45699;920,00;0,00;700,00;100,00000;шт;"https://i1.storeland.net/3/1021/210205798/6e1ffd/iskusstvennye-cvety-upakovka-45698.png
https://i4.storeland.net/3/1021/210205799/6e1ffd/iskusstvennye-cvety-upakovka-45698.png
https://i1.storeland.net/3/1021/210205800/6e1ffd/iskusstvennye-cvety-upakovka-45698.png
https://i1.storeland.net/3/1021/210205801/6e1ffd/iskusstvennye-cvety-upakovka-45698.png
https://i1.storeland.net/3/1021/210205802/6e1ffd/iskusstvennye-cvety-upakovka-45698.png";;;"Искусственные цветы";"Искусственные цветы оптом, купить искусственные цветы, Искусственные цветы, цветы оптом, оптом, цветы на пасху, цветы на пасху оптом, модные, интернет магазин, ночнушки оптом, Халат женский";"Искусственные цветы";6de85f978b-198;;192517870;;;Размер;"Упаковка (50 букетов)"
"Искусственные цветы, упаковка 45699";;"Цена за упаковку<br />
Размер: 22см, 1 букет, 5 голов<br />
В упаковке разные цвета<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";1;45699;"1 690,00";0,00;"1 300,00";100,00000;шт;"https://i1.storeland.net/3/1021/210205798/6e1ffd/iskusstvennye-cvety-upakovka-45698.png
https://i4.storeland.net/3/1021/210205799/6e1ffd/iskusstvennye-cvety-upakovka-45698.png
https://i1.storeland.net/3/1021/210205800/6e1ffd/iskusstvennye-cvety-upakovka-45698.png
https://i1.storeland.net/3/1021/210205801/6e1ffd/iskusstvennye-cvety-upakovka-45698.png
https://i1.storeland.net/3/1021/210205802/6e1ffd/iskusstvennye-cvety-upakovka-45698.png";;;"Искусственные цветы";"Искусственные цветы оптом, купить искусственные цветы, Искусственные цветы, цветы оптом, оптом, цветы на пасху, цветы на пасху оптом, модные, интернет магазин, ночнушки оптом, Халат женский";"Искусственные цветы";6de85f978b-198;;192517870;;;Размер;"Упаковка (100 букетов)"
