"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Пальто пиджак женский 51855";;"Ткань: кашемир елка<br />
Размеры: 44, 46, 48, 50, 52, 54<br />
<br />
<br />
 ";;51855;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216597945/6e1ffd/palto-pidzhak-zhenskij-51854.png
https://i3.storeland.net/3/1660/216597946/6e1ffd/palto-pidzhak-zhenskij-51854.png";;;"Пальто пиджак";"одежда оптом, кардиган, купить кардиган, кардиганы оптом, оптом, трикотажный кардиган, прикольные, модные, интернет магазин, джинсовая жилетка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";64c7c99506-62;;195142263;;;Размер;52
"Пальто пиджак женский 51855";;"Ткань: кашемир елка<br />
Размеры: 44, 46, 48, 50, 52, 54<br />
<br />
<br />
 ";;51855;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216597945/6e1ffd/palto-pidzhak-zhenskij-51854.png
https://i3.storeland.net/3/1660/216597946/6e1ffd/palto-pidzhak-zhenskij-51854.png";;;"Пальто пиджак";"одежда оптом, кардиган, купить кардиган, кардиганы оптом, оптом, трикотажный кардиган, прикольные, модные, интернет магазин, джинсовая жилетка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";64c7c99506-62;;195142263;;;Размер;44
"Пальто пиджак женский 51855";;"Ткань: кашемир елка<br />
Размеры: 44, 46, 48, 50, 52, 54<br />
<br />
<br />
 ";;51855;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216597945/6e1ffd/palto-pidzhak-zhenskij-51854.png
https://i3.storeland.net/3/1660/216597946/6e1ffd/palto-pidzhak-zhenskij-51854.png";;;"Пальто пиджак";"одежда оптом, кардиган, купить кардиган, кардиганы оптом, оптом, трикотажный кардиган, прикольные, модные, интернет магазин, джинсовая жилетка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";64c7c99506-62;;195142263;;;Размер;54
"Пальто пиджак женский 51855";;"Ткань: кашемир елка<br />
Размеры: 44, 46, 48, 50, 52, 54<br />
<br />
<br />
 ";;51855;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216597945/6e1ffd/palto-pidzhak-zhenskij-51854.png
https://i3.storeland.net/3/1660/216597946/6e1ffd/palto-pidzhak-zhenskij-51854.png";;;"Пальто пиджак";"одежда оптом, кардиган, купить кардиган, кардиганы оптом, оптом, трикотажный кардиган, прикольные, модные, интернет магазин, джинсовая жилетка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";64c7c99506-62;;195142263;;;Размер;48    
"Пальто пиджак женский 51855";;"Ткань: кашемир елка<br />
Размеры: 44, 46, 48, 50, 52, 54<br />
<br />
<br />
 ";;51855;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216597945/6e1ffd/palto-pidzhak-zhenskij-51854.png
https://i3.storeland.net/3/1660/216597946/6e1ffd/palto-pidzhak-zhenskij-51854.png";;;"Пальто пиджак";"одежда оптом, кардиган, купить кардиган, кардиганы оптом, оптом, трикотажный кардиган, прикольные, модные, интернет магазин, джинсовая жилетка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";64c7c99506-62;;195142263;;;Размер;50    
"Пальто пиджак женский 51855";;"Ткань: кашемир елка<br />
Размеры: 44, 46, 48, 50, 52, 54<br />
<br />
<br />
 ";;51855;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216597945/6e1ffd/palto-pidzhak-zhenskij-51854.png
https://i3.storeland.net/3/1660/216597946/6e1ffd/palto-pidzhak-zhenskij-51854.png";;;"Пальто пиджак";"одежда оптом, кардиган, купить кардиган, кардиганы оптом, оптом, трикотажный кардиган, прикольные, модные, интернет магазин, джинсовая жилетка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";64c7c99506-62;;195142263;;;Размер;46
"Пальто пиджак женский 51854";;"Ткань: кашемир елка<br />
Размеры: 44, 46, 48, 50, 52, 54<br />
<br />
<br />
 ";;51854;"1 420,00";0,00;"1 100,00";100,00000;шт;https://i4.storeland.net/3/1660/216597944/6e1ffd/zhilet-zhenskij-49139.png;;;"Пальто пиджак";"одежда оптом, кардиган, купить кардиган, кардиганы оптом, оптом, трикотажный кардиган, прикольные, модные, интернет магазин, джинсовая жилетка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";64c7c99506-61;;195142262;;;Размер;52
"Пальто пиджак женский 51854";;"Ткань: кашемир елка<br />
Размеры: 44, 46, 48, 50, 52, 54<br />
<br />
<br />
 ";;51854;"1 420,00";0,00;"1 100,00";100,00000;шт;https://i4.storeland.net/3/1660/216597944/6e1ffd/zhilet-zhenskij-49139.png;;;"Пальто пиджак";"одежда оптом, кардиган, купить кардиган, кардиганы оптом, оптом, трикотажный кардиган, прикольные, модные, интернет магазин, джинсовая жилетка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";64c7c99506-61;;195142262;;;Размер;44
"Пальто пиджак женский 51854";;"Ткань: кашемир елка<br />
Размеры: 44, 46, 48, 50, 52, 54<br />
<br />
<br />
 ";;51854;"1 420,00";0,00;"1 100,00";100,00000;шт;https://i4.storeland.net/3/1660/216597944/6e1ffd/zhilet-zhenskij-49139.png;;;"Пальто пиджак";"одежда оптом, кардиган, купить кардиган, кардиганы оптом, оптом, трикотажный кардиган, прикольные, модные, интернет магазин, джинсовая жилетка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";64c7c99506-61;;195142262;;;Размер;54
"Пальто пиджак женский 51854";;"Ткань: кашемир елка<br />
Размеры: 44, 46, 48, 50, 52, 54<br />
<br />
<br />
 ";;51854;"1 420,00";0,00;"1 100,00";100,00000;шт;https://i4.storeland.net/3/1660/216597944/6e1ffd/zhilet-zhenskij-49139.png;;;"Пальто пиджак";"одежда оптом, кардиган, купить кардиган, кардиганы оптом, оптом, трикотажный кардиган, прикольные, модные, интернет магазин, джинсовая жилетка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";64c7c99506-61;;195142262;;;Размер;48    
