"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Наклейки Лабубу 49049";;"Наклейки Лабубу <br />
<br />
<br />
 ";;49049;19,00;0,00;15,00;100,00000;шт;"https://i5.storeland.net/3/1361/213608546/6e1ffd/naklejki-labubu-49049.png
https://i3.storeland.net/3/1361/213608547/6e1ffd/naklejki-labubu-49049.png
https://i5.storeland.net/3/1361/213608548/6e1ffd/naklejki-labubu-49049.png
https://i3.storeland.net/3/1361/213608549/6e1ffd/naklejki-labubu-49049.png";;;"Раскраска А4 Лабубу";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-384;;194039137;;;Размер;единый
"Раскраска А4 Лабубу 49048";;"Раскраска А4 Лабубу, для детей малышей, 16 страниц, 126 наклеек<br />
<br />
<br />
 ";;49048;45,00;0,00;35,00;100,00000;шт;"https://i5.storeland.net/3/1361/213608542/6e1ffd/lastik-dlya-karandashej-labubu-nabor-10sht-49047.png
https://i5.storeland.net/3/1361/213608543/6e1ffd/lastik-dlya-karandashej-labubu-nabor-10sht-49047.png
https://i4.storeland.net/3/1361/213608544/6e1ffd/lastik-dlya-karandashej-labubu-nabor-10sht-49047.png
https://i5.storeland.net/3/1361/213608545/6e1ffd/lastik-dlya-karandashej-labubu-nabor-10sht-49047.png";;;"Раскраска А4 Лабубу";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-383;;194039136;;;Размер;единый
"Ластик для карандашей ЛАБУБУ, набор 10шт 49047";;"Ластик стёрка детская для карандашей в форме ЛАБУБУ, набор 10шт<br />
<br />
<br />
 ";;49047;155,00;0,00;120,00;100,00000;шт;"https://i5.storeland.net/3/1361/213608540/6e1ffd/lastik-dlya-karandashej-10-sht-49046.png
https://i5.storeland.net/3/1361/213608541/6e1ffd/lastik-dlya-karandashej-10-sht-49046.png";;;"Ластик для карандашей ЛАБУБУ";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-382;;194039135;;;Размер;единый
"Ластик для карандашей 10 шт 49046";;"Ластик для карандашей детский МИКС/АССОРТИ - 10 шт<br />
<br />
<br />
 ";;49046;130,00;0,00;99,00;100,00000;шт;"https://i5.storeland.net/3/1361/213608537/6e1ffd/voskovye-karandashi-melki-quot-lapka-quot-12-sht-49045.png
https://i5.storeland.net/3/1361/213608538/6e1ffd/voskovye-karandashi-melki-quot-lapka-quot-12-sht-49045.png
https://i5.storeland.net/3/1361/213608539/6e1ffd/voskovye-karandashi-melki-quot-lapka-quot-12-sht-49045.png";;;"Восковые карандаши-мелки ""Лапка"" 12 шт";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-381;;194039134;;;Размер;единый
"Восковые карандаши-мелки ""Лапка"" 12 шт 49045";;"Восковые карандаши-мелки ""Лапка"" 12 шт<br />
<br />
<br />
 ";;49045;130,00;0,00;99,00;100,00000;шт;"https://i5.storeland.net/3/1359/213587691/6e1ffd/albom-dlya-risovaniya-a4-40l-49044.png
https://i3.storeland.net/3/1359/213587692/6e1ffd/albom-dlya-risovaniya-a4-40l-49044.png
https://i5.storeland.net/3/1359/213587693/6e1ffd/albom-dlya-risovaniya-a4-40l-49044.png
https://i5.storeland.net/3/1359/213587694/6e1ffd/albom-dlya-risovaniya-a4-40l-49044.png";;;"Восковые карандаши-мелки ""Лапка"" 12 шт";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-380;;194034317;;;Размер;единый
"Альбом для рисования А4 40л 49044";;"Альбом для рисования А4 40л скрепка MIX Ягуар City 100г/м2.<br />
<br />
<br />
 ";;49044;78,00;0,00;60,00;100,00000;шт;https://i4.storeland.net/3/1359/213587690/6e1ffd/albom-dlya-risovaniya-a4-40l-49043.jpg;;;"Альбом для рисования А4 40л";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-379;;194034316;;;Размер;единый
"Альбом для рисования А4 40л 49043";;"Альбом для рисования А4 40л, на скрепке, мелованный картон (стандарт), 100 г/м2, ""Капибара"", 2 дизайна в пленке т/у<br />
<br />
<br />
 ";;49043;91,00;0,00;70,00;100,00000;шт;"https://i5.storeland.net/3/1359/213587688/6e1ffd/dnevnik-1-11kl-49042.png
https://i5.storeland.net/3/1359/213587689/6e1ffd/dnevnik-1-11kl-49042.png";;;"Альбом для рисования А4 40л";"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-347;;194034315;;;Размер;единый
"Дневник 1-11кл 49042";;"Дневник 1-11кл картонная обложка классика<br />
<br />
<br />
 ";;49042;91,00;0,00;70,00;100,00000;шт;https://i4.storeland.net/3/1359/213587635/6e1ffd/klej-karandash-49041.png;;;Клей-карандаш;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-225;;194034304;;;Размер;единый
"Клей карандаш 49041";;"Клей карандаш на основе PVA<br />
Кол-во: 1шт<br />
<br />
 ";;49041;19,00;0,00;15,00;100,00000;шт;"https://i5.storeland.net/3/1359/213587633/6e1ffd/lastik-vydvizhnoj-49040.png
https://i2.storeland.net/3/1359/213587634/6e1ffd/lastik-vydvizhnoj-49040.png";;;Клей-карандаш;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-174;;194034303;;;Размер;9г
"Клей карандаш 49041";;"Клей карандаш на основе PVA<br />
Кол-во: 1шт<br />
<br />
 ";;49041;26,00;0,00;20,00;100,00000;шт;"https://i5.storeland.net/3/1359/213587633/6e1ffd/lastik-vydvizhnoj-49040.png
https://i2.storeland.net/3/1359/213587634/6e1ffd/lastik-vydvizhnoj-49040.png";;;Клей-карандаш;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-174;;194034303;;;Размер;15г
"Клей карандаш 49041";;"Клей карандаш на основе PVA<br />
Кол-во: 1шт<br />
<br />
 ";;49041;52,00;0,00;40,00;100,00000;шт;"https://i5.storeland.net/3/1359/213587633/6e1ffd/lastik-vydvizhnoj-49040.png
https://i2.storeland.net/3/1359/213587634/6e1ffd/lastik-vydvizhnoj-49040.png";;;Клей-карандаш;"Комплект постельного белья, купить постельное белье, постельное белье оптом, кпб опт, кпб оптом, постельное оптом, детское постельное, полотенца, подарок на новый год, символ года, полотенца на новый год";;Komplet-postelnogo-belya-174;;194034303;;;Размер;36г
