"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Носки женские 10 пар 51721";;"Упаковка - 10 пар<br />
Размер: 36-40<br />
Ткань: кашемир<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51721;780,00;0,00;600,00;1,00000;шт;"https://i2.storeland.net/3/1650/216493542/6e1ffd/noski-zhenskie-10-par-51720.png
https://i4.storeland.net/3/1650/216493543/6e1ffd/noski-zhenskie-10-par-51720.png";;;"Носки женские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-135;;195107264;;;Размер;Упаковка
"Колготки женские 51719";;"Размер: 2, 3, 4<br />
40/300DEN<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51719;155,00;0,00;120,00;100,00000;шт;https://i5.storeland.net/3/1649/216488532/6e1ffd/kolgotki-zhenskie-51717.png;;;"Колготки женские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-87;;195105696;;;Размер;2
"Колготки женские 51719";;"Размер: 2, 3, 4<br />
40/300DEN<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51719;155,00;0,00;120,00;100,00000;шт;https://i5.storeland.net/3/1649/216488532/6e1ffd/kolgotki-zhenskie-51717.png;;;"Колготки женские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-87;;195105696;;;Размер;3
"Колготки женские 51719";;"Размер: 2, 3, 4<br />
40/300DEN<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51719;155,00;0,00;120,00;100,00000;шт;https://i5.storeland.net/3/1649/216488532/6e1ffd/kolgotki-zhenskie-51717.png;;;"Колготки женские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-87;;195105696;;;Размер;4
"Колготки женские 51718";;"Размер: 42-48<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51718;195,00;0,00;150,00;100,00000;шт;"https://i5.storeland.net/3/1649/216488530/6e1ffd/kolgotki-zhenskie-51717.png
https://i5.storeland.net/3/1649/216488531/6e1ffd/kolgotki-zhenskie-51717.png";;;"Колготки женские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-31;;195105695;;;Размер;42-48
"Колготки женские 51717";;"Размер: 46-52<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51717;260,00;0,00;150,00;100,00000;шт;"https://i2.storeland.net/3/1649/216488528/6e1ffd/kolgotki-zhenskie-50508.png
https://i2.storeland.net/3/1649/216488529/6e1ffd/kolgotki-zhenskie-50508.png";;;"Колготки женские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-14;;195105694;;;Размер;2
"Колготки женские 51717";;"Размер: 46-52<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51717;260,00;0,00;150,00;100,00000;шт;"https://i2.storeland.net/3/1649/216488528/6e1ffd/kolgotki-zhenskie-50508.png
https://i2.storeland.net/3/1649/216488529/6e1ffd/kolgotki-zhenskie-50508.png";;;"Колготки женские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-14;;195105694;;;Размер;3
"Колготки женские 51717";;"Размер: 46-52<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51717;260,00;0,00;150,00;100,00000;шт;"https://i2.storeland.net/3/1649/216488528/6e1ffd/kolgotki-zhenskie-50508.png
https://i2.storeland.net/3/1649/216488529/6e1ffd/kolgotki-zhenskie-50508.png";;;"Колготки женские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-14;;195105694;;;Размер;4
"Носки теплые женские 50629";;"Без выбора цвета<br />
Термо носки, ангора шерсть<br />
Размер: 36-41 единый<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50629;195,00;0,00;150,00;100,00000;шт;"https://i4.storeland.net/3/1603/216023477/6e1ffd/chulki-zhenskie-50628.png
https://i5.storeland.net/3/1603/216023478/6e1ffd/chulki-zhenskie-50628.png
https://i5.storeland.net/3/1603/216023479/6e1ffd/chulki-zhenskie-50628.png
https://i5.storeland.net/3/1603/216023480/6e1ffd/chulki-zhenskie-50628.png";;;"Носки женские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские, носки теплые оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-332;;194849008;;;Размер;единый
"Чулки женские 50628";;"Модные чулки, кашемир<br />
Размер: 36-41 единый<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50628;195,00;0,00;150,00;100,00000;шт;"https://i3.storeland.net/3/1603/216023464/6e1ffd/chulki-zhenskie-50627.png
https://i3.storeland.net/3/1603/216023465/6e1ffd/chulki-zhenskie-50627.png";;;"Чулки женские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-331;;194849004;;;Размер;единый
