"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Пробник 23мл 50377";;"Парфюмированная вода<br />
Тип: Пробники<br />
Объем: 23мл";;50377;195,00;0,00;150,00;100,00000;шт;https://i1.storeland.net/3/1506/215059311/6e1ffd/probnik-23ml-50376.png;;;"Парфюмированная вода";"косметика оптом, косметика, купить косметику, Гель-лак, оптом, Гель-лак оптом, дешевая косметика, модные, интернет магазин, косметика дешево, Good Girl Carolina Herrera, 20мл, пробник, парфюмированая вода, духи";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-335;;194537646;;;Размер;единый
"Пробник 23мл 50376";;"Парфюмированная вода<br />
Тип: Пробники<br />
Объем: 23мл";;50376;195,00;0,00;150,00;100,00000;шт;https://i2.storeland.net/3/1506/215059310/6e1ffd/probnik-23ml-50375.png;;;"Парфюмированная вода";"косметика оптом, косметика, купить косметику, Гель-лак, оптом, Гель-лак оптом, дешевая косметика, модные, интернет магазин, косметика дешево, Good Girl Carolina Herrera, 20мл, пробник, парфюмированая вода, духи";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-334;;194537645;;;Размер;единый
"Пробник 23мл 50375";;"Парфюмированная вода<br />
Тип: Пробники<br />
Объем: 23мл";;50375;195,00;0,00;150,00;100,00000;шт;https://i4.storeland.net/3/1506/215059309/6e1ffd/probnik-23ml-50374.png;;;"Парфюмированная вода";"косметика оптом, косметика, купить косметику, Гель-лак, оптом, Гель-лак оптом, дешевая косметика, модные, интернет магазин, косметика дешево, Good Girl Carolina Herrera, 20мл, пробник, парфюмированая вода, духи";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-333;;194537644;;;Размер;единый
"Пробник 23мл 50374";;"Парфюмированная вода<br />
Тип: Пробники<br />
Объем: 23мл";;50374;195,00;0,00;150,00;100,00000;шт;https://i1.storeland.net/3/1506/215059308/6e1ffd/probnik-23ml-50373.png;;;"Парфюмированная вода";"косметика оптом, косметика, купить косметику, Гель-лак, оптом, Гель-лак оптом, дешевая косметика, модные, интернет магазин, косметика дешево, Good Girl Carolina Herrera, 20мл, пробник, парфюмированая вода, духи";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-331;;194537643;;;Размер;единый
"Пробник 23мл 50373";;"Парфюмированная вода<br />
Тип: Пробники<br />
Объем: 23мл";;50373;195,00;0,00;150,00;100,00000;шт;https://i3.storeland.net/3/1506/215059307/6e1ffd/probnik-23ml-50372.png;;;"Парфюмированная вода";"косметика оптом, косметика, купить косметику, Гель-лак, оптом, Гель-лак оптом, дешевая косметика, модные, интернет магазин, косметика дешево, Good Girl Carolina Herrera, 20мл, пробник, парфюмированая вода, духи";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-330;;194537642;;;Размер;единый
"Пробник 23мл 50372";;"Парфюмированная вода<br />
Тип: Пробники<br />
Объем: 23мл";;50372;195,00;0,00;150,00;100,00000;шт;https://i4.storeland.net/3/1506/215059306/6e1ffd/probnik-23ml-50371.png;;;"Парфюмированная вода";"косметика оптом, косметика, купить косметику, Гель-лак, оптом, Гель-лак оптом, дешевая косметика, модные, интернет магазин, косметика дешево, Good Girl Carolina Herrera, 20мл, пробник, парфюмированая вода, духи";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-328;;194537641;;;Размер;единый
"Пробник 23мл 50371";;"Парфюмированная вода<br />
Тип: Пробники<br />
Объем: 23мл";;50371;195,00;0,00;150,00;100,00000;шт;https://i3.storeland.net/3/1506/215059305/6e1ffd/probnik-23ml-50370.png;;;"Парфюмированная вода";"косметика оптом, косметика, купить косметику, Гель-лак, оптом, Гель-лак оптом, дешевая косметика, модные, интернет магазин, косметика дешево, Good Girl Carolina Herrera, 20мл, пробник, парфюмированая вода, духи";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-327;;194537640;;;Размер;единый
"Пробник 23мл 50370";;"Парфюмированная вода<br />
Тип: Пробники<br />
Объем: 23мл";;50370;195,00;0,00;150,00;100,00000;шт;https://i4.storeland.net/3/1506/215059304/6e1ffd/probnik-23ml-50369.png;;;"Парфюмированная вода";"косметика оптом, косметика, купить косметику, Гель-лак, оптом, Гель-лак оптом, дешевая косметика, модные, интернет магазин, косметика дешево, Good Girl Carolina Herrera, 20мл, пробник, парфюмированая вода, духи";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-326;;194537639;;;Размер;единый
"Пробник 23мл 50369";;"Парфюмированная вода<br />
Тип: Пробники<br />
Объем: 23мл";;50369;195,00;0,00;150,00;100,00000;шт;https://i4.storeland.net/3/1506/215059303/6e1ffd/probnik-23ml-50368.png;;;"Парфюмированная вода";"косметика оптом, косметика, купить косметику, Гель-лак, оптом, Гель-лак оптом, дешевая косметика, модные, интернет магазин, косметика дешево, Good Girl Carolina Herrera, 20мл, пробник, парфюмированая вода, духи";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-325;;194537638;;;Размер;единый
"Пробник 23мл 50368";;"Парфюмированная вода<br />
Тип: Пробники<br />
Объем: 23мл";;50368;195,00;0,00;150,00;100,00000;шт;https://i4.storeland.net/3/1506/215059302/6e1ffd/probnik-23ml-50367.png;;;"Парфюмированная вода";"косметика оптом, косметика, купить косметику, Гель-лак, оптом, Гель-лак оптом, дешевая косметика, модные, интернет магазин, косметика дешево, Good Girl Carolina Herrera, 20мл, пробник, парфюмированая вода, духи";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-323;;194537637;;;Размер;единый
