"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Костюм женский 51970";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: барби<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51970;"2 080,00";0,00;"1 600,00";100,00000;шт;"https://i3.storeland.net/3/1671/216701682/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701683/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701684/6e1ffd/kostyum-zhenskij-51948.jpg";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";6cd102af6b-2;;195184205;;;Размер;50
"Костюм женский 51970";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: барби<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51970;"2 080,00";0,00;"1 600,00";100,00000;шт;"https://i3.storeland.net/3/1671/216701682/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701683/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701684/6e1ffd/kostyum-zhenskij-51948.jpg";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";6cd102af6b-2;;195184205;;;Размер;56
"Костюм женский 51970";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: барби<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51970;"2 080,00";0,00;"1 600,00";100,00000;шт;"https://i3.storeland.net/3/1671/216701682/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701683/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701684/6e1ffd/kostyum-zhenskij-51948.jpg";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";6cd102af6b-2;;195184205;;;Размер;48    
"Костюм женский 51970";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: барби<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51970;"2 080,00";0,00;"1 600,00";100,00000;шт;"https://i3.storeland.net/3/1671/216701682/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701683/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701684/6e1ffd/kostyum-zhenskij-51948.jpg";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";6cd102af6b-2;;195184205;;;Размер;52
"Костюм женский 51970";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: барби<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51970;"2 080,00";0,00;"1 600,00";100,00000;шт;"https://i3.storeland.net/3/1671/216701682/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701683/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701684/6e1ffd/kostyum-zhenskij-51948.jpg";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";6cd102af6b-2;;195184205;;;Размер;46
"Костюм женский 51970";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: барби<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51970;"2 080,00";0,00;"1 600,00";100,00000;шт;"https://i3.storeland.net/3/1671/216701682/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701683/6e1ffd/kostyum-zhenskij-51948.jpg
https://i3.storeland.net/3/1671/216701684/6e1ffd/kostyum-zhenskij-51948.jpg";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";6cd102af6b-2;;195184205;;;Размер;54
"Костюм женский 51959";;"Костюм двойка<br />
Размеры: 50, 52, 54, 56, 58, 60<br />
Ткань: креп, пайетки<br />
<br />
<br />
<br />
<br />
<br />
 ";;51959;"1 950,00";0,00;"1 500,00";100,00000;шт;"https://i5.storeland.net/3/1671/216701571/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701572/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701573/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701574/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";c960c8f674;;195184175;;;Размер;52
"Костюм женский 51959";;"Костюм двойка<br />
Размеры: 50, 52, 54, 56, 58, 60<br />
Ткань: креп, пайетки<br />
<br />
<br />
<br />
<br />
<br />
 ";;51959;"1 950,00";0,00;"1 500,00";100,00000;шт;"https://i5.storeland.net/3/1671/216701571/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701572/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701573/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701574/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";c960c8f674;;195184175;;;Размер;54
"Костюм женский 51959";;"Костюм двойка<br />
Размеры: 50, 52, 54, 56, 58, 60<br />
Ткань: креп, пайетки<br />
<br />
<br />
<br />
<br />
<br />
 ";;51959;"1 950,00";0,00;"1 500,00";100,00000;шт;"https://i5.storeland.net/3/1671/216701571/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701572/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701573/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701574/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";c960c8f674;;195184175;;;Размер;56
"Костюм женский 51959";;"Костюм двойка<br />
Размеры: 50, 52, 54, 56, 58, 60<br />
Ткань: креп, пайетки<br />
<br />
<br />
<br />
<br />
<br />
 ";;51959;"1 950,00";0,00;"1 500,00";100,00000;шт;"https://i5.storeland.net/3/1671/216701571/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701572/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701573/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg
https://i5.storeland.net/3/1671/216701574/6e1ffd/kostyum-teplyj-zhenskij-49415.jpg";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";c960c8f674;;195184175;;;Размер;60
