"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Кигуруми Заяц 43793";;"<br />
Размеры: 120см, 130см, S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43793;"1 220,00";0,00;950,00;100,00000;шт;"https://i1.storeland.net/3/703/207025814/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i5.storeland.net/3/703/207025815/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025816/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025817/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-132;;191435153;;;Размер;150-160
"Кигуруми Заяц 43793";;"<br />
Размеры: 120см, 130см, S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43793;"1 220,00";0,00;950,00;100,00000;шт;"https://i1.storeland.net/3/703/207025814/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i5.storeland.net/3/703/207025815/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025816/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025817/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-132;;191435153;;;Размер;160-170
"Кигуруми Заяц 43793";;"<br />
Размеры: 120см, 130см, S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43793;"1 220,00";0,00;950,00;100,00000;шт;"https://i1.storeland.net/3/703/207025814/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i5.storeland.net/3/703/207025815/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025816/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025817/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-132;;191435153;;;Размер;175-185
"Кигуруми Заяц 43793";;"<br />
Размеры: 120см, 130см, S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43793;"1 220,00";0,00;950,00;100,00000;шт;"https://i1.storeland.net/3/703/207025814/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i5.storeland.net/3/703/207025815/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025816/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025817/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-132;;191435153;;;Размер;120
"Кигуруми Заяц 43793";;"<br />
Размеры: 120см, 130см, S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43793;"1 220,00";0,00;950,00;100,00000;шт;"https://i1.storeland.net/3/703/207025814/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i5.storeland.net/3/703/207025815/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025816/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025817/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-132;;191435153;;;Размер;130
"Кигуруми Заяц 43793";;"<br />
Размеры: 120см, 130см, S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43793;"1 220,00";0,00;950,00;100,00000;шт;"https://i1.storeland.net/3/703/207025814/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i5.storeland.net/3/703/207025815/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025816/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg
https://i1.storeland.net/3/703/207025817/6e1ffd/kigurumi-krasnyj-drakon-43791.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-132;;191435153;;;Размер;140-150
"Кигуруми Ёжик 43792";;"<br />
Размеры: S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43792;"1 220,00";0,00;950,00;100,00000;шт;"https://i5.storeland.net/3/703/207025810/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i2.storeland.net/3/703/207025811/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i5.storeland.net/3/703/207025812/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i1.storeland.net/3/703/207025813/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-130;;191435152;;;Размер;150-160
"Кигуруми Ёжик 43792";;"<br />
Размеры: S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43792;"1 220,00";0,00;950,00;100,00000;шт;"https://i5.storeland.net/3/703/207025810/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i2.storeland.net/3/703/207025811/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i5.storeland.net/3/703/207025812/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i1.storeland.net/3/703/207025813/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-130;;191435152;;;Размер;160-170
"Кигуруми Ёжик 43792";;"<br />
Размеры: S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43792;"1 220,00";0,00;950,00;100,00000;шт;"https://i5.storeland.net/3/703/207025810/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i2.storeland.net/3/703/207025811/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i5.storeland.net/3/703/207025812/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i1.storeland.net/3/703/207025813/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-130;;191435152;;;Размер;175-185
"Кигуруми Ёжик 43792";;"<br />
Размеры: S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43792;"1 220,00";0,00;950,00;100,00000;шт;"https://i5.storeland.net/3/703/207025810/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i2.storeland.net/3/703/207025811/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i5.storeland.net/3/703/207025812/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg
https://i1.storeland.net/3/703/207025813/6e1ffd/kigurumi-letuchaya-mysh-43790.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-130;;191435152;;;Размер;140-150
"Кигуруми Красный Дракон 43791";;"<br />
Размеры: 85см, 95см, 100см, 110см, 115см, 130см, 140см, S (140-150) M(150-160) L-160-170), XL(175-185)<br />
Ткань: велсофт<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;43791;"1 220,00";0,00;950,00;100,00000;шт;"https://i2.storeland.net/3/703/207025795/6e1ffd/kigurumi-chelovek-pauk-43789.jpg
https://i2.storeland.net/3/703/207025796/6e1ffd/kigurumi-chelovek-pauk-43789.jpg
https://i3.storeland.net/3/703/207025797/6e1ffd/kigurumi-chelovek-pauk-43789.jpg
https://i1.storeland.net/3/703/207025798/6e1ffd/kigurumi-chelovek-pauk-43789.jpg";;;"Кигуруми Стич голубой";"одежда оптом, Кигуруми Единорог космос, Кигуруми, Кигуруми оптом, оптом, пижама кигуруми, прикольные, модные, интернет магазин, ночнушки оптом, КигурумиСтич голубой";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-125;;191435148;;;Размер;110
