"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Лосины теплые женские 51733";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51733;390,00;0,00;300,00;100,00000;шт;"https://i3.storeland.net/3/1650/216494128/6e1ffd/losiny-teplye-zhenskie-51730.png
https://i3.storeland.net/3/1650/216494129/6e1ffd/losiny-teplye-zhenskie-51730.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-9;;195107487;;;Размер;50
"Лосины теплые женские 51733";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51733;390,00;0,00;300,00;100,00000;шт;"https://i3.storeland.net/3/1650/216494128/6e1ffd/losiny-teplye-zhenskie-51730.png
https://i3.storeland.net/3/1650/216494129/6e1ffd/losiny-teplye-zhenskie-51730.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-9;;195107487;;;Размер;52
"Лосины теплые женские 51733";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51733;390,00;0,00;300,00;100,00000;шт;"https://i3.storeland.net/3/1650/216494128/6e1ffd/losiny-teplye-zhenskie-51730.png
https://i3.storeland.net/3/1650/216494129/6e1ffd/losiny-teplye-zhenskie-51730.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-9;;195107487;;;Размер;54
"Лосины теплые женские 51733";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51733;390,00;0,00;300,00;100,00000;шт;"https://i3.storeland.net/3/1650/216494128/6e1ffd/losiny-teplye-zhenskie-51730.png
https://i3.storeland.net/3/1650/216494129/6e1ffd/losiny-teplye-zhenskie-51730.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-9;;195107487;;;Размер;56
"Лосины теплые женские 51733";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51733;390,00;0,00;300,00;100,00000;шт;"https://i3.storeland.net/3/1650/216494128/6e1ffd/losiny-teplye-zhenskie-51730.png
https://i3.storeland.net/3/1650/216494129/6e1ffd/losiny-teplye-zhenskie-51730.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-9;;195107487;;;Размер;58
"Лосины теплые женские 51733";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51733;390,00;0,00;300,00;100,00000;шт;"https://i3.storeland.net/3/1650/216494128/6e1ffd/losiny-teplye-zhenskie-51730.png
https://i3.storeland.net/3/1650/216494129/6e1ffd/losiny-teplye-zhenskie-51730.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-9;;195107487;;;Размер;60
"Лосины теплые женские 51733";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51733;390,00;0,00;300,00;100,00000;шт;"https://i3.storeland.net/3/1650/216494128/6e1ffd/losiny-teplye-zhenskie-51730.png
https://i3.storeland.net/3/1650/216494129/6e1ffd/losiny-teplye-zhenskie-51730.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-9;;195107487;;;Размер;62    
"Лосины теплые женские 51730";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51730;340,00;0,00;250,00;100,00000;шт;"https://i5.storeland.net/3/1650/216494044/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494045/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494046/6e1ffd/losiny-teplye-zhenskie-44013.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-7;;195107475;;;Размер;50
"Лосины теплые женские 51730";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51730;340,00;0,00;250,00;100,00000;шт;"https://i5.storeland.net/3/1650/216494044/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494045/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494046/6e1ffd/losiny-teplye-zhenskie-44013.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-7;;195107475;;;Размер;52
"Лосины теплые женские 51730";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51730;340,00;0,00;250,00;100,00000;шт;"https://i5.storeland.net/3/1650/216494044/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494045/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494046/6e1ffd/losiny-teplye-zhenskie-44013.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-7;;195107475;;;Размер;54
"Лосины теплые женские 51730";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51730;340,00;0,00;250,00;100,00000;шт;"https://i5.storeland.net/3/1650/216494044/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494045/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494046/6e1ffd/losiny-teplye-zhenskie-44013.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-7;;195107475;;;Размер;56
"Лосины теплые женские 51730";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51730;340,00;0,00;250,00;100,00000;шт;"https://i5.storeland.net/3/1650/216494044/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494045/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494046/6e1ffd/losiny-teplye-zhenskie-44013.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-7;;195107475;;;Размер;58
"Лосины теплые женские 51730";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51730;340,00;0,00;250,00;100,00000;шт;"https://i5.storeland.net/3/1650/216494044/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494045/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494046/6e1ffd/losiny-teplye-zhenskie-44013.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-7;;195107475;;;Размер;60
"Лосины теплые женские 51730";;"Размер: 50, 52, 54, 56, 58, 60, 62<br />
Внутри мех<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51730;340,00;0,00;250,00;99,00000;шт;"https://i5.storeland.net/3/1650/216494044/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494045/6e1ffd/losiny-teplye-zhenskie-44013.png
https://i2.storeland.net/3/1650/216494046/6e1ffd/losiny-teplye-zhenskie-44013.png";;;"Лосины женские";"одежда оптом, джинсы бананы, купить джинсы, джинсы оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Джинсы теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";089567d02d-7;;195107475;;;Размер;62    
"Лосины теплые женские 51331";;"Размеры: 42, 44, 46, 48, 50, 52<br />
Состав: 80% хлопок, 20% лайкра<br />
<br />
<br />
<br />
<br />
 ";;51331;710,00;0,00;550,00;100,00000;шт;"https://i3.storeland.net/3/1633/216320966/6e1ffd/losiny-zhenskie-51330.png
https://i3.storeland.net/3/1633/216320967/6e1ffd/losiny-zhenskie-51330.png
https://i3.storeland.net/3/1633/216320968/6e1ffd/losiny-zhenskie-51330.png";;;"Лосины теплые женские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, штаны на флисе, Джинсы белые, Лосины теплые женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";82295f26cb-272;;195004699;;;Размер;44
