"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Носки мужские 10 пар 50620";;"Хлопок <br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50620;450,00;0,00;350,00;100,00000;шт;https://i3.storeland.net/3/1586/215858230/6e1ffd/noski-muzhskie-10-par-50619.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-323;;194806488;;;Размер;Упаковка
"Носки мужские 10 пар 50619";;"Хлопок <br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50619;390,00;0,00;300,00;100,00000;шт;https://i5.storeland.net/3/1585/215843800/6e1ffd/noski-muzhskie-10-par-50611.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-322;;194803731;;;Размер;Упаковка
"Носки мужские 3 пары 50613";;"Хлопок <br />
Упаковка 3 пары, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50613;320,00;0,00;250,00;100,00000;шт;https://i3.storeland.net/3/1583/215829124/6e1ffd/noski-muzhskie-10-par-50611.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-316;;194801198;;;Размер;Упаковка
"Носки мужские 10 пар 50611";;"Хлопок <br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50611;390,00;0,00;300,00;100,00000;шт;https://i3.storeland.net/3/1583/215825455/6e1ffd/noski-muzhskie-10-par-50610.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-314;;194800537;;;Размер;Упаковка
"Носки мужские 10 пар 50610";;"Хлопок <br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50610;390,00;0,00;300,00;100,00000;шт;https://i3.storeland.net/3/1583/215823553/6e1ffd/noski-muzhskie-10-par-50609.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-313;;194800207;;;Размер;Упаковка
"Носки мужские 10 пар 50609";;"Хлопок <br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50609;390,00;0,00;300,00;100,00000;шт;https://i5.storeland.net/3/1583/215823552/6e1ffd/noski-muzhskie-10-par-50608.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-312;;194800206;;;Размер;Упаковка
"Носки мужские 10 пар 50608";;"Хлопок <br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50608;390,00;0,00;300,00;100,00000;шт;https://i2.storeland.net/3/1582/215818722/6e1ffd/noski-muzhskie-10-par-50597.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-311;;194798229;;;Размер;Упаковка
"Носки мужские 10 пар 50597";;"Хлопок <br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50597;840,00;0,00;650,00;100,00000;шт;"https://i4.storeland.net/3/1571/215708864/6e1ffd/noski-muzhskie-10-par-50596.png
https://i4.storeland.net/3/1571/215708865/6e1ffd/noski-muzhskie-10-par-50596.png";;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-302;;194772232;;;Размер;Упаковка
"Носки мужские 10 пар 50596";;"Хлопок <br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50596;840,00;0,00;650,00;100,00000;шт;https://i3.storeland.net/3/1571/215708389/6e1ffd/noski-muzhskie-10-par-50595.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-301;;194772181;;;Размер;Упаковка
"Носки мужские 10 пар 50595";;"Хлопок <br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50595;840,00;0,00;650,00;100,00000;шт;"https://i4.storeland.net/3/1571/215708378/6e1ffd/noski-teplye-muzhskie-10-par-50594.png
https://i4.storeland.net/3/1571/215708379/6e1ffd/noski-teplye-muzhskie-10-par-50594.png";;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-300;;194772165;;;Размер;Упаковка
"Носки мужские 10 пар 50594";;"Хлопок шерсть<br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50594;840,00;0,00;650,00;100,00000;шт;https://i3.storeland.net/3/1571/215708193/6e1ffd/noski-teplye-muzhskie-10-par-50593.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-299;;194772075;;;Размер;Упаковка
"Носки мужские 10 пар 50593";;"Хлопок шерсть<br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50593;840,00;0,00;650,00;100,00000;шт;https://i5.storeland.net/3/1571/215707972/6e1ffd/noski-teplye-muzhskie-10-par-50592.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-298;;194772073;;;Размер;Упаковка
"Носки теплые мужские 10 пар 50592";;"Хлопок полиэстер<br />
Упаковка 10 пар, цена за упаковку.<br />
Размер: 41-46<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50592;840,00;0,00;650,00;100,00000;шт;https://i5.storeland.net/3/1571/215707715/6e1ffd/noski-teplye-muzhskie-12-par-50591.png;;;"Носки мужские";"одежда оптом, носки, купить носки, купальники оптом, оптом, купальники большие, прикольные, модные, интернет магазин, носки женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";ebcd6a45d9-75;;194771946;;;Размер;Упаковка
