"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Бомбер теплый мужской 51699";;"Размер: 48, 50, 52, 54, 56, 58<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51699;910,00;0,00;700,00;100,00000;шт;https://i2.storeland.net/3/1649/216487957/6e1ffd/bomber-teplyj-muzhskoj-51698.png;;;"Кофта мужская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка, прикольные, модные, интернет магазин, кофта, мужская, купить мужскую Толстовку, мужские Толстовки оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";1f47dc9360-88;;195105510;;;Размер;50
"Бомбер теплый мужской 51699";;"Размер: 48, 50, 52, 54, 56, 58<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51699;910,00;0,00;700,00;100,00000;шт;https://i2.storeland.net/3/1649/216487957/6e1ffd/bomber-teplyj-muzhskoj-51698.png;;;"Кофта мужская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка, прикольные, модные, интернет магазин, кофта, мужская, купить мужскую Толстовку, мужские Толстовки оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";1f47dc9360-88;;195105510;;;Размер;52
"Бомбер теплый мужской 51699";;"Размер: 48, 50, 52, 54, 56, 58<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51699;910,00;0,00;700,00;100,00000;шт;https://i2.storeland.net/3/1649/216487957/6e1ffd/bomber-teplyj-muzhskoj-51698.png;;;"Кофта мужская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка, прикольные, модные, интернет магазин, кофта, мужская, купить мужскую Толстовку, мужские Толстовки оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";1f47dc9360-88;;195105510;;;Размер;54
"Бомбер теплый мужской 51699";;"Размер: 48, 50, 52, 54, 56, 58<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51699;910,00;0,00;700,00;100,00000;шт;https://i2.storeland.net/3/1649/216487957/6e1ffd/bomber-teplyj-muzhskoj-51698.png;;;"Кофта мужская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка, прикольные, модные, интернет магазин, кофта, мужская, купить мужскую Толстовку, мужские Толстовки оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";1f47dc9360-88;;195105510;;;Размер;48
"Бомбер теплый мужской 51699";;"Размер: 48, 50, 52, 54, 56, 58<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51699;910,00;0,00;700,00;100,00000;шт;https://i2.storeland.net/3/1649/216487957/6e1ffd/bomber-teplyj-muzhskoj-51698.png;;;"Кофта мужская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка, прикольные, модные, интернет магазин, кофта, мужская, купить мужскую Толстовку, мужские Толстовки оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";1f47dc9360-88;;195105510;;;Размер;56
"Бомбер теплый мужской 51699";;"Размер: 48, 50, 52, 54, 56, 58<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51699;910,00;0,00;700,00;100,00000;шт;https://i2.storeland.net/3/1649/216487957/6e1ffd/bomber-teplyj-muzhskoj-51698.png;;;"Кофта мужская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка, прикольные, модные, интернет магазин, кофта, мужская, купить мужскую Толстовку, мужские Толстовки оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";1f47dc9360-88;;195105510;;;Размер;58
"Бомбер теплый мужской 51698";;"Размер: 48, 50, 52, 54, 56, 58<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51698;910,00;0,00;700,00;100,00000;шт;https://i1.storeland.net/3/1649/216487956/6e1ffd/bomber-teplyj-muzhskoj-51697.png;;;"Кофта мужская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка, прикольные, модные, интернет магазин, кофта, мужская, купить мужскую Толстовку, мужские Толстовки оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";1f47dc9360-87;;195105509;;;Размер;50
"Бомбер теплый мужской 51698";;"Размер: 48, 50, 52, 54, 56, 58<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51698;910,00;0,00;700,00;100,00000;шт;https://i1.storeland.net/3/1649/216487956/6e1ffd/bomber-teplyj-muzhskoj-51697.png;;;"Кофта мужская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка, прикольные, модные, интернет магазин, кофта, мужская, купить мужскую Толстовку, мужские Толстовки оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";1f47dc9360-87;;195105509;;;Размер;52
"Бомбер теплый мужской 51698";;"Размер: 48, 50, 52, 54, 56, 58<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51698;910,00;0,00;700,00;100,00000;шт;https://i1.storeland.net/3/1649/216487956/6e1ffd/bomber-teplyj-muzhskoj-51697.png;;;"Кофта мужская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка, прикольные, модные, интернет магазин, кофта, мужская, купить мужскую Толстовку, мужские Толстовки оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";1f47dc9360-87;;195105509;;;Размер;54
"Бомбер теплый мужской 51698";;"Размер: 48, 50, 52, 54, 56, 58<br />
Ткань: двунитка, начес<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51698;910,00;0,00;700,00;100,00000;шт;https://i1.storeland.net/3/1649/216487956/6e1ffd/bomber-teplyj-muzhskoj-51697.png;;;"Кофта мужская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка, прикольные, модные, интернет магазин, кофта, мужская, купить мужскую Толстовку, мужские Толстовки оптом";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";1f47dc9360-87;;195105509;;;Размер;48
