"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Костюм теплый мужской 51824";;"Размеры: 48, 50, 52, 54, 56, 58<br />
Ткань: двусторонний флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51824;"1 690,00";0,00;"1 300,00";100,00000;шт;https://i3.storeland.net/3/1656/216550672/6e1ffd/kostyum-teplyj-muzhskoj-51823.png;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-467;;195129154;;;Размер;48
"Костюм теплый мужской 51824";;"Размеры: 48, 50, 52, 54, 56, 58<br />
Ткань: двусторонний флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51824;"1 690,00";0,00;"1 300,00";100,00000;шт;https://i3.storeland.net/3/1656/216550672/6e1ffd/kostyum-teplyj-muzhskoj-51823.png;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-467;;195129154;;;Размер;52
"Костюм теплый мужской 51824";;"Размеры: 48, 50, 52, 54, 56, 58<br />
Ткань: двусторонний флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51824;"1 690,00";0,00;"1 300,00";100,00000;шт;https://i3.storeland.net/3/1656/216550672/6e1ffd/kostyum-teplyj-muzhskoj-51823.png;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-467;;195129154;;;Размер;50    
"Костюм теплый мужской 51824";;"Размеры: 48, 50, 52, 54, 56, 58<br />
Ткань: двусторонний флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51824;"1 690,00";0,00;"1 300,00";100,00000;шт;https://i3.storeland.net/3/1656/216550672/6e1ffd/kostyum-teplyj-muzhskoj-51823.png;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-467;;195129154;;;Размер;54
"Костюм теплый мужской 51824";;"Размеры: 48, 50, 52, 54, 56, 58<br />
Ткань: двусторонний флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51824;"1 690,00";0,00;"1 300,00";100,00000;шт;https://i3.storeland.net/3/1656/216550672/6e1ffd/kostyum-teplyj-muzhskoj-51823.png;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-467;;195129154;;;Размер;56
"Костюм теплый мужской 51824";;"Размеры: 48, 50, 52, 54, 56, 58<br />
Ткань: двусторонний флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51824;"1 690,00";0,00;"1 300,00";100,00000;шт;https://i3.storeland.net/3/1656/216550672/6e1ffd/kostyum-teplyj-muzhskoj-51823.png;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-467;;195129154;;;Размер;58
"Костюм теплый мужской 51823";;"Размеры: 48, 50, 52, 54, 56, 58<br />
Ткань: двусторонний флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51823;"1 690,00";0,00;"1 300,00";100,00000;шт;https://i5.storeland.net/3/1656/216550671/6e1ffd/kostyum-teplyj-muzhskoj-51822.png;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-466;;195129152;;;Размер;48
"Костюм теплый мужской 51823";;"Размеры: 48, 50, 52, 54, 56, 58<br />
Ткань: двусторонний флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51823;"1 690,00";0,00;"1 300,00";100,00000;шт;https://i5.storeland.net/3/1656/216550671/6e1ffd/kostyum-teplyj-muzhskoj-51822.png;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-466;;195129152;;;Размер;52
"Костюм теплый мужской 51823";;"Размеры: 48, 50, 52, 54, 56, 58<br />
Ткань: двусторонний флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51823;"1 690,00";0,00;"1 300,00";100,00000;шт;https://i5.storeland.net/3/1656/216550671/6e1ffd/kostyum-teplyj-muzhskoj-51822.png;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-466;;195129152;;;Размер;50    
"Костюм теплый мужской 51823";;"Размеры: 48, 50, 52, 54, 56, 58<br />
Ткань: двусторонний флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51823;"1 690,00";0,00;"1 300,00";100,00000;шт;https://i5.storeland.net/3/1656/216550671/6e1ffd/kostyum-teplyj-muzhskoj-51822.png;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-466;;195129152;;;Размер;54
