"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Куртка мужская 51654";;"<p>Размеры: 48, 50, 52, 54, 56<br />
Наполнитель: холлофайбер<br />
Сезон: зима (от -5С до -25С)<br />
<br />
<br />
 </p>";;51654;"2 850,00";0,00;"1 700,00";100,00000;шт;"https://i1.storeland.net/3/1649/216480618/6e1ffd/kurtka-muzhskaya-51440.png
https://i1.storeland.net/3/1649/216480619/6e1ffd/kurtka-muzhskaya-51440.png
https://i1.storeland.net/3/1649/216480620/6e1ffd/kurtka-muzhskaya-51440.png";;;"Куртка мужская";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин.";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин, джинсовая куртка, купить джинсовую куртку, джинсовая мужская куртка";a21d843fb1;;195078879;;;Размер;52    
"Куртка мужская 51654";;"<p>Размеры: 48, 50, 52, 54, 56<br />
Наполнитель: холлофайбер<br />
Сезон: зима (от -5С до -25С)<br />
<br />
<br />
 </p>";;51654;"2 850,00";0,00;"1 700,00";100,00000;шт;"https://i1.storeland.net/3/1649/216480618/6e1ffd/kurtka-muzhskaya-51440.png
https://i1.storeland.net/3/1649/216480619/6e1ffd/kurtka-muzhskaya-51440.png
https://i1.storeland.net/3/1649/216480620/6e1ffd/kurtka-muzhskaya-51440.png";;;"Куртка мужская";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин.";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин, джинсовая куртка, купить джинсовую куртку, джинсовая мужская куртка";a21d843fb1;;195078879;;;Размер;50
"Куртка мужская 51654";;"<p>Размеры: 48, 50, 52, 54, 56<br />
Наполнитель: холлофайбер<br />
Сезон: зима (от -5С до -25С)<br />
<br />
<br />
 </p>";;51654;"2 850,00";0,00;"1 700,00";100,00000;шт;"https://i1.storeland.net/3/1649/216480618/6e1ffd/kurtka-muzhskaya-51440.png
https://i1.storeland.net/3/1649/216480619/6e1ffd/kurtka-muzhskaya-51440.png
https://i1.storeland.net/3/1649/216480620/6e1ffd/kurtka-muzhskaya-51440.png";;;"Куртка мужская";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин.";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин, джинсовая куртка, купить джинсовую куртку, джинсовая мужская куртка";a21d843fb1;;195078879;;;Размер;54
"Куртка мужская 51654";;"<p>Размеры: 48, 50, 52, 54, 56<br />
Наполнитель: холлофайбер<br />
Сезон: зима (от -5С до -25С)<br />
<br />
<br />
 </p>";;51654;"2 850,00";0,00;"1 700,00";100,00000;шт;"https://i1.storeland.net/3/1649/216480618/6e1ffd/kurtka-muzhskaya-51440.png
https://i1.storeland.net/3/1649/216480619/6e1ffd/kurtka-muzhskaya-51440.png
https://i1.storeland.net/3/1649/216480620/6e1ffd/kurtka-muzhskaya-51440.png";;;"Куртка мужская";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин.";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин, джинсовая куртка, купить джинсовую куртку, джинсовая мужская куртка";a21d843fb1;;195078879;;;Размер;56
"Куртка мужская 51654";;"<p>Размеры: 48, 50, 52, 54, 56<br />
Наполнитель: холлофайбер<br />
Сезон: зима (от -5С до -25С)<br />
<br />
<br />
 </p>";;51654;"2 850,00";0,00;"1 700,00";100,00000;шт;"https://i1.storeland.net/3/1649/216480618/6e1ffd/kurtka-muzhskaya-51440.png
https://i1.storeland.net/3/1649/216480619/6e1ffd/kurtka-muzhskaya-51440.png
https://i1.storeland.net/3/1649/216480620/6e1ffd/kurtka-muzhskaya-51440.png";;;"Куртка мужская";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин.";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин, джинсовая куртка, купить джинсовую куртку, джинсовая мужская куртка";a21d843fb1;;195078879;;;Размер;48
"Куртка мужская 51440";;"<p>Размеры: 50, 52, 54, 56, 58<br />
Ткань: 65% Polyester, 35% Cotton<br />
Наполнитель: холлофайбер<br />
Сезон: зима<br />
<br />
<br />
 </p>";;51440;"2 080,00";0,00;"1 600,00";100,00000;шт;https://i2.storeland.net/3/1634/216338477/6e1ffd/kurtka-muzhskaya-51439.png;;;"Куртка мужская";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин.";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин, джинсовая куртка, купить джинсовую куртку, джинсовая мужская куртка";a21d843fb1-101;;195011879;;;Размер;52    
"Куртка мужская 51440";;"<p>Размеры: 50, 52, 54, 56, 58<br />
Ткань: 65% Polyester, 35% Cotton<br />
Наполнитель: холлофайбер<br />
Сезон: зима<br />
<br />
<br />
 </p>";;51440;"2 080,00";0,00;"1 600,00";100,00000;шт;https://i2.storeland.net/3/1634/216338477/6e1ffd/kurtka-muzhskaya-51439.png;;;"Куртка мужская";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин.";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин, джинсовая куртка, купить джинсовую куртку, джинсовая мужская куртка";a21d843fb1-101;;195011879;;;Размер;50
"Куртка мужская 51440";;"<p>Размеры: 50, 52, 54, 56, 58<br />
Ткань: 65% Polyester, 35% Cotton<br />
Наполнитель: холлофайбер<br />
Сезон: зима<br />
<br />
<br />
 </p>";;51440;"2 080,00";0,00;"1 600,00";100,00000;шт;https://i2.storeland.net/3/1634/216338477/6e1ffd/kurtka-muzhskaya-51439.png;;;"Куртка мужская";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин.";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин, джинсовая куртка, купить джинсовую куртку, джинсовая мужская куртка";a21d843fb1-101;;195011879;;;Размер;54
"Куртка мужская 51440";;"<p>Размеры: 50, 52, 54, 56, 58<br />
Ткань: 65% Polyester, 35% Cotton<br />
Наполнитель: холлофайбер<br />
Сезон: зима<br />
<br />
<br />
 </p>";;51440;"2 080,00";0,00;"1 600,00";100,00000;шт;https://i2.storeland.net/3/1634/216338477/6e1ffd/kurtka-muzhskaya-51439.png;;;"Куртка мужская";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин.";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин, джинсовая куртка, купить джинсовую куртку, джинсовая мужская куртка";a21d843fb1-101;;195011879;;;Размер;56
"Куртка мужская 51440";;"<p>Размеры: 50, 52, 54, 56, 58<br />
Ткань: 65% Polyester, 35% Cotton<br />
Наполнитель: холлофайбер<br />
Сезон: зима<br />
<br />
<br />
 </p>";;51440;"2 080,00";0,00;"1 600,00";100,00000;шт;https://i2.storeland.net/3/1634/216338477/6e1ffd/kurtka-muzhskaya-51439.png;;;"Куртка мужская";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин.";"одежда оптом, куртки, купить куртки, Куртки оптом, оптом, Мужские куртки, прикольные, модные, интернет магазин, джинсовая куртка, купить джинсовую куртку, джинсовая мужская куртка";a21d843fb1-101;;195011879;;;Размер;58
