"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Набор футболок мужских 4шт 51658";;"Набор футболок - 4 штуки<br />
Размеры: 46-48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Маломерят <br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
 ";;51658;650,00;0,00;500,00;100,00000;шт;https://i4.storeland.net/3/1649/216483615/6e1ffd/nabor-futbolok-muzhskih-4sht-51657.png;;;"Футболка унисекс";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";08c85980e4-98;;195080367;;;Размер;52    
"Набор футболок мужских 4шт 51658";;"Набор футболок - 4 штуки<br />
Размеры: 46-48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Маломерят <br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
 ";;51658;650,00;0,00;500,00;100,00000;шт;https://i4.storeland.net/3/1649/216483615/6e1ffd/nabor-futbolok-muzhskih-4sht-51657.png;;;"Футболка унисекс";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";08c85980e4-98;;195080367;;;Размер;50
"Набор футболок мужских 4шт 51658";;"Набор футболок - 4 штуки<br />
Размеры: 46-48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Маломерят <br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
 ";;51658;650,00;0,00;500,00;100,00000;шт;https://i4.storeland.net/3/1649/216483615/6e1ffd/nabor-futbolok-muzhskih-4sht-51657.png;;;"Футболка унисекс";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";08c85980e4-98;;195080367;;;Размер;54
"Набор футболок мужских 4шт 51658";;"Набор футболок - 4 штуки<br />
Размеры: 46-48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Маломерят <br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
 ";;51658;650,00;0,00;500,00;100,00000;шт;https://i4.storeland.net/3/1649/216483615/6e1ffd/nabor-futbolok-muzhskih-4sht-51657.png;;;"Футболка унисекс";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";08c85980e4-98;;195080367;;;Размер;46-48
"Набор футболок мужских 4шт 51658";;"Набор футболок - 4 штуки<br />
Размеры: 46-48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Маломерят <br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
 ";;51658;650,00;0,00;500,00;100,00000;шт;https://i4.storeland.net/3/1649/216483615/6e1ffd/nabor-futbolok-muzhskih-4sht-51657.png;;;"Футболка унисекс";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";08c85980e4-98;;195080367;;;Размер;56
"Набор футболок мужских 4шт 51658";;"Набор футболок - 4 штуки<br />
Размеры: 46-48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Маломерят <br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
 ";;51658;"1 040,00";0,00;800,00;100,00000;шт;https://i4.storeland.net/3/1649/216483615/6e1ffd/nabor-futbolok-muzhskih-4sht-51657.png;;;"Футболка унисекс";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";08c85980e4-98;;195080367;;;Размер;58
"Набор футболок мужских 4шт 51658";;"Набор футболок - 4 штуки<br />
Размеры: 46-48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Маломерят <br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
 ";;51658;"1 040,00";0,00;800,00;100,00000;шт;https://i4.storeland.net/3/1649/216483615/6e1ffd/nabor-futbolok-muzhskih-4sht-51657.png;;;"Футболка унисекс";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";08c85980e4-98;;195080367;;;Размер;60
"Набор футболок мужских 4шт 51658";;"Набор футболок - 4 штуки<br />
Размеры: 46-48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Маломерят <br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
 ";;51658;"1 040,00";0,00;800,00;100,00000;шт;https://i4.storeland.net/3/1649/216483615/6e1ffd/nabor-futbolok-muzhskih-4sht-51657.png;;;"Футболка унисекс";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";08c85980e4-98;;195080367;;;Размер;62
"Набор футболок мужских 4шт 51658";;"Набор футболок - 4 штуки<br />
Размеры: 46-48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Маломерят <br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
 ";;51658;"1 040,00";0,00;800,00;100,00000;шт;https://i4.storeland.net/3/1649/216483615/6e1ffd/nabor-futbolok-muzhskih-4sht-51657.png;;;"Футболка унисекс";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";08c85980e4-98;;195080367;;;Размер;64
"Набор футболок мужских 4шт 51658";;"Набор футболок - 4 штуки<br />
Размеры: 46-48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Маломерят <br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
 ";;51658;"1 040,00";0,00;800,00;100,00000;шт;https://i4.storeland.net/3/1649/216483615/6e1ffd/nabor-futbolok-muzhskih-4sht-51657.png;;;"Футболка унисекс";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";08c85980e4-98;;195080367;;;Размер;66
