"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Штаны мужские 51610";;"Размеры: 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка";;51610;450,00;0,00;350,00;100,00000;шт;https://i4.storeland.net/3/1649/216480553/6e1ffd/shtany-muzhskie-51609.png;;;"Штаны мужские";"одежда оптом, мужские штаны, купить штаны, штаны оптом, оптом, купить мужские штаны, прикольные, модные, интернет магазин, дешевые штаны, мужская одежда, Штаны мужские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";952818de81-116;;195078820;;;Размер;56
"Штаны мужские 51610";;"Размеры: 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка";;51610;450,00;0,00;350,00;100,00000;шт;https://i4.storeland.net/3/1649/216480553/6e1ffd/shtany-muzhskie-51609.png;;;"Штаны мужские";"одежда оптом, мужские штаны, купить штаны, штаны оптом, оптом, купить мужские штаны, прикольные, модные, интернет магазин, дешевые штаны, мужская одежда, Штаны мужские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";952818de81-116;;195078820;;;Размер;54
"Штаны мужские 51610";;"Размеры: 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка";;51610;450,00;0,00;350,00;100,00000;шт;https://i4.storeland.net/3/1649/216480553/6e1ffd/shtany-muzhskie-51609.png;;;"Штаны мужские";"одежда оптом, мужские штаны, купить штаны, штаны оптом, оптом, купить мужские штаны, прикольные, модные, интернет магазин, дешевые штаны, мужская одежда, Штаны мужские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";952818de81-116;;195078820;;;Размер;52
"Штаны мужские 51610";;"Размеры: 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка";;51610;450,00;0,00;350,00;100,00000;шт;https://i4.storeland.net/3/1649/216480553/6e1ffd/shtany-muzhskie-51609.png;;;"Штаны мужские";"одежда оптом, мужские штаны, купить штаны, штаны оптом, оптом, купить мужские штаны, прикольные, модные, интернет магазин, дешевые штаны, мужская одежда, Штаны мужские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";952818de81-116;;195078820;;;Размер;50
"Штаны мужские 51610";;"Размеры: 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка";;51610;450,00;0,00;350,00;100,00000;шт;https://i4.storeland.net/3/1649/216480553/6e1ffd/shtany-muzhskie-51609.png;;;"Штаны мужские";"одежда оптом, мужские штаны, купить штаны, штаны оптом, оптом, купить мужские штаны, прикольные, модные, интернет магазин, дешевые штаны, мужская одежда, Штаны мужские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";952818de81-116;;195078820;;;Размер;48
"Штаны мужские 51610";;"Размеры: 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка";;51610;520,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1649/216480553/6e1ffd/shtany-muzhskie-51609.png;;;"Штаны мужские";"одежда оптом, мужские штаны, купить штаны, штаны оптом, оптом, купить мужские штаны, прикольные, модные, интернет магазин, дешевые штаны, мужская одежда, Штаны мужские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";952818de81-116;;195078820;;;Размер;58
"Штаны мужские 51610";;"Размеры: 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка";;51610;520,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1649/216480553/6e1ffd/shtany-muzhskie-51609.png;;;"Штаны мужские";"одежда оптом, мужские штаны, купить штаны, штаны оптом, оптом, купить мужские штаны, прикольные, модные, интернет магазин, дешевые штаны, мужская одежда, Штаны мужские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";952818de81-116;;195078820;;;Размер;60
"Штаны мужские 51610";;"Размеры: 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка";;51610;520,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1649/216480553/6e1ffd/shtany-muzhskie-51609.png;;;"Штаны мужские";"одежда оптом, мужские штаны, купить штаны, штаны оптом, оптом, купить мужские штаны, прикольные, модные, интернет магазин, дешевые штаны, мужская одежда, Штаны мужские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";952818de81-116;;195078820;;;Размер;62    
"Штаны мужские 51610";;"Размеры: 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка";;51610;520,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1649/216480553/6e1ffd/shtany-muzhskie-51609.png;;;"Штаны мужские";"одежда оптом, мужские штаны, купить штаны, штаны оптом, оптом, купить мужские штаны, прикольные, модные, интернет магазин, дешевые штаны, мужская одежда, Штаны мужские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";952818de81-116;;195078820;;;Размер;64
"Штаны мужские 51610";;"Размеры: 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка";;51610;520,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1649/216480553/6e1ffd/shtany-muzhskie-51609.png;;;"Штаны мужские";"одежда оптом, мужские штаны, купить штаны, штаны оптом, оптом, купить мужские штаны, прикольные, модные, интернет магазин, дешевые штаны, мужская одежда, Штаны мужские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";952818de81-116;;195078820;;;Размер;66
