"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1";"Название св-ва для модификации товара №2";"Значение св-ва для модификации товара №2"
"Фигурка Дед Мороз 51786";;"Без выбора<br />
Размер: 18см<br />
<br style=""color: rgb(0, 0, 0);"" />
<br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" geneva,="""" ""noto="""" sans="""" armenian"",="""" bengali"",="""" cherokee"",="""" devanagari"",="""" ethiopic"",="""" georgian"",="""" hebrew"",="""" kannada"",="""" khmer"",="""" lao"",="""" osmanya"",="""" tamil"",="""" telugu"",="""" thai"",="""" sans-serif,="""" arial,="""" tahoma,="""" verdana;""=""""><br />
<br />
<br />
<br />
 ";;51786;135,00;0,00;100,00;100,00000;шт;"https://i5.storeland.net/3/1653/216529237/6e1ffd/nabor-svechej-3sht-51785.png
https://i5.storeland.net/3/1653/216529238/6e1ffd/nabor-svechej-3sht-51785.png
https://i5.storeland.net/3/1653/216529239/6e1ffd/nabor-svechej-3sht-51785.png";;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-319;;195119834;;;Размер;единый;;
"Набор свечей 3шт 51785";;"Размер: 10см, 12см, 15см<br />
В наборе 3 штуки<br />
Работает от батареек<br style=""color: rgb(0, 0, 0);"" />
<br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" geneva,="""" ""noto="""" sans="""" armenian"",="""" bengali"",="""" cherokee"",="""" devanagari"",="""" ethiopic"",="""" georgian"",="""" hebrew"",="""" kannada"",="""" khmer"",="""" lao"",="""" osmanya"",="""" tamil"",="""" telugu"",="""" thai"",="""" sans-serif,="""" arial,="""" tahoma,="""" verdana;""=""""><br />
<br />
<br />
<br />
 ";;51785;390,00;0,00;300,00;100,00000;шт;"https://i3.storeland.net/3/1653/216529233/6e1ffd/nabor-brelkov-12sht-51784.png
https://i5.storeland.net/3/1653/216529234/6e1ffd/nabor-brelkov-12sht-51784.png
https://i3.storeland.net/3/1653/216529235/6e1ffd/nabor-brelkov-12sht-51784.png
https://i2.storeland.net/3/1653/216529236/6e1ffd/nabor-brelkov-12sht-51784.png";;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-318;;195119833;;;Размер;единый;;
"Набор брелков 12шт 51784";;"Размер: 3*4см<br />
Упаковка 12 штук<br style=""color: rgb(0, 0, 0);"" />
<br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" geneva,="""" ""noto="""" sans="""" armenian"",="""" bengali"",="""" cherokee"",="""" devanagari"",="""" ethiopic"",="""" georgian"",="""" hebrew"",="""" kannada"",="""" khmer"",="""" lao"",="""" osmanya"",="""" tamil"",="""" telugu"",="""" thai"",="""" sans-serif,="""" arial,="""" tahoma,="""" verdana;""=""""><br />
<br />
<br />
<br />
 ";;51784;235,00;0,00;180,00;100,00000;шт;"https://i3.storeland.net/3/1650/216499675/6e1ffd/steklyannyj-shar-ded-moroz-51783.png
https://i3.storeland.net/3/1650/216499676/6e1ffd/steklyannyj-shar-ded-moroz-51783.png";;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-317;;195108872;;;Размер;единый;;
"Стеклянный шар Дед Мороз 51783";;"Размер: 5*9см<br style=""color: rgb(0, 0, 0);"" />
<br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" geneva,="""" ""noto="""" sans="""" armenian"",="""" bengali"",="""" cherokee"",="""" devanagari"",="""" ethiopic"",="""" georgian"",="""" hebrew"",="""" kannada"",="""" khmer"",="""" lao"",="""" osmanya"",="""" tamil"",="""" telugu"",="""" thai"",="""" sans-serif,="""" arial,="""" tahoma,="""" verdana;""=""""><br />
<br />
<br />
<br />
 ";;51783;220,00;0,00;170,00;100,00000;шт;"https://i1.storeland.net/3/1650/216499671/6e1ffd/girlyanda-51781.png
https://i2.storeland.net/3/1650/216499672/6e1ffd/girlyanda-51781.png
https://i2.storeland.net/3/1650/216499673/6e1ffd/girlyanda-51781.png";;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-316;;195108871;;;Размер;единый;;
"Гирлянда 51781";;"<span style=""color: rgb(0, 0, 0);"">Размеры: длина 3 метра, высота 1 метр</span><br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0);"">8 режимов работы<br />
Цвет: синий</span><br style=""color: rgb(0, 0, 0);"" />
<br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" geneva,="""" ""noto="""" sans="""" armenian"",="""" bengali"",="""" cherokee"",="""" devanagari"",="""" ethiopic"",="""" georgian"",="""" hebrew"",="""" kannada"",="""" khmer"",="""" lao"",="""" osmanya"",="""" tamil"",="""" telugu"",="""" thai"",="""" sans-serif,="""" arial,="""" tahoma,="""" verdana;""=""""><br />
<br />
<br />
<br />
 ";;51781;450,00;520,00;300,00;100,00000;шт;https://i4.storeland.net/3/1650/216499665/6e1ffd/girlyanda-51780.png;;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-315;;195108868;;;Размер;единый;;
"Гирлянда 51780";;"<span style=""color: rgb(0, 0, 0);"">Размеры: длина 3 метра, высота 1 метр</span><br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0);"">8 режимов работы<br />
Цвет: белый</span><br style=""color: rgb(0, 0, 0);"" />
<br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" geneva,="""" ""noto="""" sans="""" armenian"",="""" bengali"",="""" cherokee"",="""" devanagari"",="""" ethiopic"",="""" georgian"",="""" hebrew"",="""" kannada"",="""" khmer"",="""" lao"",="""" osmanya"",="""" tamil"",="""" telugu"",="""" thai"",="""" sans-serif,="""" arial,="""" tahoma,="""" verdana;""=""""><br />
<br />
<br />
<br />
 ";;51780;450,00;520,00;300,00;100,00000;шт;https://i4.storeland.net/3/1650/216499664/6e1ffd/girlyanda-50282.png;;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-314;;195108867;;;Размер;единый;;
"Игрушка под елку 51779";;"Размер: 50см<br />
Без выбора<br />
 ";;51779;710,00;0,00;550,00;100,00000;шт;"https://i4.storeland.net/3/1650/216499651/6e1ffd/novogodnie-busy-51715.png
https://i4.storeland.net/3/1650/216499652/6e1ffd/novogodnie-busy-51715.png
https://i5.storeland.net/3/1650/216499653/6e1ffd/novogodnie-busy-51715.png";;;Гирлянда;"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-313;;195108866;;;Размер;единый;;
"Ель новогодняя 51716";;"Размеры: 150см, 180см, 210см, 240см<br />
<br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0);""></span><br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" geneva,="""" ""noto="""" sans="""" armenian"",="""" bengali"",="""" cherokee"",="""" devanagari"",="""" ethiopic"",="""" georgian"",="""" hebrew"",="""" kannada"",="""" khmer"",="""" lao"",="""" osmanya"",="""" tamil"",="""" telugu"",="""" thai"",="""" sans-serif,="""" arial,="""" tahoma,="""" verdana;""=""""><br />
<br />
<br />
<br />
 ";;51716;"8 300,00";0,00;"6 400,00";100,00000;шт;"https://i5.storeland.net/3/1649/216488525/6e1ffd/sosna-novogodnyaya-50285.png
https://i2.storeland.net/3/1649/216488526/6e1ffd/sosna-novogodnyaya-50285.png
https://i1.storeland.net/3/1649/216488527/6e1ffd/sosna-novogodnyaya-50285.png";;;"Сосна новогодняя";"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-312;;195105693;;;Размер;150см;;
"Ель новогодняя 51716";;"Размеры: 150см, 180см, 210см, 240см<br />
<br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0);""></span><br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" geneva,="""" ""noto="""" sans="""" armenian"",="""" bengali"",="""" cherokee"",="""" devanagari"",="""" ethiopic"",="""" georgian"",="""" hebrew"",="""" kannada"",="""" khmer"",="""" lao"",="""" osmanya"",="""" tamil"",="""" telugu"",="""" thai"",="""" sans-serif,="""" arial,="""" tahoma,="""" verdana;""=""""><br />
<br />
<br />
<br />
 ";;51716;"12 300,00";0,00;"9 500,00";100,00000;шт;"https://i5.storeland.net/3/1649/216488525/6e1ffd/sosna-novogodnyaya-50285.png
https://i2.storeland.net/3/1649/216488526/6e1ffd/sosna-novogodnyaya-50285.png
https://i1.storeland.net/3/1649/216488527/6e1ffd/sosna-novogodnyaya-50285.png";;;"Сосна новогодняя";"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-312;;195105693;;;Размер;180см;;
"Ель новогодняя 51716";;"Размеры: 150см, 180см, 210см, 240см<br />
<br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0);""></span><br style=""color: rgb(0, 0, 0);"" />
<span style=""color: rgb(0, 0, 0); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" geneva,="""" ""noto="""" sans="""" armenian"",="""" bengali"",="""" cherokee"",="""" devanagari"",="""" ethiopic"",="""" georgian"",="""" hebrew"",="""" kannada"",="""" khmer"",="""" lao"",="""" osmanya"",="""" tamil"",="""" telugu"",="""" thai"",="""" sans-serif,="""" arial,="""" tahoma,="""" verdana;""=""""><br />
<br />
<br />
<br />
 ";;51716;"15 600,00";0,00;"12 000,00";100,00000;шт;"https://i5.storeland.net/3/1649/216488525/6e1ffd/sosna-novogodnyaya-50285.png
https://i2.storeland.net/3/1649/216488526/6e1ffd/sosna-novogodnyaya-50285.png
https://i1.storeland.net/3/1649/216488527/6e1ffd/sosna-novogodnyaya-50285.png";;;"Сосна новогодняя";"одежда оптом, с шортами костюм, купить гирлянды, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Штаны теплые женские, Гирлянда звёздочки";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";7823e877f9-312;;195105693;;;Размер;210см;;
