"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Тапочки домашние 51782";;"Размер: 36-37, 40-41<br />
Без выбора цвета!";;51782;450,00;0,00;350,00;100,00000;шт;"https://i1.storeland.net/3/1650/216499666/6e1ffd/tapochki-domashnie-34451.png
https://i2.storeland.net/3/1650/216499667/6e1ffd/tapochki-domashnie-34451.png
https://i2.storeland.net/3/1650/216499668/6e1ffd/tapochki-domashnie-34451.png
https://i1.storeland.net/3/1650/216499669/6e1ffd/tapochki-domashnie-34451.png";;;"Тапочки женские";"купить женские кроссовки, кроссовки женские, женская обувь, обувь оптом, кроссовки оптом, женская обувь оптом, дешевая обувь, Ботинки зимние женские, Туфли женские, сапоги оптом, полусапожки купить";;Krossovki-zhenskie-7;;195108869;;;Размер;36-37
"Тапочки домашние 51782";;"Размер: 36-37, 40-41<br />
Без выбора цвета!";;51782;450,00;0,00;350,00;100,00000;шт;"https://i1.storeland.net/3/1650/216499666/6e1ffd/tapochki-domashnie-34451.png
https://i2.storeland.net/3/1650/216499667/6e1ffd/tapochki-domashnie-34451.png
https://i2.storeland.net/3/1650/216499668/6e1ffd/tapochki-domashnie-34451.png
https://i1.storeland.net/3/1650/216499669/6e1ffd/tapochki-domashnie-34451.png";;;"Тапочки женские";"купить женские кроссовки, кроссовки женские, женская обувь, обувь оптом, кроссовки оптом, женская обувь оптом, дешевая обувь, Ботинки зимние женские, Туфли женские, сапоги оптом, полусапожки купить";;Krossovki-zhenskie-7;;195108869;;;Размер;40-41
"Тапочки женские 50295";;"Размеры: единый: 38-41<br />
Желаемый цвет пишем в комментарии к заказу.<br />
 ";;50295;320,00;0,00;250,00;100,00000;шт;"https://i2.storeland.net/2/8187/181869386/6e1ffd/tapochki-zhenskie-23970.jpg
https://i2.storeland.net/2/8332/183318650/6e1ffd/tapochki-zhenskie-23971.png
https://i3.storeland.net/2/8332/183318651/6e1ffd/tapochki-zhenskie-23971.png
https://i2.storeland.net/2/8332/183318652/6e1ffd/tapochki-zhenskie-23971.png
https://i3.storeland.net/2/8332/183318653/6e1ffd/tapochki-zhenskie-23971.png";;;"Тапочки женские";"купить Тапочки женские, кроссовки женские, женская обувь, обувь оптом, кроссовки оптом, женская обувь оптом, дешевая обувь, Ботинки зимние женские";"Ботинки зимние женские";Tapochki-zhenskie-3;;194524383;;;Размер;единый
"Тапочки домашние 44959";;"Размер: 36/37, 38/39, 40/41<br />
Без выбора цвета!";;44959;320,00;0,00;250,00;100,00000;шт;"https://i3.storeland.net/3/925/209243756/6e1ffd/tapochki-domashnie-44955.png
https://i4.storeland.net/3/925/209243757/6e1ffd/tapochki-domashnie-44955.png
https://i3.storeland.net/3/925/209243758/6e1ffd/tapochki-domashnie-44955.png
https://i5.storeland.net/3/925/209243759/6e1ffd/tapochki-domashnie-44955.png";;;"Тапочки женские";"купить женские кроссовки, кроссовки женские, женская обувь, обувь оптом, кроссовки оптом, женская обувь оптом, дешевая обувь, Ботинки зимние женские, Туфли женские, сапоги оптом, полусапожки купить";;Krossovki-zhenskie-31;;192147280;;;Размер;36-37
"Тапочки домашние 44959";;"Размер: 36/37, 38/39, 40/41<br />
Без выбора цвета!";;44959;320,00;0,00;250,00;100,00000;шт;"https://i3.storeland.net/3/925/209243756/6e1ffd/tapochki-domashnie-44955.png
https://i4.storeland.net/3/925/209243757/6e1ffd/tapochki-domashnie-44955.png
https://i3.storeland.net/3/925/209243758/6e1ffd/tapochki-domashnie-44955.png
https://i5.storeland.net/3/925/209243759/6e1ffd/tapochki-domashnie-44955.png";;;"Тапочки женские";"купить женские кроссовки, кроссовки женские, женская обувь, обувь оптом, кроссовки оптом, женская обувь оптом, дешевая обувь, Ботинки зимние женские, Туфли женские, сапоги оптом, полусапожки купить";;Krossovki-zhenskie-31;;192147280;;;Размер;38-39
"Тапочки домашние 44959";;"Размер: 36/37, 38/39, 40/41<br />
Без выбора цвета!";;44959;320,00;0,00;250,00;100,00000;шт;"https://i3.storeland.net/3/925/209243756/6e1ffd/tapochki-domashnie-44955.png
https://i4.storeland.net/3/925/209243757/6e1ffd/tapochki-domashnie-44955.png
https://i3.storeland.net/3/925/209243758/6e1ffd/tapochki-domashnie-44955.png
https://i5.storeland.net/3/925/209243759/6e1ffd/tapochki-domashnie-44955.png";;;"Тапочки женские";"купить женские кроссовки, кроссовки женские, женская обувь, обувь оптом, кроссовки оптом, женская обувь оптом, дешевая обувь, Ботинки зимние женские, Туфли женские, сапоги оптом, полусапожки купить";;Krossovki-zhenskie-31;;192147280;;;Размер;40-41
"Тапочки домашние 44958";;"Размер: 36/37, 38/39, 40/41<br />
Без выбора цвета!";;44958;260,00;0,00;200,00;100,00000;шт;https://i4.storeland.net/3/925/209243541/6e1ffd/tapochki-domashnie-44956.png;;;"Тапочки женские";"купить женские кроссовки, кроссовки женские, женская обувь, обувь оптом, кроссовки оптом, женская обувь оптом, дешевая обувь, Ботинки зимние женские, Туфли женские, сапоги оптом, полусапожки купить";;Krossovki-zhenskie-30;;192147226;;;Размер;36-37
"Тапочки домашние 44958";;"Размер: 36/37, 38/39, 40/41<br />
Без выбора цвета!";;44958;260,00;0,00;200,00;100,00000;шт;https://i4.storeland.net/3/925/209243541/6e1ffd/tapochki-domashnie-44956.png;;;"Тапочки женские";"купить женские кроссовки, кроссовки женские, женская обувь, обувь оптом, кроссовки оптом, женская обувь оптом, дешевая обувь, Ботинки зимние женские, Туфли женские, сапоги оптом, полусапожки купить";;Krossovki-zhenskie-30;;192147226;;;Размер;38-39
"Тапочки домашние 44958";;"Размер: 36/37, 38/39, 40/41<br />
Без выбора цвета!";;44958;260,00;0,00;200,00;100,00000;шт;https://i4.storeland.net/3/925/209243541/6e1ffd/tapochki-domashnie-44956.png;;;"Тапочки женские";"купить женские кроссовки, кроссовки женские, женская обувь, обувь оптом, кроссовки оптом, женская обувь оптом, дешевая обувь, Ботинки зимние женские, Туфли женские, сапоги оптом, полусапожки купить";;Krossovki-zhenskie-30;;192147226;;;Размер;40-41
"Тапочки домашние 44955";;"Размер: 36/37, 38/39, 40/41<br />
Без выбора цвета!";;44955;320,00;0,00;250,00;100,00000;шт;"https://i4.storeland.net/3/925/209243100/6e1ffd/tapochki-domashnie-44954.png
https://i4.storeland.net/3/925/209243132/6e1ffd/tapochki-domashnie-44954.png
https://i4.storeland.net/3/925/209243133/6e1ffd/tapochki-domashnie-44954.png
https://i4.storeland.net/3/925/209243134/6e1ffd/tapochki-domashnie-44954.png";;;"Тапочки женские";"купить женские кроссовки, кроссовки женские, женская обувь, обувь оптом, кроссовки оптом, женская обувь оптом, дешевая обувь, Ботинки зимние женские, Туфли женские, сапоги оптом, полусапожки купить";;Krossovki-zhenskie-16;;192147107;;;Размер;36-37
