"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Костюм женский 51907";;"Без выбора цвета<br />
Размер: 42-52 единый<br />
Ткань: лапша<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51907;780,00;0,00;600,00;100,00000;шт;"https://i3.storeland.net/3/1667/216665042/6e1ffd/kostyum-zhenskij-51906.png
https://i3.storeland.net/3/1667/216665043/6e1ffd/kostyum-zhenskij-51906.png
https://i3.storeland.net/3/1667/216665044/6e1ffd/kostyum-zhenskij-51906.png";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";5ec7a499c1-28;;195164971;;;Размер;единый
"Колготки теплые детские 51900";;"Без выбора цвета и модели!<br />
Размеры: 104, 110, 116, 122, 128, 134, 140 рост<br />
Хлопок 80%<br />
<br />
<br />
<br />
<br />
<br />
 ";;51900;135,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664753/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i1.storeland.net/3/1667/216664754/6e1ffd/kolgotki-teplye-detskie-51898.png";;;"Колготки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские, колготки теплые детские, колготки детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-24;;195164923;;;Размер;122
"Колготки теплые детские 51900";;"Без выбора цвета и модели!<br />
Размеры: 104, 110, 116, 122, 128, 134, 140 рост<br />
Хлопок 80%<br />
<br />
<br />
<br />
<br />
<br />
 ";;51900;135,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664753/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i1.storeland.net/3/1667/216664754/6e1ffd/kolgotki-teplye-detskie-51898.png";;;"Колготки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские, колготки теплые детские, колготки детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-24;;195164923;;;Размер;128
"Колготки теплые детские 51900";;"Без выбора цвета и модели!<br />
Размеры: 104, 110, 116, 122, 128, 134, 140 рост<br />
Хлопок 80%<br />
<br />
<br />
<br />
<br />
<br />
 ";;51900;135,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664753/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i1.storeland.net/3/1667/216664754/6e1ffd/kolgotki-teplye-detskie-51898.png";;;"Колготки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские, колготки теплые детские, колготки детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-24;;195164923;;;Размер;104
"Колготки теплые детские 51900";;"Без выбора цвета и модели!<br />
Размеры: 104, 110, 116, 122, 128, 134, 140 рост<br />
Хлопок 80%<br />
<br />
<br />
<br />
<br />
<br />
 ";;51900;135,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664753/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i1.storeland.net/3/1667/216664754/6e1ffd/kolgotki-teplye-detskie-51898.png";;;"Колготки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские, колготки теплые детские, колготки детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-24;;195164923;;;Размер;110
"Колготки теплые детские 51900";;"Без выбора цвета и модели!<br />
Размеры: 104, 110, 116, 122, 128, 134, 140 рост<br />
Хлопок 80%<br />
<br />
<br />
<br />
<br />
<br />
 ";;51900;135,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664753/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i1.storeland.net/3/1667/216664754/6e1ffd/kolgotki-teplye-detskie-51898.png";;;"Колготки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские, колготки теплые детские, колготки детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-24;;195164923;;;Размер;116
"Колготки теплые детские 51900";;"Без выбора цвета и модели!<br />
Размеры: 104, 110, 116, 122, 128, 134, 140 рост<br />
Хлопок 80%<br />
<br />
<br />
<br />
<br />
<br />
 ";;51900;135,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664753/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i1.storeland.net/3/1667/216664754/6e1ffd/kolgotki-teplye-detskie-51898.png";;;"Колготки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские, колготки теплые детские, колготки детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-24;;195164923;;;Размер;134
"Колготки теплые детские 51900";;"Без выбора цвета и модели!<br />
Размеры: 104, 110, 116, 122, 128, 134, 140 рост<br />
Хлопок 80%<br />
<br />
<br />
<br />
<br />
<br />
 ";;51900;135,00;0,00;100,00;100,00000;шт;"https://i1.storeland.net/3/1667/216664753/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i1.storeland.net/3/1667/216664754/6e1ffd/kolgotki-teplye-detskie-51898.png";;;"Колготки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские, колготки теплые детские, колготки детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-24;;195164923;;;Размер;140
"Колготки детские 51899";;"Размеры: 116, 122, 128, 134, 140, 146, 152, 158, 164 рост<br />
Хлопок 100%<br />
<br />
<br />
<br />
<br />
<br />
 ";;51899;135,00;0,00;100,00;100,00000;шт;"https://i4.storeland.net/3/1667/216664750/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i2.storeland.net/3/1667/216664751/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i2.storeland.net/3/1667/216664752/6e1ffd/kolgotki-teplye-detskie-51898.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-23;;195164922;;;Размер;122
"Колготки детские 51899";;"Размеры: 116, 122, 128, 134, 140, 146, 152, 158, 164 рост<br />
Хлопок 100%<br />
<br />
<br />
<br />
<br />
<br />
 ";;51899;135,00;0,00;100,00;100,00000;шт;"https://i4.storeland.net/3/1667/216664750/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i2.storeland.net/3/1667/216664751/6e1ffd/kolgotki-teplye-detskie-51898.png
https://i2.storeland.net/3/1667/216664752/6e1ffd/kolgotki-teplye-detskie-51898.png";;;"Брюки детские";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин, Брюки детские, брюки школьные, лосины теплые детские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";fddfe5f21a-23;;195164922;;;Размер;128
