"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Блузка женская 51862";;"Без выбора цвета<br />
Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: сингапур<br />
<br />
<br />
<br />
 ";;51862;520,00;910,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1660/216598042/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598043/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598044/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598045/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598046/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598047/6e1ffd/bluzka-zhenskaya-51024.png";;;"Блузка женская";"одежда оптом, платье, купить платье, платья оптом, оптом, спортивное платье, прикольные, модные, интернет магазин, дешевое платье";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4a0a03ec6f-5;;195142279;;;Размер;58
"Блузка женская 51862";;"Без выбора цвета<br />
Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: сингапур<br />
<br />
<br />
<br />
 ";;51862;520,00;910,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1660/216598042/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598043/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598044/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598045/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598046/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598047/6e1ffd/bluzka-zhenskaya-51024.png";;;"Блузка женская";"одежда оптом, платье, купить платье, платья оптом, оптом, спортивное платье, прикольные, модные, интернет магазин, дешевое платье";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4a0a03ec6f-5;;195142279;;;Размер;60
"Блузка женская 51862";;"Без выбора цвета<br />
Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: сингапур<br />
<br />
<br />
<br />
 ";;51862;520,00;910,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1660/216598042/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598043/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598044/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598045/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598046/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598047/6e1ffd/bluzka-zhenskaya-51024.png";;;"Блузка женская";"одежда оптом, платье, купить платье, платья оптом, оптом, спортивное платье, прикольные, модные, интернет магазин, дешевое платье";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4a0a03ec6f-5;;195142279;;;Размер;54
"Блузка женская 51862";;"Без выбора цвета<br />
Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: сингапур<br />
<br />
<br />
<br />
 ";;51862;520,00;910,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1660/216598042/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598043/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598044/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598045/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598046/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598047/6e1ffd/bluzka-zhenskaya-51024.png";;;"Блузка женская";"одежда оптом, платье, купить платье, платья оптом, оптом, спортивное платье, прикольные, модные, интернет магазин, дешевое платье";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4a0a03ec6f-5;;195142279;;;Размер;64
"Блузка женская 51862";;"Без выбора цвета<br />
Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: сингапур<br />
<br />
<br />
<br />
 ";;51862;520,00;910,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1660/216598042/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598043/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598044/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598045/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598046/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598047/6e1ffd/bluzka-zhenskaya-51024.png";;;"Блузка женская";"одежда оптом, платье, купить платье, платья оптом, оптом, спортивное платье, прикольные, модные, интернет магазин, дешевое платье";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4a0a03ec6f-5;;195142279;;;Размер;62
"Блузка женская 51862";;"Без выбора цвета<br />
Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: сингапур<br />
<br />
<br />
<br />
 ";;51862;520,00;910,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1660/216598042/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598043/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598044/6e1ffd/bluzka-zhenskaya-51024.png
https://i1.storeland.net/3/1660/216598045/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598046/6e1ffd/bluzka-zhenskaya-51024.png
https://i2.storeland.net/3/1660/216598047/6e1ffd/bluzka-zhenskaya-51024.png";;;"Блузка женская";"одежда оптом, платье, купить платье, платья оптом, оптом, спортивное платье, прикольные, модные, интернет магазин, дешевое платье";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";4a0a03ec6f-5;;195142279;;;Размер;56
"Рубашка женская 31044";;"<br />
Ткань: лайт<br />
Размеры: 42, 44, 46, 48, 50, 52<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;31044;650,00;780,00;500,00;100,00000;шт;https://i5.storeland.net/2/9145/191447784/6e1ffd/rubashka-zhenskaya-31043.jpg;;;"Блузка женская";"одежда оптом, блузка, купить блузку, блузки оптом, оптом, блузка женская, прикольные, модные, интернет магазин, рубашка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d084fceb56-25;;195072374;;;Размер;48    
"Рубашка женская 31044";;"<br />
Ткань: лайт<br />
Размеры: 42, 44, 46, 48, 50, 52<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;31044;650,00;780,00;500,00;100,00000;шт;https://i5.storeland.net/2/9145/191447784/6e1ffd/rubashka-zhenskaya-31043.jpg;;;"Блузка женская";"одежда оптом, блузка, купить блузку, блузки оптом, оптом, блузка женская, прикольные, модные, интернет магазин, рубашка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d084fceb56-25;;195072374;;;Размер;42
"Рубашка женская 31044";;"<br />
Ткань: лайт<br />
Размеры: 42, 44, 46, 48, 50, 52<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;31044;650,00;780,00;500,00;100,00000;шт;https://i5.storeland.net/2/9145/191447784/6e1ffd/rubashka-zhenskaya-31043.jpg;;;"Блузка женская";"одежда оптом, блузка, купить блузку, блузки оптом, оптом, блузка женская, прикольные, модные, интернет магазин, рубашка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d084fceb56-25;;195072374;;;Размер;50
"Рубашка женская 31044";;"<br />
Ткань: лайт<br />
Размеры: 42, 44, 46, 48, 50, 52<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;31044;650,00;780,00;500,00;100,00000;шт;https://i5.storeland.net/2/9145/191447784/6e1ffd/rubashka-zhenskaya-31043.jpg;;;"Блузка женская";"одежда оптом, блузка, купить блузку, блузки оптом, оптом, блузка женская, прикольные, модные, интернет магазин, рубашка";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d084fceb56-25;;195072374;;;Размер;52    
