"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Шапка женская 51581";;"Размер: от 8 лет и на взрослого<br />
Состав : 70% шерсть, 30% акрил<br />
Производство: Россия<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51581;450,00;0,00;350,00;100,00000;шт;https://i3.storeland.net/3/1646/216457545/6e1ffd/shapka-zhenskaya-51580.png;;;"Шапка женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d705ba5b84-38;;195072427;;;Размер;единый
"Шапка женская 51580";;"Размер: от 8 лет и на взрослого<br />
Состав : 70% шерсть, 30% акрил<br />
Производство: Россия<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51580;450,00;0,00;350,00;100,00000;шт;https://i1.storeland.net/3/1646/216457543/6e1ffd/shapka-zhenskaya-51579.png;;;"Шапка женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d705ba5b84-37;;195072426;;;Размер;единый
"Шапка женская 51579";;"Размер: от 8 лет и на взрослого<br />
Состав : 70% шерсть, 30% акрил<br />
Производство: Россия<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51579;450,00;0,00;350,00;100,00000;шт;https://i3.storeland.net/3/1646/216457542/6e1ffd/shapka-zhenskaya-51578.png;;;"Шапка женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d705ba5b84-36;;195072425;;;Размер;единый
"Шапка женская 51578";;"Размер: от 8 лет и на взрослого<br />
Состав : 70% шерсть, 30% акрил<br />
Производство: Россия<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51578;450,00;0,00;350,00;100,00000;шт;https://i5.storeland.net/3/1646/216457541/6e1ffd/shapka-zhenskaya-51577.png;;;"Шапка женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d705ba5b84-35;;195072424;;;Размер;единый
"Шапка женская 51577";;"Размер: от 8 лет и на взрослого<br />
Состав : 70% шерсть, 30% акрил<br />
Производство: Россия<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51577;450,00;0,00;350,00;100,00000;шт;https://i1.storeland.net/3/1646/216457540/6e1ffd/shapka-zhenskaya-51576.png;;;"Шапка женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d705ba5b84-34;;195072422;;;Размер;единый
"Шапка женская 51576";;"Размер: от 8 лет и на взрослого<br />
Состав : 70% шерсть, 30% акрил<br />
Производство: Россия<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51576;450,00;0,00;350,00;100,00000;шт;https://i4.storeland.net/3/1646/216457524/6e1ffd/shapka-zhenskaya-51575.png;;;"Шапка женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d705ba5b84-33;;195072421;;;Размер;единый
"Шапка женская 51575";;"Размер: от 8 лет и на взрослого<br />
Состав : 70% шерсть, 30% акрил<br />
Производство: Россия<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51575;450,00;0,00;350,00;100,00000;шт;https://i2.storeland.net/3/1646/216457520/6e1ffd/shapka-zhenskaya-51574.png;;;"Шапка женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d705ba5b84-32;;195072420;;;Размер;единый
"Шапка женская 51574";;"Размер: от 8 лет и на взрослого<br />
Состав : 70% шерсть, 30% акрил<br />
Производство: Россия<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51574;450,00;0,00;350,00;100,00000;шт;https://i4.storeland.net/3/1646/216457518/6e1ffd/shapka-zhenskaya-51573.png;;;"Шапка женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d705ba5b84-31;;195072419;;;Размер;единый
"Шапка женская 51573";;"Размер: от 8 лет и на взрослого<br />
Состав : 70% шерсть, 30% акрил<br />
Производство: Россия<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51573;450,00;0,00;350,00;100,00000;шт;https://i4.storeland.net/3/1646/216457516/6e1ffd/shapka-zhenskaya-51572.png;;;"Шапка женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d705ba5b84-30;;195072418;;;Размер;единый
"Шапка женская 51572";;"Размер: от 8 лет и на взрослого<br />
Состав : 70% шерсть, 30% акрил<br />
Производство: Россия<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51572;450,00;0,00;350,00;100,00000;шт;https://i5.storeland.net/3/1646/216457515/6e1ffd/komplekt-zhenskij-51571.png;;;"Шапка женская";"одежда оптом, блузка, купить кофту, кофты оптом, оптом, водолазка женская, прикольные, модные, интернет магазин, кофта";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d705ba5b84-29;;195072416;;;Размер;единый
