"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Шорты женские 50071";;"Размер: 42, 44, 46, 48, 50<br />
Ткань: креп<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50071;320,00;0,00;250,00;100,00000;шт;https://i3.storeland.net/3/1457/214563698/6e1ffd/shorty-zhenskie-50008.png;;;"Джеггинсы женские";"одежда оптом, Шорты бананы, купить Шорты, Шорты оптом, оптом, Шорты, прикольные, модные, интернет магазин, большие размеры, Шорты большие, Шорты женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d1503d520c-30;;194416555;;;Размер;48
"Шорты женские 50071";;"Размер: 42, 44, 46, 48, 50<br />
Ткань: креп<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50071;320,00;0,00;250,00;100,00000;шт;https://i3.storeland.net/3/1457/214563698/6e1ffd/shorty-zhenskie-50008.png;;;"Джеггинсы женские";"одежда оптом, Шорты бананы, купить Шорты, Шорты оптом, оптом, Шорты, прикольные, модные, интернет магазин, большие размеры, Шорты большие, Шорты женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d1503d520c-30;;194416555;;;Размер;46
"Шорты женские 50071";;"Размер: 42, 44, 46, 48, 50<br />
Ткань: креп<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50071;320,00;0,00;250,00;100,00000;шт;https://i3.storeland.net/3/1457/214563698/6e1ffd/shorty-zhenskie-50008.png;;;"Джеггинсы женские";"одежда оптом, Шорты бананы, купить Шорты, Шорты оптом, оптом, Шорты, прикольные, модные, интернет магазин, большие размеры, Шорты большие, Шорты женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d1503d520c-30;;194416555;;;Размер;50
"Шорты женские 50071";;"Размер: 42, 44, 46, 48, 50<br />
Ткань: креп<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50071;320,00;0,00;250,00;100,00000;шт;https://i3.storeland.net/3/1457/214563698/6e1ffd/shorty-zhenskie-50008.png;;;"Джеггинсы женские";"одежда оптом, Шорты бананы, купить Шорты, Шорты оптом, оптом, Шорты, прикольные, модные, интернет магазин, большие размеры, Шорты большие, Шорты женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d1503d520c-30;;194416555;;;Размер;44
"Шорты женские 50071";;"Размер: 42, 44, 46, 48, 50<br />
Ткань: креп<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50071;320,00;0,00;250,00;100,00000;шт;https://i3.storeland.net/3/1457/214563698/6e1ffd/shorty-zhenskie-50008.png;;;"Джеггинсы женские";"одежда оптом, Шорты бананы, купить Шорты, Шорты оптом, оптом, Шорты, прикольные, модные, интернет магазин, большие размеры, Шорты большие, Шорты женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d1503d520c-30;;194416555;;;Размер;42
"Шорты женские 50011";;"Размер: 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50011;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1451/214508744/6e1ffd/shorty-zhenskie-50010.png;;;"Джеггинсы женские";"одежда оптом, Шорты бананы, купить Шорты, Шорты оптом, оптом, Шорты, прикольные, модные, интернет магазин, большие размеры, Шорты большие, Шорты женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d1503d520c-29;;194403319;;;Размер;48
"Шорты женские 50011";;"Размер: 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50011;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1451/214508744/6e1ffd/shorty-zhenskie-50010.png;;;"Джеггинсы женские";"одежда оптом, Шорты бананы, купить Шорты, Шорты оптом, оптом, Шорты, прикольные, модные, интернет магазин, большие размеры, Шорты большие, Шорты женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d1503d520c-29;;194403319;;;Размер;46
"Шорты женские 50011";;"Размер: 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50011;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1451/214508744/6e1ffd/shorty-zhenskie-50010.png;;;"Джеггинсы женские";"одежда оптом, Шорты бананы, купить Шорты, Шорты оптом, оптом, Шорты, прикольные, модные, интернет магазин, большие размеры, Шорты большие, Шорты женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d1503d520c-29;;194403319;;;Размер;50
"Шорты женские 50011";;"Размер: 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50011;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1451/214508744/6e1ffd/shorty-zhenskie-50010.png;;;"Джеггинсы женские";"одежда оптом, Шорты бананы, купить Шорты, Шорты оптом, оптом, Шорты, прикольные, модные, интернет магазин, большие размеры, Шорты большие, Шорты женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d1503d520c-29;;194403319;;;Размер;58
"Шорты женские 50011";;"Размер: 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66<br />
Ткань: двунитка<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;50011;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1451/214508744/6e1ffd/shorty-zhenskie-50010.png;;;"Джеггинсы женские";"одежда оптом, Шорты бананы, купить Шорты, Шорты оптом, оптом, Шорты, прикольные, модные, интернет магазин, большие размеры, Шорты большие, Шорты женские";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";d1503d520c-29;;194403319;;;Размер;54
