"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Сумка шопер 49027";;"Холщовая Сумка шоппер с мультяшным рисунком ЛАБУБУ, на молнии<br />
Цвет: микс (без выбора рисунка)<br />
Размер: 35*31 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;49027;234,00;0,00;180,00;100,00000;шт;"https://i5.storeland.net/3/1358/213579747/6e1ffd/sumka-plyazhnaya-49026.png
https://i5.storeland.net/3/1358/213579748/6e1ffd/sumka-plyazhnaya-49026.png
https://i5.storeland.net/3/1358/213579749/6e1ffd/sumka-plyazhnaya-49026.png
https://i2.storeland.net/3/1358/213579750/6e1ffd/sumka-plyazhnaya-49026.png
https://i5.storeland.net/3/1358/213579752/6e1ffd/sumka-plyazhnaya-49026.png
https://i5.storeland.net/3/1358/213579753/6e1ffd/sumka-plyazhnaya-49026.png
https://i3.storeland.net/3/1358/213579754/6e1ffd/sumka-plyazhnaya-49026.png
https://i5.storeland.net/3/1358/213579755/6e1ffd/sumka-plyazhnaya-49026.png
https://i5.storeland.net/3/1358/213579756/6e1ffd/sumka-plyazhnaya-49026.png";;;Рюкзак;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, джинсы большие, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки ,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-2;;194030168;;;Размер;единый
"Сумка пляжная 49026";;"Без выбора рисунка<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;49026;390,00;0,00;300,00;100,00000;шт;https://i5.storeland.net/3/1358/213579746/6e1ffd/ryukzak-40526.png;;;Рюкзак;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, джинсы большие, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки ,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b;;194030167;;;Размер;единый
"Кошелек 29939";;"БЕЗ ВЫБОРА ЦВЕТА<br />
Размер 19х10<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;29939;390,00;0,00;300,00;100,00000;шт;"https://i2.storeland.net/2/8938/189378183/6e1ffd/koshelek-29937.jpg
https://i2.storeland.net/2/8938/189378184/6e1ffd/koshelek-29937.jpg
https://i2.storeland.net/2/8938/189378185/6e1ffd/koshelek-29937.jpg
https://i2.storeland.net/2/8938/189378186/6e1ffd/koshelek-29937.jpg
https://i3.storeland.net/2/8938/189378187/6e1ffd/koshelek-29937.jpg
https://i4.storeland.net/2/8938/189378188/6e1ffd/koshelek-29937.jpg
https://i2.storeland.net/2/8938/189378189/6e1ffd/koshelek-29937.jpg";;;Кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-131;;184543255;;;Размер;единый
"Кошелек 29937";;"Размер 11х9.5<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;29937;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/2/8938/189378028/6e1ffd/koshelek-29936.jpg;;;Кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-223;;184543226;;;Размер;единый
"Кошелек 29936";;"Размер 11х9.5<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;29936;320,00;0,00;250,00;100,00000;шт;https://i3.storeland.net/2/8938/189378027/6e1ffd/koshelek-29935.jpg;;;Кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-146;;184543224;;;Размер;единый
"Кошелек 29935";;"Размер 11х9.5<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;29935;320,00;0,00;250,00;100,00000;шт;"https://i2.storeland.net/2/8938/189378021/6e1ffd/koshelek-29934.jpg
https://i1.storeland.net/2/8938/189378022/6e1ffd/koshelek-29934.jpg";;;Кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-145;;184543223;;;Размер;единый
"Кошелек 29934";;"Размер 11х9.5<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;29934;320,00;0,00;250,00;100,00000;шт;https://i1.storeland.net/2/8938/189378017/6e1ffd/koshelek-29931.jpg;;;Кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-144;;184543222;;;Размер;единый
"Кошелек 29930";;"Материал: эко кожа<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;29930;320,00;0,00;250,00;100,00000;шт;"https://i4.storeland.net/2/8938/189377936/6e1ffd/sumochka-koshelek-29929.jpg
https://i3.storeland.net/2/8938/189377937/6e1ffd/sumochka-koshelek-29929.jpg";;;Кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-94;;184543201;;;Размер;единый
"Сумочка-кошелек 20441";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;20441;650,00;0,00;500,00;100,00000;шт;https://i5.storeland.net/2/7455/174541867/6e1ffd/sumochka-koshelek-20440.png;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-222;;178068740;;;Размер;единый
"Сумочка-кошелек 20440";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;20440;650,00;0,00;500,00;100,00000;шт;https://i1.storeland.net/2/7455/174541839/6e1ffd/sumochka-koshelek-20439.jpg;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-221;;178068739;;;Размер;единый
"Сумочка-кошелек 20439";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;20439;650,00;0,00;500,00;100,00000;шт;https://i3.storeland.net/2/7455/174541809/6e1ffd/sumochka-koshelek-20438.jpg;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-220;;178068738;;;Размер;единый
"Сумочка-кошелек 20438";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;20438;650,00;0,00;500,00;100,00000;шт;https://i5.storeland.net/2/7455/174541779/6e1ffd/sumochka-koshelek-20437.jpg;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-219;;178068736;;;Размер;единый
"Сумочка-кошелек 20437";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;20437;650,00;0,00;500,00;100,00000;шт;https://i3.storeland.net/2/7455/174541744/6e1ffd/sumochka-koshelek-20436.jpg;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-218;;178068685;;;Размер;единый
"Сумочка-кошелек 19924";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;19924;390,00;0,00;300,00;100,00000;шт;https://i2.storeland.net/2/7299/172986893/6e1ffd/sumochka-koshelek-19923.png;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-140;;177307001;;;Размер;единый
"Сумочка-кошелек 19923";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;19923;390,00;0,00;300,00;100,00000;шт;https://i4.storeland.net/2/7299/172986892/6e1ffd/sumochka-koshelek-19922.png;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-139;;177307000;;;Размер;единый
"Сумочка-кошелек 19922";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;19922;390,00;0,00;300,00;100,00000;шт;https://i1.storeland.net/2/7299/172986891/6e1ffd/sumochka-koshelek-19921.png;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-138;;177306999;;;Размер;единый
"Сумочка-кошелек 19921";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;19921;390,00;0,00;300,00;100,00000;шт;https://i5.storeland.net/2/7299/172986890/6e1ffd/sumochka-koshelek-19920.png;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-137;;177306997;;;Размер;единый
"Сумочка-кошелек 19920";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;19920;390,00;0,00;300,00;100,00000;шт;https://i3.storeland.net/2/7299/172986884/6e1ffd/sumochka-koshelek-19919.png;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-136;;177306995;;;Размер;единый
"Сумочка-кошелек 19919";;"Материал: эко кожа<br />
Размер: 11/18 см<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;19919;390,00;0,00;300,00;100,00000;шт;https://i3.storeland.net/2/7299/172986875/6e1ffd/sumochka-koshelek-19899.png;;;Сумочка-кошелек;"одежда оптом, Часы, купить Часы, Часы оптом, оптом, Часы силикон, прикольные, модные, интернет магазин, большие размеры, Сумочка-кошелек, холщовые рюкзаки женские милые школьные сумки для девочек-подростков сумки для книг студенческие дорожные рюкзаки,5в1";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";862e6f425b-135;;177306994;;;Размер;единый
