"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Куртка женская 51861";;"Размеры: 56, 58, 60, 62, 64, 66, 68, 70<br />
Длина куртки: 78 см<br />
Длина рукава: 63 см<br />
Ткань: стеганка, барашка<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51861;"1 820,00";0,00;"1 400,00";100,00000;шт;"https://i2.storeland.net/3/1660/216598026/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598027/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598028/6e1ffd/kurtka-zhenskaya-51861.png";;;"Куртка женская";"одежда оптом, ветровка, купить куртку, куртки оптом, дешевые куртки, шорты, прикольные, модные, интернет магазин, куртка кожаная";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";2a61e24f55-12;;195142277;;;Размер;64
"Куртка женская 51861";;"Размеры: 56, 58, 60, 62, 64, 66, 68, 70<br />
Длина куртки: 78 см<br />
Длина рукава: 63 см<br />
Ткань: стеганка, барашка<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51861;"1 820,00";0,00;"1 400,00";100,00000;шт;"https://i2.storeland.net/3/1660/216598026/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598027/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598028/6e1ffd/kurtka-zhenskaya-51861.png";;;"Куртка женская";"одежда оптом, ветровка, купить куртку, куртки оптом, дешевые куртки, шорты, прикольные, модные, интернет магазин, куртка кожаная";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";2a61e24f55-12;;195142277;;;Размер;62    
"Куртка женская 51861";;"Размеры: 56, 58, 60, 62, 64, 66, 68, 70<br />
Длина куртки: 78 см<br />
Длина рукава: 63 см<br />
Ткань: стеганка, барашка<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51861;"1 820,00";0,00;"1 400,00";100,00000;шт;"https://i2.storeland.net/3/1660/216598026/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598027/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598028/6e1ffd/kurtka-zhenskaya-51861.png";;;"Куртка женская";"одежда оптом, ветровка, купить куртку, куртки оптом, дешевые куртки, шорты, прикольные, модные, интернет магазин, куртка кожаная";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";2a61e24f55-12;;195142277;;;Размер;66
"Куртка женская 51861";;"Размеры: 56, 58, 60, 62, 64, 66, 68, 70<br />
Длина куртки: 78 см<br />
Длина рукава: 63 см<br />
Ткань: стеганка, барашка<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51861;"1 820,00";0,00;"1 400,00";100,00000;шт;"https://i2.storeland.net/3/1660/216598026/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598027/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598028/6e1ffd/kurtka-zhenskaya-51861.png";;;"Куртка женская";"одежда оптом, ветровка, купить куртку, куртки оптом, дешевые куртки, шорты, прикольные, модные, интернет магазин, куртка кожаная";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";2a61e24f55-12;;195142277;;;Размер;60
"Куртка женская 51861";;"Размеры: 56, 58, 60, 62, 64, 66, 68, 70<br />
Длина куртки: 78 см<br />
Длина рукава: 63 см<br />
Ткань: стеганка, барашка<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51861;"1 820,00";0,00;"1 400,00";100,00000;шт;"https://i2.storeland.net/3/1660/216598026/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598027/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598028/6e1ffd/kurtka-zhenskaya-51861.png";;;"Куртка женская";"одежда оптом, ветровка, купить куртку, куртки оптом, дешевые куртки, шорты, прикольные, модные, интернет магазин, куртка кожаная";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";2a61e24f55-12;;195142277;;;Размер;68    
"Куртка женская 51861";;"Размеры: 56, 58, 60, 62, 64, 66, 68, 70<br />
Длина куртки: 78 см<br />
Длина рукава: 63 см<br />
Ткань: стеганка, барашка<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51861;"1 820,00";0,00;"1 400,00";100,00000;шт;"https://i2.storeland.net/3/1660/216598026/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598027/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598028/6e1ffd/kurtka-zhenskaya-51861.png";;;"Куртка женская";"одежда оптом, ветровка, купить куртку, куртки оптом, дешевые куртки, шорты, прикольные, модные, интернет магазин, куртка кожаная";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";2a61e24f55-12;;195142277;;;Размер;70
"Куртка женская 51861";;"Размеры: 56, 58, 60, 62, 64, 66, 68, 70<br />
Длина куртки: 78 см<br />
Длина рукава: 63 см<br />
Ткань: стеганка, барашка<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51861;"1 820,00";0,00;"1 400,00";100,00000;шт;"https://i2.storeland.net/3/1660/216598026/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598027/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598028/6e1ffd/kurtka-zhenskaya-51861.png";;;"Куртка женская";"одежда оптом, ветровка, купить куртку, куртки оптом, дешевые куртки, шорты, прикольные, модные, интернет магазин, куртка кожаная";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";2a61e24f55-12;;195142277;;;Размер;58
"Куртка женская 51861";;"Размеры: 56, 58, 60, 62, 64, 66, 68, 70<br />
Длина куртки: 78 см<br />
Длина рукава: 63 см<br />
Ткань: стеганка, барашка<br />
Наполнитель: холлофайбер<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51861;"1 820,00";0,00;"1 400,00";100,00000;шт;"https://i2.storeland.net/3/1660/216598026/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598027/6e1ffd/kurtka-zhenskaya-51861.png
https://i2.storeland.net/3/1660/216598028/6e1ffd/kurtka-zhenskaya-51861.png";;;"Куртка женская";"одежда оптом, ветровка, купить куртку, куртки оптом, дешевые куртки, шорты, прикольные, модные, интернет магазин, куртка кожаная";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";2a61e24f55-12;;195142277;;;Размер;56
"Куртка женская 51686";;"Без выбора цвета<br />
Куртка зимняя<br />
Размеры: 42, 44, 46, 48<br />
Наполнитель: холлофайбер<br />
Сезон: осень, зима<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51686;910,00;0,00;700,00;100,00000;шт;"https://i5.storeland.net/3/1649/216487469/6e1ffd/kurtka-zhenskaya-51539.png
https://i2.storeland.net/3/1649/216487470/6e1ffd/kurtka-zhenskaya-51539.png
https://i2.storeland.net/3/1649/216487471/6e1ffd/kurtka-zhenskaya-51539.png";;;"Куртка женская";"одежда оптом, ветровка, купить куртку, куртки оптом, дешевые куртки, шорты, прикольные, модные, интернет магазин, куртка кожаная";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";2a61e24f55-67;;195105466;;;Размер;42
"Куртка женская 51686";;"Без выбора цвета<br />
Куртка зимняя<br />
Размеры: 42, 44, 46, 48<br />
Наполнитель: холлофайбер<br />
Сезон: осень, зима<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51686;910,00;0,00;700,00;100,00000;шт;"https://i5.storeland.net/3/1649/216487469/6e1ffd/kurtka-zhenskaya-51539.png
https://i2.storeland.net/3/1649/216487470/6e1ffd/kurtka-zhenskaya-51539.png
https://i2.storeland.net/3/1649/216487471/6e1ffd/kurtka-zhenskaya-51539.png";;;"Куртка женская";"одежда оптом, ветровка, купить куртку, куртки оптом, дешевые куртки, шорты, прикольные, модные, интернет магазин, куртка кожаная";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";2a61e24f55-67;;195105466;;;Размер;48
