"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Юбка женская 50737";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50737;"1 170,00";0,00;900,00;100,00000;шт;"https://i3.storeland.net/3/1618/216172427/6e1ffd/yubka-zhenskaya-50736.png
https://i1.storeland.net/3/1618/216172428/6e1ffd/yubka-zhenskaya-50736.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-343;;194890240;;;Размер;54
"Юбка женская 50737";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50737;"1 170,00";0,00;900,00;100,00000;шт;"https://i3.storeland.net/3/1618/216172427/6e1ffd/yubka-zhenskaya-50736.png
https://i1.storeland.net/3/1618/216172428/6e1ffd/yubka-zhenskaya-50736.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-343;;194890240;;;Размер;62
"Юбка женская 50737";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50737;"1 170,00";0,00;900,00;100,00000;шт;"https://i3.storeland.net/3/1618/216172427/6e1ffd/yubka-zhenskaya-50736.png
https://i1.storeland.net/3/1618/216172428/6e1ffd/yubka-zhenskaya-50736.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-343;;194890240;;;Размер;56
"Юбка женская 50737";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50737;"1 170,00";0,00;900,00;100,00000;шт;"https://i3.storeland.net/3/1618/216172427/6e1ffd/yubka-zhenskaya-50736.png
https://i1.storeland.net/3/1618/216172428/6e1ffd/yubka-zhenskaya-50736.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-343;;194890240;;;Размер;64
"Юбка женская 50737";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50737;"1 170,00";0,00;900,00;100,00000;шт;"https://i3.storeland.net/3/1618/216172427/6e1ffd/yubka-zhenskaya-50736.png
https://i1.storeland.net/3/1618/216172428/6e1ffd/yubka-zhenskaya-50736.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-343;;194890240;;;Размер;58
"Юбка женская 50737";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50737;"1 170,00";0,00;900,00;100,00000;шт;"https://i3.storeland.net/3/1618/216172427/6e1ffd/yubka-zhenskaya-50736.png
https://i1.storeland.net/3/1618/216172428/6e1ffd/yubka-zhenskaya-50736.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-343;;194890240;;;Размер;60
"Юбка женская 50736";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50736;"1 170,00";0,00;900,00;100,00000;шт;https://i5.storeland.net/3/1618/216172419/6e1ffd/yubka-zhenskaya-49470.png;;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-336;;194890238;;;Размер;54
"Юбка женская 50736";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50736;"1 170,00";0,00;900,00;100,00000;шт;https://i5.storeland.net/3/1618/216172419/6e1ffd/yubka-zhenskaya-49470.png;;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-336;;194890238;;;Размер;62
"Юбка женская 50736";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50736;"1 170,00";0,00;900,00;100,00000;шт;https://i5.storeland.net/3/1618/216172419/6e1ffd/yubka-zhenskaya-49470.png;;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-336;;194890238;;;Размер;56
"Юбка женская 50736";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50736;"1 170,00";0,00;900,00;100,00000;шт;https://i5.storeland.net/3/1618/216172419/6e1ffd/yubka-zhenskaya-49470.png;;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-336;;194890238;;;Размер;64
"Юбка женская 50736";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50736;"1 170,00";0,00;900,00;100,00000;шт;https://i5.storeland.net/3/1618/216172419/6e1ffd/yubka-zhenskaya-49470.png;;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-336;;194890238;;;Размер;58
"Юбка женская 50736";;"Размер: 54, 56, 58, 60, 62, 64<br />
Ткань: ангора гофре<br />
Производство: Корея<br />
 ";;50736;"1 170,00";0,00;900,00;100,00000;шт;https://i5.storeland.net/3/1618/216172419/6e1ffd/yubka-zhenskaya-49470.png;;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-336;;194890238;;;Размер;60
"Юбка женская 49470";;"Размер: 48, 50, 52, 54, 56, 58, 60<br />
Ткань: джинс<br />
Длина: 60 см<br />
 ";;48902;840,00;0,00;650,00;100,00000;шт;"https://i5.storeland.net/3/1387/213864593/6e1ffd/yubka-zhenskaya-48902.jpg
https://i5.storeland.net/3/1387/213864597/6e1ffd/yubka-zhenskaya-48902.jpg";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-66;;194187877;;;Размер;54
"Юбка женская 49470";;"Размер: 48, 50, 52, 54, 56, 58, 60<br />
Ткань: джинс<br />
Длина: 60 см<br />
 ";;48902;840,00;0,00;650,00;100,00000;шт;"https://i5.storeland.net/3/1387/213864593/6e1ffd/yubka-zhenskaya-48902.jpg
https://i5.storeland.net/3/1387/213864597/6e1ffd/yubka-zhenskaya-48902.jpg";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-66;;194187877;;;Размер;52
"Юбка женская 49470";;"Размер: 48, 50, 52, 54, 56, 58, 60<br />
Ткань: джинс<br />
Длина: 60 см<br />
 ";;48902;840,00;0,00;650,00;100,00000;шт;"https://i5.storeland.net/3/1387/213864593/6e1ffd/yubka-zhenskaya-48902.jpg
https://i5.storeland.net/3/1387/213864597/6e1ffd/yubka-zhenskaya-48902.jpg";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-66;;194187877;;;Размер;56
"Юбка женская 49470";;"Размер: 48, 50, 52, 54, 56, 58, 60<br />
Ткань: джинс<br />
Длина: 60 см<br />
 ";;48902;840,00;0,00;650,00;100,00000;шт;"https://i5.storeland.net/3/1387/213864593/6e1ffd/yubka-zhenskaya-48902.jpg
https://i5.storeland.net/3/1387/213864597/6e1ffd/yubka-zhenskaya-48902.jpg";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-66;;194187877;;;Размер;48
"Юбка женская 49470";;"Размер: 48, 50, 52, 54, 56, 58, 60<br />
Ткань: джинс<br />
Длина: 60 см<br />
 ";;48902;840,00;0,00;650,00;100,00000;шт;"https://i5.storeland.net/3/1387/213864593/6e1ffd/yubka-zhenskaya-48902.jpg
https://i5.storeland.net/3/1387/213864597/6e1ffd/yubka-zhenskaya-48902.jpg";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-66;;194187877;;;Размер;50
"Юбка женская 49470";;"Размер: 48, 50, 52, 54, 56, 58, 60<br />
Ткань: джинс<br />
Длина: 60 см<br />
 ";;48902;840,00;0,00;650,00;100,00000;шт;"https://i5.storeland.net/3/1387/213864593/6e1ffd/yubka-zhenskaya-48902.jpg
https://i5.storeland.net/3/1387/213864597/6e1ffd/yubka-zhenskaya-48902.jpg";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-66;;194187877;;;Размер;58
"Юбка женская 49470";;"Размер: 48, 50, 52, 54, 56, 58, 60<br />
Ткань: джинс<br />
Длина: 60 см<br />
 ";;49470;840,00;0,00;650,00;100,00000;шт;"https://i5.storeland.net/3/1387/213864593/6e1ffd/yubka-zhenskaya-48902.jpg
https://i5.storeland.net/3/1387/213864597/6e1ffd/yubka-zhenskaya-48902.jpg";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-66;;194187877;;;Размер;60
"Юбка женская 48903";;"Размер: 44, 46, 48, 50, 52, 54<br />
Ткань: костюмка<br />
 ";;48903;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1343/213425762/6e1ffd/yubka-zhenskaya-48902.png
https://i5.storeland.net/3/1343/213425763/6e1ffd/yubka-zhenskaya-48902.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-176;;193919722;;;Размер;54
"Юбка женская 48903";;"Размер: 44, 46, 48, 50, 52, 54<br />
Ткань: костюмка<br />
 ";;48903;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1343/213425762/6e1ffd/yubka-zhenskaya-48902.png
https://i5.storeland.net/3/1343/213425763/6e1ffd/yubka-zhenskaya-48902.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-176;;193919722;;;Размер;52
"Юбка женская 48903";;"Размер: 44, 46, 48, 50, 52, 54<br />
Ткань: костюмка<br />
 ";;48903;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1343/213425762/6e1ffd/yubka-zhenskaya-48902.png
https://i5.storeland.net/3/1343/213425763/6e1ffd/yubka-zhenskaya-48902.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-176;;193919722;;;Размер;46
"Юбка женская 48903";;"Размер: 44, 46, 48, 50, 52, 54<br />
Ткань: костюмка<br />
 ";;48903;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1343/213425762/6e1ffd/yubka-zhenskaya-48902.png
https://i5.storeland.net/3/1343/213425763/6e1ffd/yubka-zhenskaya-48902.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-176;;193919722;;;Размер;48
"Юбка женская 48903";;"Размер: 44, 46, 48, 50, 52, 54<br />
Ткань: костюмка<br />
 ";;48903;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1343/213425762/6e1ffd/yubka-zhenskaya-48902.png
https://i5.storeland.net/3/1343/213425763/6e1ffd/yubka-zhenskaya-48902.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-176;;193919722;;;Размер;50
"Юбка женская 48903";;"Размер: 44, 46, 48, 50, 52, 54<br />
Ткань: костюмка<br />
 ";;48903;780,00;0,00;600,00;100,00000;шт;"https://i5.storeland.net/3/1343/213425762/6e1ffd/yubka-zhenskaya-48902.png
https://i5.storeland.net/3/1343/213425763/6e1ffd/yubka-zhenskaya-48902.png";;;"Юбка женская";"одежда оптом, джинсы бананы, купить Юбку, Юбка оптом, оптом, джинсы, прикольные, модные, интернет магазин, большие размеры, джинсы большие, Юбка женская ,юбка в клетку";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";539b9c55c5-176;;193919722;;;Размер;44
